S.No.,State/UT,Year,Total Accidental Deaths,Truck/Lorry/Mini Truck - Died,Bus - Died,SUV/Car/Jeep - Died,Tractor - Died,Three Wheeler/Auto Rickshaw - Died,Two Wheeler - Died,Other Motor Vehicles - Died,January,February,March,April,May,June,July,August,September,October,November,December,0000 hrs to 0300 hrs (Night),0300 hrs to 0600 hrs (Night),0600 hrs to 0900 hrs (Day),0900 hrs to 1200 hrs (Day),1200 hrs to 1500 hrs (Day),1500 hrs to 1800 hrs (Day),1800 hrs to 2100 hrs (Night),2100 hrs to 2400 hrs (Night),National Highways - Died,State Highways - Died,Expressways - Died,Other Roads - Died,Total - Died,Rural Area - School/College - Total,Rural Area - Residential - Total,Rural Area - Religious - Total,Rural Area - Recreation - Total,Rural Area - Factory - Total,Rural Area - Others - Total,Rural Area - Sub Total,Urban Area - School/College - Total,Urban Area - Residential - Total,Urban Area - Religious - Total,Urban Area - Recreation - Total,Urban Area - Factory - Total,Urban Area - Pedestrian Crossing - Total,Urban Area - Others - Total,Urban Area - Sub Total,Grand Total,Total Night Accidents,Total Day Accidents,Night %,Total Vehicle Deaths,Two Wheeler %,Peak Season,Climate Zone,Population (Lakhs),Deaths per Lakh
1,Andaman and Nicobar Islands,2015,96,6,3,3,1,1,9,0,27,23,23,17,25,26,18,15,26,15,23,20,1,3,25,45,39,48,67,30,4,5,0,14,23,0,9,0,1,0,1,11,0,8,1,2,0,0,1,12,23,101,157,39.1,23,39.1,Monsoon,Coastal/Humid,3.97,24.2
2,Andhra Pradesh,2015,15320,1389,593,1394,384,967,2526,1044,1868,1970,1917,2041,2067,1896,2086,1793,1758,1824,1736,1883,2160,2080,2492,2157,3143,3750,4133,2924,3062,2025,0,3210,8297,289,1406,254,72,239,3110,5370,112,348,91,112,96,556,1612,2927,8297,11297,11542,49.5,8297,30.4,Monsoon,Tropical Wet & Dry,495.63,30.9
3,Arunachal Pradesh,2015,319,45,2,61,7,0,28,34,26,28,26,15,12,14,23,24,24,22,40,30,7,9,23,50,58,52,53,32,52,82,0,43,177,2,27,10,0,1,88,128,6,1,2,3,0,2,35,49,177,101,183,35.6,177,15.8,Monsoon,Alpine/Cold,15.84,20.1
4,Assam,2015,3910,360,446,660,57,118,648,95,764,670,658,551,546,544,511,524,508,609,520,554,525,485,931,1421,1011,1289,868,429,1312,570,0,502,2384,225,481,172,10,70,17,975,166,682,196,81,222,40,22,1409,2384,2307,4652,33.2,2384,27.2,Monsoon,Heavy Rainfall,351.07,11.1
5,Bihar,2015,9470,1135,757,837,300,380,1095,996,713,753,806,817,1105,911,718,723,683,638,793,907,719,992,1512,1543,1315,1387,1322,777,2166,1906,111,1317,5500,291,615,250,27,55,1468,2706,257,537,198,118,118,201,1365,2794,5500,3810,5757,39.8,5500,19.9,Monsoon,Tropical Wet & Dry,1239.26,7.6
6,Chandigarh,2015,199,21,10,43,2,6,35,12,39,37,44,30,26,34,29,24,40,28,41,41,22,13,22,52,62,55,97,90,19,0,0,110,129,0,0,0,0,0,2,2,4,4,7,2,3,0,107,127,129,222,191,53.8,129,27.1,Monsoon,Hot & Dry,11.58,17.2
7,Chhattisgarh,2015,14333,932,168,523,260,47,1456,696,1368,1245,1262,1323,1251,1201,1112,1158,1085,1154,1172,1115,784,974,1757,2608,2064,2520,2400,1339,1230,1132,0,1720,4082,98,477,157,25,59,1554,2370,105,264,134,94,94,47,974,1712,4082,5497,8949,38.1,4082,35.7,Monsoon,Tropical Wet & Dry,292.36,49.0
8,Dadra and Nagar Haveli and Daman and Diu,2015,227,16,1,4,0,8,35,20,7,8,13,11,14,16,11,9,10,11,15,14,8,3,16,10,24,29,34,15,5,0,0,79,84,2,20,0,2,14,24,62,1,15,0,2,0,0,4,22,84,60,79,43.2,84,41.7,Monsoon,Coastal/Humid,6.86,33.1
9,Delhi,2015,5763,299,117,427,8,47,362,362,656,586,713,646,620,621,710,684,670,759,693,727,767,712,870,920,982,1143,1338,1353,251,34,8,1329,1622,10,60,26,0,2,187,285,29,196,30,3,30,108,941,1337,1622,4170,3915,51.6,1622,22.3,Monsoon,Hot & Dry,190.14,30.3
10,Goa,2015,746,25,3,53,0,1,182,50,399,353,349,344,391,335,314,328,354,382,399,390,247,133,357,661,740,796,875,529,123,40,0,151,314,14,35,14,2,13,141,219,2,12,2,3,3,5,68,95,314,1784,2554,41.1,314,58.0,Monsoon,Heavy Rainfall,15.86,47.0
