S.No.,Category,State/UT,Age_Below14_Male,Age_Below14_Female,Age_Below14_Transgender,Age_Below14_Total,Age_14_18_Male,Age_14_18_Female,Age_14_18_Transgender,Age_14_18_Total,Age_18_30_Male,Age_18_30_Female,Age_18_30_Transgender,Age_18_30_Total,Age_30_45_Male,Age_30_45_Female,Age_30_45_Transgender,Age_30_45_Total,Age_45_60_Male,Age_45_60_Female,Age_45_60_Transgender,Age_45_60_Total,Age_60Plus_Male,Age_60Plus_Female,Age_60Plus_Transgender,Age_60Plus_Total,Total_Male,Total_Female,Total_Transgender,Total_All,year
1,State,ANDHRA PRADESH,397,175,0,572,606,164,0,770,3636,824,0,4460,4886,875,0,5761,3107,737,0,3844,1437,568,0,2005,14069,3343,0,17412,2015
2,State,ARUNACHAL PRADESH,14,7,0,21,18,13,0,31,100,13,0,113,126,9,0,135,53,1,0,54,14,1,0,15,325,44,0,369,2015
3,State,ASSAM,140,43,0,183,569,104,0,673,1250,186,0,1436,947,177,0,1124,618,91,0,709,173,33,0,206,3697,634,0,4331,2015
4,State,BIHAR,471,129,0,600,964,217,0,1181,2610,710,0,3320,2418,646,0,3064,1439,316,0,1755,340,108,0,448,8242,2126,0,10368,2015
5,State,CHHATTISGARH,802,486,1,1289,899,468,0,1367,4572,1503,2,6077,4195,1295,1,5491,2865,838,1,3704,945,399,1,1345,14278,4989,6,19273,2015
6,State,GOA,15,10,0,25,9,5,0,14,200,22,0,222,222,25,0,247,142,25,0,167,96,29,0,125,684,116,0,800,2015
7,State,GUJARAT,720,394,0,1114,1165,412,0,1577,5947,1714,0,7661,7648,1921,1,9570,5146,1013,2,6161,1802,583,0,2385,22428,6037,3,28468,2015
8,State,HARYANA,350,114,0,464,703,177,0,880,3658,627,0,4285,3799,479,0,4278,2243,254,0,2497,749,120,0,869,11502,1771,0,13273,2015
9,State,HIMACHAL PRADESH,73,46,0,119,122,45,0,167,856,204,0,1060,978,153,0,1131,578,89,0,667,184,42,0,226,2791,579,0,3370,2015
10,State,JAMMU & KASHMIR,27,17,0,44,56,18,0,74,482,83,0,565,646,135,2,783,346,60,0,406,34,6,0,40,1591,319,2,1912,2015
11,State,JHARKHAND,131,42,0,173,295,88,0,383,1554,389,0,1943,1417,322,0,1739,870,166,0,1036,372,91,0,463,4639,1098,0,5737,2015
12,State,KARNATAKA,648,237,0,885,773,401,0,1174,6687,1650,1,8338,6553,1850,0,8403,4648,1045,0,5693,1467,444,0,1911,20776,5627,1,26404,2015
13,State,KERALA,255,90,0,345,408,78,0,486,1776,236,0,2012,2294,468,0,2762,2782,594,0,3376,1876,628,0,2504,9391,2094,0,11485,2015
14,State,MADHYA PRADESH,2151,1018,0,3169,2667,1317,0,3984,8964,3317,2,12283,8896,2792,1,11689,4999,1452,1,6452,2289,763,0,3052,29966,10659,4,40629,2015
15,State,MAHARASHTRA,1785,1285,0,3070,2016,819,1,2836,11611,3713,6,15330,15914,3761,2,19677,12679,2444,1,15124,6328,2201,0,8529,50333,14223,10,64566,2015
16,State,MANIPUR,4,3,0,7,8,0,0,8,77,7,0,84,109,17,0,126,43,5,0,48,13,0,0,13,254,32,0,286,2015
17,State,MEGHALAYA,28,10,0,38,31,3,0,34,144,23,0,167,110,16,0,126,20,14,0,34,16,6,0,22,349,72,0,421,2015
