S.No.,State/UT,Year,Truck/Lorry/Mini Truck - Died,Bus - Died,SUV/Car/Jeep - Died,Tractor - Died,Three Wheeler/Auto Rickshaw - Died,Two Wheeler - Died,Other Motor Vehicles - Died
1,Andaman and Nicobar Islands,2015,6,3,3,1,1,9,0
2,Andhra Pradesh,2015,1389,593,1394,384,967,2526,1044
3,Arunachal Pradesh,2015,45,2,61,7,0,28,34
4,Assam,2015,360,446,660,57,118,648,95
5,Bihar,2015,1135,757,837,300,380,1095,996
6,Chandigarh,2015,21,10,43,2,6,35,12
7,Chhattisgarh,2015,932,168,523,260,47,1456,696
8,Dadra and Nagar Haveli and Daman and Diu,2015,16,1,4,0,8,35,20
9,Delhi,2015,299,117,427,8,47,362,362
10,Goa,2015,25,3,53,0,1,182,50
11,Gujarat,2015,1617,385,2115,197,648,2337,946
12,Haryana,2015,1078,317,1249,175,212,872,1142
13,Himachal Pradesh,2015,175,124,514,41,5,178,59
14,Jammu and Kashmir,2015,151,119,236,32,19,121,245
15,Jharkhand,2015,513,304,492,80,256,1158,90
16,Karnataka,2015,1345,856,2014,354,576,3836,1876
17,Kerala,2015,399,434,677,5,233,1565,883
18,Lakshadweep,2015,0,0,0,0,0,0,0
19,Madhya Pradesh,2015,1606,733,2212,698,224,3125,1160
20,Maharashtra,2015,2252,540,2200,338,592,5632,2131
21,Manipur,2015,37,6,34,1,3,25,23
22,Meghalaya,2015,77,14,47,1,6,36,24
23,Mizoram,2015,24,0,12,1,0,17,11
24,Nagaland,2015,6,1,28,0,4,8,0
25,Odisha,2015,718,366,672,177,216,1357,797
26,Puducherry,2015,16,18,36,4,4,50,107
27,Punjab,2015,730,478,1396,205,160,1393,531
28,Rajasthan,2015,2090,711,2558,652,154,2427,1918
29,Sikkim,2015,28,0,36,0,0,4,7
30,Tamil Nadu,2015,2633,2071,3304,214,359,4887,2174
31,Telangana,2015,1195,359,1114,328,587,2526,1001
32,Tripura,2015,31,6,32,0,7,33,49
33,Uttar Pradesh,2015,5720,1767,3943,792,854,3915,1416
34,Uttarakhand,2015,231,105,217,77,13,127,143
35,West Bengal,2015,2010,594,1225,92,208,1535,1041
36,Andaman and Nicobar Islands,2016,2,2,0,0,2,11,0
37,Andhra Pradesh,2016,1246,493,1326,479,905,2442,1650
