S.No.,Category,State/UT,Road_Accidents_January,Road_Accidents_February,Road_Accidents_March,Road_Accidents_April,Road_Accidents_May,Road_Accidents_June,Road_Accidents_July,Road_Accidents_August,Road_Accidents_September,Road_Accidents_October,Road_Accidents_November,Road_Accidents_December,Road_Accidents_Total,Railway_Crossing_Accidents_January,Railway_Crossing_Accidents_February,Railway_Crossing_Accidents_March,Railway_Crossing_Accidents_April,Railway_Crossing_Accidents_May,Railway_Crossing_Accidents_June,Railway_Crossing_Accidents_July,Railway_Crossing_Accidents_August,Railway_Crossing_Accidents_September,Railway_Crossing_Accidents_October,Railway_Crossing_Accidents_November,Railway_Crossing_Accidents_December,Railway_Crossing_Accidents_Total,Railway_Accidents_January,Railway_Accidents_February,Railway_Accidents_March,Railway_Accidents_April,Railway_Accidents_May,Railway_Accidents_June,Railway_Accidents_July,Railway_Accidents_August,Railway_Accidents_September,Railway_Accidents_October,Railway_Accidents_November,Railway_Accidents_December,Railway_Accidents_Total,Total_Traffic_Accidents_January,Total_Traffic_Accidents_February,Total_Traffic_Accidents_March,Total_Traffic_Accidents_April,Total_Traffic_Accidents_May,Total_Traffic_Accidents_June,Total_Traffic_Accidents_July,Total_Traffic_Accidents_August,Total_Traffic_Accidents_September,Total_Traffic_Accidents_October,Total_Traffic_Accidents_November,Total_Traffic_Accidents_December,Total_Traffic_Accidents_Total,year
1,State,ANDHRA PRADESH,1868,1970,1917,2041,2067,1896,2086,1793,1758,1824,1736,1883,22839,27,18,23,21,30,23,26,19,22,21,17,21,268,98,75,95,93,109,92,111,88,90,108,84,86,1129,1993,2063,2035,2155,2206,2011,2223,1900,1870,1953,1837,1990,24236,2015
2,State,ARUNACHAL PRADESH,26,28,26,15,12,14,23,24,24,22,40,30,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,26,28,26,15,12,14,24,24,24,22,40,30,285,2015
3,State,ASSAM,764,670,658,551,546,544,511,524,508,609,520,554,6959,3,1,0,2,0,0,0,0,0,2,1,1,10,52,44,42,55,38,72,55,54,80,58,64,50,664,819,715,700,608,584,616,566,578,588,669,585,605,7633,2015
4,State,BIHAR,713,753,806,817,1105,911,718,723,683,638,793,907,9567,3,1,3,0,0,1,0,0,0,3,1,3,15,143,141,167,143,163,193,171,156,152,148,162,150,1889,859,895,976,960,1268,1105,889,879,835,789,956,1060,11471,2015
5,State,CHHATTISGARH,1368,1245,1262,1323,1251,1201,1112,1158,1085,1154,1172,1115,14446,3,1,0,0,0,3,1,0,1,0,1,0,10,42,30,60,42,43,46,44,50,39,45,45,35,521,1413,1276,1322,1365,1294,1250,1157,1208,1125,1199,1218,1150,14977,2015
6,State,GOA,399,353,349,344,391,335,314,328,354,382,399,390,4338,0,1,3,1,0,0,2,3,0,0,1,0,11,3,3,4,4,2,3,1,3,4,2,5,2,36,402,357,356,349,393,338,317,334,358,384,405,392,4385,2015
7,State,GUJARAT,1983,1907,2020,1922,2154,1880,1656,1733,1827,2009,2111,2160,23362,8,6,7,9,11,6,9,13,14,7,10,12,112,75,67,86,87,106,92,101,91,95,105,93,86,1084,2066,1980,2113,2018,2271,1978,1766,1837,1936,2121,2214,2258,24558,2015
8,State,HARYANA,846,843,972,943,928,956,889,939,882,999,1068,1022,11287,85,90,109,97,122,123,136,106,124,101,107,90,1290,0,0,0,0,0,0,0,0,0,0,0,1,1,931,933,1081,1040,1050,1079,1025,1045,1006,1100,1175,1113,12578,2015
9,State,HIMACHAL PRADESH,208,182,218,219,273,296,281,241,280,299,274,239,3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,182,218,219,273,296,281,241,280,299,274,239,3010,2015
10,State,JAMMU & KASHMIR,410,391,407,441,533,490,561,524,514,555,522,499,5847,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,7,1,7,5,4,6,7,5,8,3,61,412,397,414,442,540,495,565,530,521,560,530,502,5908,2015
