S.No.,State/UT,Year,Rural Area - School/College - Total,Rural Area - Residential - Total,Rural Area - Religious - Total,Rural Area - Recreation - Total,Rural Area - Factory - Total,Rural Area - Others - Total,Rural Area - Sub Total,Urban Area - School/College - Total,Urban Area - Residential - Total,Urban Area - Religious - Total,Urban Area - Recreation - Total,Urban Area - Factory - Total,Urban Area - Pedestrian Crossing - Total,Urban Area - Others - Total,Urban Area - Sub Total,Grand Total
1,Andaman and Nicobar Islands,2015,0,9,0,1,0,1,11,0,8,1,2,0,0,1,12,23
2,Andhra Pradesh,2015,289,1406,254,72,239,3110,5370,112,348,91,112,96,556,1612,2927,8297
3,Arunachal Pradesh,2015,2,27,10,0,1,88,128,6,1,2,3,0,2,35,49,177
4,Assam,2015,225,481,172,10,70,17,975,166,682,196,81,222,40,22,1409,2384
5,Bihar,2015,291,615,250,27,55,1468,2706,257,537,198,118,118,201,1365,2794,5500
6,Chandigarh,2015,0,0,0,0,0,2,2,4,4,7,2,3,0,107,127,129
7,Chhattisgarh,2015,98,477,157,25,59,1554,2370,105,264,134,94,94,47,974,1712,4082
8,Dadra and Nagar Haveli and Daman and Diu,2015,2,20,0,2,14,24,62,1,15,0,2,0,0,4,22,84
9,Delhi,2015,10,60,26,0,2,187,285,29,196,30,3,30,108,941,1337,1622
10,Goa,2015,14,35,14,2,13,141,219,2,12,2,3,3,5,68,95,314
11,Gujarat,2015,217,1990,269,115,507,3169,6267,160,730,105,70,287,118,508,1978,8245
12,Haryana,2015,172,884,128,48,135,2028,3395,82,257,81,78,156,319,677,1650,5045
13,Himachal Pradesh,2015,51,202,17,3,26,576,875,39,43,9,2,5,6,117,221,1096
14,Jammu and Kashmir,2015,14,192,21,0,16,436,679,8,39,4,7,7,7,172,244,923
15,Jharkhand,2015,263,844,141,48,177,57,1530,224,505,89,116,91,292,46,1363,2893
16,Karnataka,2015,298,604,309,101,300,4997,6609,285,570,195,174,272,468,2284,4248,10857
17,Kerala,2015,168,542,91,48,86,1249,2184,87,514,74,70,81,113,1073,2012,4196
18,Lakshadweep,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Madhya Pradesh,2015,358,2610,164,76,123,2211,5542,309,1732,184,104,208,349,1330,4216,9758
20,Maharashtra,2015,234,1412,321,24,292,6749,9032,264,1160,186,128,239,396,2280,4653,13685
21,Manipur,2015,13,67,0,0,7,11,98,2,13,2,0,1,11,2,31,129
22,Meghalaya,2015,10,56,2,0,10,72,150,1,17,0,0,9,0,28,55,205
23,Mizoram,2015,1,15,0,0,0,14,30,0,19,0,0,0,0,16,35,65
24,Nagaland,2015,0,1,0,0,0,35,36,0,0,0,0,0,2,9,11,47
25,Odisha,2015,144,345,88,75,140,1513,2305,99,211,43,60,117,96,1372,1998,4303
26,Puducherry,2015,15,25,26,20,25,0,111,5,90,5,14,3,3,4,124,235
27,Punjab,2015,289,911,220,117,236,1303,3076,208,468,79,74,191,126,671,1817,4893
28,Rajasthan,2015,185,1006,67,47,177,5882,7364,227,670,110,98,218,47,1776,3146,10510
29,Sikkim,2015,2,8,0,0,0,44,54,2,8,1,0,0,0,10,21,75
30,Tamil Nadu,2015,619,1179,470,176,448,6484,9376,322,679,209,251,340,1061,3404,6266,15642
31,Telangana,2015,349,639,155,384,223,1181,2931,275,827,317,331,412,1518,499,4179,7110
32,Tripura,2015,5,31,2,0,3,44,85,3,19,3,0,4,10,34,73,158
33,Uttar Pradesh,2015,763,4818,292,139,341,5224,11577,449,2094,221,179,484,237,3166,6830,18407
34,Uttarakhand,2015,21,43,34,29,23,316,466,16,135,28,22,26,20,200,447,913
35,West Bengal,2015,156,806,35,57,179,2931,4164,195,711,69,131,89,415,931,2541,6705
36,Andaman and Nicobar Islands,2016,0,1,1,0,0,7,9,1,2,1,0,0,0,4,8,17
37,Andhra Pradesh,2016,313,1130,309,163,204,3768,5887,239,465,136,193,116,349,1156,2654,8541
38,Arunachal Pradesh,2016,8,28,0,0,0,62,98,5,14,6,1,0,0,18,44,142
39,Assam,2016,136,501,153,142,69,223,1224,162,405,117,116,75,61,441,1377,2601
40,Bihar,2016,476,1167,192,86,25,404,2350,470,988,197,150,126,257,329,2517,4867
41,Chandigarh,2016,0,1,1,0,0,3,5,3,9,5,2,3,27,97,146,151
42,Chhattisgarh,2016,79,542,33,11,24,1561,2250,77,426,36,50,107,85,878,1659,3909
43,Dadra and Nagar Haveli and Daman and Diu,2016,1,11,1,13,7,22,55,0,0,0,1,0,6,11,18,73
44,Delhi,2016,16,30,6,3,13,203,271,88,145,58,12,22,112,883,1320,1591
45,Goa,2016,8,106,12,3,15,116,260,4,32,4,1,4,0,34,79,339
46,Gujarat,2016,277,1317,216,161,412,3219,5602,275,570,227,118,348,259,753,2550,8152
47,Haryana,2016,235,715,123,87,241,1841,3242,137,285,73,66,229,284,854,1928,5170
48,Himachal Pradesh,2016,17,104,18,0,16,551,706,13,110,6,5,35,8,283,460,1166
49,Jammu and Kashmir,2016,14,162,9,1,9,458,653,8,36,5,7,10,15,224,305,958
50,Jharkhand,2016,202,288,135,76,87,351,1139,340,487,248,377,119,102,215,1888,3027
51,Karnataka,2016,212,1013,273,23,167,4675,6363,227,1356,345,168,264,345,2218,4923,11286
52,Kerala,2016,192,754,195,64,37,1190,2432,123,618,131,90,77,171,645,1855,4287
53,Lakshadweep,2016,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
54,Madhya Pradesh,2016,402,2155,354,136,237,2471,5755,323,1302,366,113,171,141,1690,4106,9861
55,Maharashtra,2016,254,1302,203,51,218,6076,8104,245,1757,328,113,315,444,2376,5578,13682
56,Manipur,2016,13,67,0,0,7,11,98,2,13,2,0,1,11,2,31,129
57,Meghalaya,2016,12,110,7,2,5,14,150,11,31,2,3,0,1,6,54,204
58,Mizoram,2016,0,21,0,0,1,24,46,0,5,0,0,1,0,8,14,60
59,Nagaland,2016,5,15,0,1,0,2,23,3,17,0,1,0,0,3,24,47
60,Odisha,2016,177,416,85,97,63,1886,2724,168,190,63,22,44,117,1135,1739,4463
61,Puducherry,2016,8,27,4,0,10,81,130,14,10,10,4,2,10,61,111,241
62,Punjab,2016,287,1130,201,150,187,1121,3076,225,645,147,109,225,171,479,2001,5077
63,Rajasthan,2016,219,1241,98,45,173,5823,7599,160,619,92,43,68,35,1849,2866,10465
64,Sikkim,2016,8,22,6,2,21,25,84,2,7,0,1,0,0,18,28,112
65,Tamil Nadu,2016,736,1437,368,540,987,7898,11966,471,739,481,562,436,483,2080,5252,17218
66,Telangana,2016,244,718,208,428,117,1819,3534,439,758,318,741,466,111,852,3685,7219
67,Tripura,2016,6,40,5,3,3,55,112,5,17,5,2,20,8,4,61,173
68,Uttar Pradesh,2016,1865,5146,770,226,569,4009,12585,740,2530,337,182,431,155,2046,6421,19006
69,Uttarakhand,2016,42,106,19,14,6,163,350,52,106,63,27,52,22,244,566,916
70,West Bengal,2016,152,1592,59,100,199,2113,4215,164,1110,95,200,120,201,545,2435,6650
71,Andaman and Nicobar Islands,2017,0,9,0,0,0,2,11,2,3,1,0,0,0,4,10,21
72,Andhra Pradesh,2017,704,1795,154,188,135,3038,6014,144,703,84,102,156,180,677,2046,8060
73,Arunachal Pradesh,2017,4,16,1,0,0,31,52,0,8,1,0,0,1,10,20,72
