S.No.,State/UT,year,Road_Accidents,Road_Injured,Road_Deaths,Category
1,ANDAMAN AND NICOBAR ISLANDS,2015,258,331,23,UT
2,ANDHRA PRADESH,2015,22839,29439,8297,State
3,ARUNACHAL PRADESH,2015,284,383,177,State
4,ASSAM,2015,6959,7068,2384,State
5,BIHAR,2015,9567,6325,5500,State
6,CHANDIGARH,2015,413,331,129,UT
7,CHHATTISGARH,2015,14446,13426,4082,State
8,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2015,139,161,84,UT
9,DELHI,2015,8085,8258,1622,UT
10,GOA,2015,4338,2254,314,State
11,GUJARAT,2015,23362,21505,8245,State
12,HARYANA,2015,11287,10619,5045,State
13,HIMACHAL PRADESH,2015,3010,5108,1096,State
14,JAMMU AND KASHMIR,2015,5847,8248,923,UT
15,JHARKHAND,2015,5162,4038,2893,State
16,KARNATAKA,2015,44011,56971,10857,State
17,KERALA,2015,39014,43468,4196,State
18,LAKSHADWEEP,2015,3,3,0,UT
19,MADHYA PRADESH,2015,40859,40878,9758,State
20,MAHARASHTRA,2015,42250,39301,13685,State
21,MANIPUR,2015,668,1118,129,State
22,MEGHALAYA,2015,421,589,205,State
23,MIZORAM,2015,71,78,65,State
24,NAGALAND,2015,42,56,47,State
25,ODISHA,2015,10542,11825,4303,State
26,PUDUCHERRY,2015,1530,1552,235,UT
27,PUNJAB,2015,6702,4414,4893,State
28,RAJASTHAN,2015,24072,26153,10510,State
29,SIKKIM,2015,211,321,75,State
30,TAMIL NADU,2015,69059,79746,15642,State
31,TELANGANA,2015,21252,22948,7110,State
32,TRIPURA,2015,647,1029,158,State
33,UTTAR PRADESH,2015,28095,17384,18407,State
34,UTTARAKHAND,2015,1523,1657,913,State
35,WEST BENGAL,2015,17706,15404,6705,State
36,ANDAMAN AND NICOBAR ISLANDS,2016,238,323,17,UT
37,ANDHRA PRADESH,2016,23658,30051,8541,State
38,ARUNACHAL PRADESH,2016,227,340,142,State
39,ASSAM,2016,7270,5835,2601,State
40,BIHAR,2016,8222,5540,4867,State
41,CHANDIGARH,2016,426,329,151,UT
42,CHHATTISGARH,2016,13581,13002,3909,State
43,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2016,113,169,73,UT
44,DELHI,2016,7375,6668,1591,UT
45,GOA,2016,4304,2084,339,State
46,GUJARAT,2016,21558,20044,8152,State
47,HARYANA,2016,11325,10319,5170,State
48,HIMACHAL PRADESH,2016,3153,5584,1166,State
49,JAMMU AND KASHMIR,2016,5477,7692,958,UT
50,JHARKHAND,2016,4932,3793,3027,State
51,KARNATAKA,2016,44436,54544,11286,State
52,KERALA,2016,39420,44108,4287,State
53,LAKSHADWEEP,2016,1,0,1,UT
54,MADHYA PRADESH,2016,51944,53052,9861,State
55,MAHARASHTRA,2016,37886,35726,13682,State
56,MANIPUR,2016,668,1118,129,State
57,MEGHALAYA,2016,282,372,204,State
58,MIZORAM,2016,64,31,60,State
59,NAGALAND,2016,53,46,47,State
60,ODISHA,2016,10532,11312,4463,State
61,PUDUCHERRY,2016,1763,1766,241,UT
62,PUNJAB,2016,6952,4351,5077,State
63,RAJASTHAN,2016,23066,24103,10465,State
64,SIKKIM,2016,223,343,112,State
65,TAMIL NADU,2016,71431,82163,17218,State
66,TELANGANA,2016,22811,24217,7219,State
67,TRIPURA,2016,557,853,173,State
68,UTTAR PRADESH,2016,30608,20024,19006,State
69,UTTARAKHAND,2016,1545,1732,916,State
70,WEST BENGAL,2016,16949,13874,6650,State
71,ANDAMAN AND NICOBAR ISLANDS,2017,189,263,21,UT
72,ANDHRA PRADESH,2017,22456,27475,8060,State
73,ARUNACHAL PRADESH,2017,127,171,72,State
74,ASSAM,2017,6805,5277,2597,State
75,BIHAR,2017,8855,6014,5554,State
76,CHANDIGARH,2017,336,292,112,UT
77,CHHATTISGARH,2017,13563,12528,4136,State
78,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2017,146,130,79,UT
79,DELHI,2017,6672,6086,1638,UT
80,GOA,2017,3920,1739,334,State
81,GUJARAT,2017,18631,17955,7663,State
82,HARYANA,2017,11682,10385,5469,State
83,HIMACHAL PRADESH,2017,3111,5372,1180,State
84,JAMMU AND KASHMIR,2017,5443,7189,876,UT
85,JHARKHAND,2017,5198,3918,3256,State
86,KARNATAKA,2017,42542,52961,10609,State
87,KERALA,2017,38470,42671,4131,State
88,LAKSHADWEEP,2017,2,2,0,UT
89,MADHYA PRADESH,2017,48590,53114,10443,State
90,MAHARASHTRA,2017,28823,27525,13020,State
91,MANIPUR,2017,586,1029,132,State
92,MEGHALAYA,2017,286,379,232,State
93,MIZORAM,2017,65,46,67,State
94,NAGALAND,2017,60,79,45,State
95,ODISHA,2017,10855,11176,4623,State
96,PUDUCHERRY,2017,1693,1941,227,UT
97,PUNJAB,2017,6322,4161,4603,State
98,RAJASTHAN,2017,22112,22071,10444,State
99,SIKKIM,2017,171,375,63,State
100,TAMIL NADU,2017,65562,74571,16157,State
101,TELANGANA,2017,22484,23990,6596,State
102,TRIPURA,2017,504,716,163,State
103,UTTAR PRADESH,2017,34579,21600,20761,State
104,UTTARAKHAND,2017,1580,1415,918,State
105,WEST BENGAL,2017,13310,11624,5812,State
106,ANDAMAN AND NICOBAR ISLANDS,2018,254,260,19,UT
107,ANDHRA PRADESH,2018,21008,22009,7584,State
108,ARUNACHAL PRADESH,2018,229,243,163,State
109,ASSAM,2018,7180,6081,2712,State
110,BIHAR,2018,9600,6679,6729,State
111,CHANDIGARH,2018,317,267,101,UT
112,CHHATTISGARH,2018,13865,12716,4593,State
113,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2018,151,152,90,UT
114,DELHI,2018,6517,5640,1734,UT
115,GOA,2018,3710,1502,264,State
116,GUJARAT,2018,18414,17619,8040,State
117,HARYANA,2018,11652,9819,5429,State
118,HIMACHAL PRADESH,2018,3119,4992,1077,State
119,JAMMU AND KASHMIR,2018,5997,7855,986,UT
120,JHARKHAND,2018,5394,3975,3542,State
121,KARNATAKA,2018,41707,51562,10990,State
122,KERALA,2018,40181,45458,4303,State
123,LAKSHADWEEP,2018,3,3,1,UT
124,MADHYA PRADESH,2018,47469,51149,11427,State
125,MAHARASHTRA,2018,29740,25102,13863,State
126,MANIPUR,2018,602,1046,135,State
127,MEGHALAYA,2018,258,232,196,State
128,MIZORAM,2018,50,73,62,State
129,NAGALAND,2018,50,90,35,State
130,ODISHA,2018,11262,11389,5236,State
131,PUDUCHERRY,2018,1597,1727,226,UT
132,PUNJAB,2018,6424,3339,4738,State
133,RAJASTHAN,2018,21743,21547,10320,State
134,SIKKIM,2018,169,357,71,State
135,TAMIL NADU,2018,63920,74537,12216,State
136,TELANGANA,2018,22230,23613,6603,State
137,TRIPURA,2018,551,741,212,State
138,UTTAR PRADESH,2018,36855,22322,22541,State
139,UTTARAKHAND,2018,1469,1583,1073,State
140,WEST BENGAL,2018,11827,10839,5469,State
141,ANDAMAN AND NICOBAR ISLANDS,2019,230,207,20,UT
142,ANDHRA PRADESH,2019,20677,24619,7984,State
143,ARUNACHAL PRADESH,2019,200,275,109,State
144,ASSAM,2019,8055,7081,3245,State
145,BIHAR,2019,10007,7206,7205,State
146,CHANDIGARH,2019,304,275,104,UT
147,CHHATTISGARH,2019,13899,13089,5003,State
148,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2019,131,179,78,UT
149,DELHI,2019,5601,4949,1508,UT
150,GOA,2019,3440,1460,299,State
151,GUJARAT,2019,16503,15976,7428,State
152,HARYANA,2019,10937,9247,5269,State
153,HIMACHAL PRADESH,2019,2896,4740,1124,State
154,JAMMU AND KASHMIR,2019,5795,7517,1009,UT
155,JHARKHAND,2019,5217,3818,3801,State
156,KARNATAKA,2019,40644,50442,10951,State
157,KERALA,2019,39944,44467,4370,State
158,LAKSHADWEEP,2019,1,1,0,UT
159,MADHYA PRADESH,2019,51641,53765,11856,State
160,MAHARASHTRA,2019,27286,23289,14608,State
161,MANIPUR,2019,672,1055,156,State
162,MEGHALAYA,2019,236,287,176,State
163,MIZORAM,2019,57,25,63,State
164,NAGALAND,2019,26,59,22,State
165,ODISHA,2019,11064,11177,5333,State
166,PUDUCHERRY,2019,1392,1619,147,UT
167,PUNJAB,2019,6316,3726,4613,State
168,RAJASTHAN,2019,23478,22979,10563,State
169,SIKKIM,2019,172,329,84,State
170,TAMIL NADU,2019,57228,67137,10525,State
171,TELANGANA,2019,21570,21999,6964,State
172,TRIPURA,2019,655,816,239,State
173,UTTAR PRADESH,2019,37537,22251,23285,State
174,UTTARAKHAND,2019,1352,1457,867,State
175,WEST BENGAL,2019,12233,11744,5724,State
176,ANDAMAN AND NICOBAR ISLANDS,2020,141,145,14,UT
177,ANDHRA PRADESH,2020,17924,19675,7039,State
178,ARUNACHAL PRADESH,2020,159,143,90,State
179,ASSAM,2020,6737,5065,2813,State
180,BIHAR,2020,8639,7019,6698,State
181,CHANDIGARH,2020,157,148,53,UT
182,CHHATTISGARH,2020,11674,10549,4616,State
183,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2020,98,119,64,UT
184,DELHI,2020,4187,3454,1196,UT
185,GOA,2020,2375,875,224,State
186,GUJARAT,2020,13407,11984,6200,State
187,HARYANA,2020,9506,7627,4631,State
188,HIMACHAL PRADESH,2020,2235,3208,864,State
189,JAMMU AND KASHMIR,2020,5000,6070,763,UT
190,JHARKHAND,2020,4405,3295,3044,State
191,KARNATAKA,2020,34178,39492,9760,State
192,KERALA,2020,27799,30502,2977,State
193,LAKSHADWEEP,2020,1,1,0,UT
194,MADHYA PRADESH,2020,42396,41782,11665,State
195,MAHARASHTRA,2020,22211,17165,12018,State
196,MANIPUR,2020,432,662,127,State
197,MEGHALAYA,2020,205,212,138,State
198,MIZORAM,2020,47,45,53,State
