S.No.,State/UT,Year,National Highways - Died,State Highways - Died,Expressways - Died,Other Roads - Died,Total - Died
1,Andaman and Nicobar Islands,2015,4,5,0,14,23
2,Andhra Pradesh,2015,3062,2025,0,3210,8297
3,Arunachal Pradesh,2015,52,82,0,43,177
4,Assam,2015,1312,570,0,502,2384
5,Bihar,2015,2166,1906,111,1317,5500
6,Chandigarh,2015,19,0,0,110,129
7,Chhattisgarh,2015,1230,1132,0,1720,4082
8,Dadra and Nagar Haveli and Daman and Diu,2015,5,0,0,79,84
9,Delhi,2015,251,34,8,1329,1622
10,Goa,2015,123,40,0,151,314
11,Gujarat,2015,2047,2683,81,3434,8245
12,Haryana,2015,1859,1577,136,1473,5045
13,Himachal Pradesh,2015,369,273,0,454,1096
14,Jammu and Kashmir,2015,374,76,0,473,923
15,Jharkhand,2015,1224,783,101,785,2893
16,Karnataka,2015,3794,3027,21,4015,10857
17,Kerala,2015,1387,939,0,1870,4196
18,Lakshadweep,2015,0,0,0,0,0
19,Madhya Pradesh,2015,2750,2923,117,3968,9758
20,Maharashtra,2015,3577,4053,198,5857,13685
21,Manipur,2015,89,25,0,15,129
22,Meghalaya,2015,139,30,0,36,205
23,Mizoram,2015,23,36,0,6,65
24,Nagaland,2015,22,10,0,15,47
25,Odisha,2015,1635,1610,47,1011,4303
26,Puducherry,2015,149,19,0,67,235
27,Punjab,2015,1561,1430,0,1902,4893
28,Rajasthan,2015,3589,1909,360,4652,10510
29,Sikkim,2015,12,26,0,37,75
30,Tamil Nadu,2015,5479,5689,219,4255,15642
31,Telangana,2015,2086,1641,0,3383,7110
32,Tripura,2015,50,64,0,44,158
33,Uttar Pradesh,2015,6624,4488,301,6994,18407
34,Uttarakhand,2015,464,221,0,228,913
35,West Bengal,2015,2124,1893,149,2539,6705
36,Andaman and Nicobar Islands,2016,5,2,0,10,17
37,Andhra Pradesh,2016,2931,2213,2,3395,8541
38,Arunachal Pradesh,2016,58,39,0,45,142
39,Assam,2016,1527,715,2,357,2601
40,Bihar,2016,2046,1742,0,1079,4867
41,Chandigarh,2016,21,0,0,130,151
42,Chhattisgarh,2016,1246,1019,0,1644,3909
43,Dadra and Nagar Haveli and Daman and Diu,2016,0,0,0,73,73
44,Delhi,2016,255,153,0,1183,1591
45,Goa,2016,151,49,0,139,339
46,Gujarat,2016,1910,2796,106,3340,8152
47,Haryana,2016,1845,1274,62,1989,5170
48,Himachal Pradesh,2016,411,206,0,549,1166
