S.No.,Category,State/UT,Deaths_Natural,Deaths_Other_Causes,Deaths_Total,Pct_Share,Population_Lakh,Death_Rate,year
1,State,ANDHRA PRADESH,771,16641,17412,4.2,513.4,33.9,2015
2,State,ARUNACHAL PRADESH,27,342,369,0.1,13.0,28.3,2015
3,State,ASSAM,236,4095,4331,1.0,322.0,13.5,2015
4,State,BIHAR,417,9951,10368,2.5,1031.4,10.1,2015
5,State,CHHATTISGARH,261,19012,19273,4.7,256.6,75.1,2015
6,State,GOA,0,800,800,0.2,19.7,40.7,2015
7,State,GUJARAT,250,28218,28468,6.9,623.3,45.7,2015
8,State,HARYANA,619,12654,13273,3.2,272.2,48.8,2015
9,State,HIMACHAL PRADESH,283,3087,3370,0.8,70.6,47.8,2015
10,State,JAMMU & KASHMIR,387,1525,1912,0.5,123.4,15.5,2015
11,State,JHARKHAND,342,5395,5737,1.4,333.5,17.2,2015
12,State,KARNATAKA,143,26261,26404,6.4,619.9,42.6,2015
13,State,KERALA,40,11445,11485,2.8,355.5,32.3,2015
14,State,MADHYA PRADESH,648,39981,40629,9.8,771.3,52.7,2015
15,State,MAHARASHTRA,450,64116,64566,15.6,1191.4,54.2,2015
16,State,MANIPUR,0,286,286,0.1,25.7,11.1,2015
17,State,MEGHALAYA,19,402,421,0.1,27.5,15.3,2015
18,State,MIZORAM,2,181,183,0.0,10.6,17.3,2015
19,State,NAGALAND,0,88,88,0.0,23.6,3.7,2015
20,State,ODISHA,954,11633,12587,3.0,422.5,29.8,2015
21,State,PUNJAB,238,10186,10424,2.5,289.4,36.0,2015
22,State,RAJASTHAN,196,28122,28318,6.8,723.1,39.2,2015
23,State,SIKKIM,10,200,210,0.1,6.4,32.7,2015
24,State,TAMIL NADU,362,33303,33665,8.1,691.6,48.7,2015
25,State,TELANGANA,246,14363,14609,3.5,365.6,40.0,2015
26,State,TRIPURA,4,546,550,0.1,38.0,14.5,2015
27,State,UTTAR PRADESH,2383,34599,36982,8.9,2158.4,17.1,2015
28,State,UTTARAKHAND,186,2562,2748,0.7,105.4,26.1,2015
29,State,WEST BENGAL,291,14861,15152,3.7,930.0,16.3,2015
30,UT,A & N ISLANDS,0,187,187,0.0,5.5,34.2,2015
31,UT,CHANDIGARH,0,266,266,0.1,17.4,15.3,2015
32,UT,D & N HAVELI,0,124,124,0.0,4.2,29.7,2015
33,UT,DAMAN & DIU,0,145,145,0.0,3.2,45.2,2015
34,UT,DELHI (UT),745,6156,6901,1.7,208.8,33.1,2015
35,UT,LAKSHADWEEP,0,7,7,0.0,0.8,8.8,2015
36,UT,PUDUCHERRY,0,1207,1207,0.3,16.5,73.4,2015
37,State,ANDHRA PRADESH,426,17382,17808,4.3,517.4,34.4,2016
38,State,ARUNACHAL PRADESH,47,409,456,0.1,13.2,34.5,2016
39,State,ASSAM,544,4971,5515,1.3,325.8,16.9,2016
40,State,BIHAR,1057,9514,10571,2.5,1043.0,10.1,2016
41,State,CHHATTISGARH,305,17809,18114,4.3,259.9,69.7,2016
42,State,GOA,0,768,768,0.2,19.9,38.6,2016
43,State,GUJARAT,127,27283,27410,6.6,630.8,43.5,2016
44,State,HARYANA,604,14387,14991,3.6,276.1,54.3,2016
45,State,HIMACHAL PRADESH,84,3278,3362,0.8,71.2,47.2,2016
46,State,JAMMU & KASHMIR,280,1485,1765,0.4,124.6,14.2,2016
47,State,JHARKHAND,757,5758,6515,1.6,338.0,19.3,2016
48,State,KARNATAKA,96,26133,26229,6.3,625.7,41.9,2016
49,State,KERALA,29,11980,12009,2.9,357.5,33.6,2016
50,State,MADHYA PRADESH,899,41107,42006,10.0,782.6,53.7,2016
51,State,MAHARASHTRA,482,68620,69102,16.5,1205.5,57.3,2016
52,State,MANIPUR,0,286,286,0.1,26.0,11.0,2016
53,State,MEGHALAYA,18,403,421,0.1,27.8,15.1,2016
54,State,MIZORAM,11,192,203,0.0,10.7,19.0,2016
55,State,NAGALAND,0,79,79,0.0,23.9,3.3,2016
56,State,ODISHA,467,11821,12288,2.9,425.9,28.9,2016
57,State,PUNJAB,298,10708,11006,2.6,292.0,37.7,2016
58,State,RAJASTHAN,195,28216,28411,6.8,732.8,38.8,2016
59,State,SIKKIM,5,285,290,0.1,6.5,44.6,2016
60,State,TAMIL NADU,48,32942,32990,7.9,695.2,47.5,2016
61,State,TELANGANA,292,13288,13580,3.2,368.5,36.9,2016
62,State,TRIPURA,21,738,759,0.2,38.4,19.8,2016
63,State,UTTAR PRADESH,1307,32761,34068,8.1,2192.4,15.5,2016
64,State,UTTARAKHAND,54,1584,1638,0.4,106.8,15.3,2016
65,State,WEST BENGAL,220,16974,17194,4.1,938.3,18.3,2016
66,UT,A & N ISLANDS,1,241,242,0.1,5.5,44.0,2016
67,UT,CHANDIGARH,4,422,426,0.1,18.0,23.7,2016
68,UT,D & N HAVELI,0,119,119,0.0,4.3,27.7,2016
69,UT,DAMAN & DIU,0,171,171,0.0,3.3,51.8,2016
70,UT,DELHI (UT),6,6573,6579,1.6,214.9,30.6,2016
71,UT,LAKSHADWEEP,0,12,12,0.0,0.8,15.0,2016
72,UT,PUDUCHERRY,0,838,838,0.2,16.8,49.9,2016
73,State,ANDHRA PRADESH,346,16892,17238,4.3,517.5,33.3,2017
74,State,ARUNACHAL PRADESH,29,204,233,0.1,14.8,15.7,2017
75,State,ASSAM,99,4691,4790,1.2,336.7,14.2,2017
76,State,BIHAR,1089,10708,11797,3.0,1165.5,10.1,2017
77,State,CHHATTISGARH,353,17745,18098,4.6,280.8,64.5,2017
78,State,GOA,0,843,843,0.2,15.2,55.5,2017
79,State,GUJARAT,205,24336,24541,6.2,663.9,37.0,2017
80,State,HARYANA,161,15057,15218,3.8,280.0,54.4,2017
81,State,HIMACHAL PRADESH,167,3082,3249,0.8,72.2,45.0,2017
82,State,JAMMU & KASHMIR,127,1227,1354,0.3,133.2,10.2,2017
83,State,JHARKHAND,319,5794,6113,1.5,365.1,16.7,2017
84,State,KARNATAKA,122,23496,23618,6.0,649.3,36.4,2017
85,State,KERALA,143,11665,11808,3.0,348.2,33.9,2017
86,State,MADHYA PRADESH,583,40028,40611,10.2,803.3,50.6,2017
87,State,MAHARASHTRA,478,64159,64637,16.3,1202.5,53.8,2017
88,State,MANIPUR,5,273,278,0.1,30.5,9.1,2017
89,State,MEGHALAYA,32,445,477,0.1,11.7,40.8,2017
90,State,MIZORAM,2,214,216,0.1,31.7,6.8,2017
91,State,NAGALAND,1,83,84,0.0,21.1,4.0,2017
92,State,ODISHA,931,13395,14326,3.6,433.7,33.0,2017
93,State,PUNJAB,154,9679,9833,2.5,294.6,33.4,2017
