S.No.,State/UT,Year,0000 hrs to 0300 hrs (Night),0300 hrs to 0600 hrs (Night),0600 hrs to 0900 hrs (Day),0900 hrs to 1200 hrs (Day),1200 hrs to 1500 hrs (Day),1500 hrs to 1800 hrs (Day),1800 hrs to 2100 hrs (Night),2100 hrs to 2400 hrs (Night)
1,Andaman and Nicobar Islands,2015,1,3,25,45,39,48,67,30
2,Andhra Pradesh,2015,2160,2080,2492,2157,3143,3750,4133,2924
3,Arunachal Pradesh,2015,7,9,23,50,58,52,53,32
4,Assam,2015,525,485,931,1421,1011,1289,868,429
5,Bihar,2015,719,992,1512,1543,1315,1387,1322,777
6,Chandigarh,2015,22,13,22,52,62,55,97,90
7,Chhattisgarh,2015,784,974,1757,2608,2064,2520,2400,1339
8,Dadra and Nagar Haveli and Daman and Diu,2015,8,3,16,10,24,29,34,15
9,Delhi,2015,767,712,870,920,982,1143,1338,1353
10,Goa,2015,247,133,357,661,740,796,875,529
11,Gujarat,2015,1397,1454,2579,3761,3659,3807,4079,2626
12,Haryana,2015,933,923,1360,1702,1465,1684,1911,1309
13,Himachal Pradesh,2015,105,91,279,440,610,665,495,325
14,Jammu and Kashmir,2015,136,318,473,800,1412,1292,977,439
15,Jharkhand,2015,228,505,702,1075,690,909,688,365
16,Karnataka,2015,2976,3132,4577,6695,6724,7652,7712,4543
17,Kerala,2015,901,1410,4945,7101,5786,8537,7419,2915
18,Lakshadweep,2015,0,0,0,0,1,1,0,1
19,Madhya Pradesh,2015,2047,2569,4288,7260,7166,7599,6409,3521
20,Maharashtra,2015,3079,2868,4576,6005,6171,6944,7355,5252
21,Manipur,2015,14,7,38,122,133,158,150,46
22,Meghalaya,2015,34,30,29,57,51,73,69,78
23,Mizoram,2015,5,5,8,2,8,13,22,8
24,Nagaland,2015,5,5,3,6,6,7,8,2
25,Odisha,2015,684,986,1289,1500,1493,1848,1637,1105
26,Puducherry,2015,101,112,206,203,201,190,316,201
27,Punjab,2015,379,475,820,842,896,1010,1446,834
28,Rajasthan,2015,1034,1178,2597,3886,3976,4480,4526,2395
29,Sikkim,2015,6,7,20,29,26,43,43,37
30,Tamil Nadu,2015,8267,10123,10629,11826,14121,7215,2744,4134
31,Telangana,2015,1208,1487,2145,2919,3054,3741,4033,2665
32,Tripura,2015,9,10,54,123,142,138,116,55
33,Uttar Pradesh,2015,2285,3211,3997,3836,3717,3999,4253,2797
34,Uttarakhand,2015,69,82,196,278,223,321,221,133
35,West Bengal,2015,985,1379,2000,3413,2748,2746,2525,1910
36,Andaman and Nicobar Islands,2016,8,9,29,34,49,52,40,17
37,Andhra Pradesh,2016,1375,1639,2583,3310,3434,4128,4571,2618
38,Arunachal Pradesh,2016,8,9,28,35,45,53,32,17
39,Assam,2016,485,586,1004,1252,1093,1188,979,683
40,Bihar,2016,435,963,1362,1518,1225,1134,1005,580
41,Chandigarh,2016,30,15,37,58,69,63,69,85
42,Chhattisgarh,2016,627,555,1541,2215,2154,2480,2754,1255
43,Dadra and Nagar Haveli and Daman and Diu,2016,3,1,11,13,18,20,29,18
44,Delhi,2016,769,738,799,881,970,962,1123,1133
45,Goa,2016,235,153,379,685,692,817,861,482
46,Gujarat,2016,1578,1473,2448,3457,3263,3370,3745,2224
47,Haryana,2016,888,1058,1341,1490,1616,1783,1887,1262
48,Himachal Pradesh,2016,115,91,384,546,491,600,604,322
49,Jammu and Kashmir,2016,195,410,523,927,1150,1122,733,417
50,Jharkhand,2016,644,558,747,692,558,609,566,558
51,Karnataka,2016,2672,3117,4888,7162,7022,7420,7316,4839
52,Kerala,2016,960,1695,4928,7368,6047,8096,7177,3149
53,Lakshadweep,2016,0,0,0,0,0,0,0,1
54,Madhya Pradesh,2016,2281,2778,5403,8700,8893,9353,9148,5388
55,Maharashtra,2016,2950,3005,4045,5382,5389,6216,6412,4487
56,Manipur,2016,14,7,38,122,133,158,150,46
57,Meghalaya,2016,11,12,35,34,36,60,52,42
58,Mizoram,2016,3,8,4,5,6,21,11,6
59,Nagaland,2016,4,3,4,2,7,9,15,9
60,Odisha,2016,620,705,1175,1627,1642,1851,1810,1102
61,Puducherry,2016,180,142,191,185,189,300,360,216
62,Punjab,2016,343,458,915,1000,987,1091,1436,722
63,Rajasthan,2016,936,957,2447,3680,3981,4396,4322,2347
64,Sikkim,2016,11,14,21,30,32,40,35,40
65,Tamil Nadu,2016,2883,4175,8592,10448,10391,12501,15072,7369
66,Telangana,2016,1607,1931,2276,2975,3239,3956,4139,2688
67,Tripura,2016,4,9,66,124,101,93,103,57
68,Uttar Pradesh,2016,2628,3139,4064,4040,3752,4536,5160,3289
69,Uttarakhand,2016,65,219,352,216,196,237,136,124
70,West Bengal,2016,1125,1419,2133,2016,2666,2856,2815,1919
71,Andaman and Nicobar Islands,2017,3,7,20,27,33,41,39,19
72,Andhra Pradesh,2017,1320,1636,2695,3225,3599,3817,3883,2281
73,Arunachal Pradesh,2017,1,3,7,22,23,31,34,6
74,Assam,2017,441,537,864,1226,1030,1131,919,657
75,Bihar,2017,430,841,1545,1776,1283,1398,1103,479
76,Chandigarh,2017,23,11,56,77,37,59,42,31
77,Chhattisgarh,2017,644,1138,1701,2047,2233,2402,2385,1013
78,Dadra and Nagar Haveli and Daman and Diu,2017,7,1,8,12,26,35,33,24
79,Delhi,2017,747,701,724,730,802,871,1037,1060
80,Goa,2017,284,227,337,561,617,753,685,456
81,Gujarat,2017,1172,1190,2152,2863,2732,3144,3364,2014
82,Haryana,2017,911,1177,1433,1459,1545,1678,2038,1441
83,Himachal Pradesh,2017,176,164,387,477,413,532,577,385
84,Jammu and Kashmir,2017,166,286,533,915,1226,1246,786,285
85,Jharkhand,2017,335,373,696,888,816,785,875,430
86,Karnataka,2017,2450,2650,4948,6543,6786,7534,7137,4494
87,Kerala,2017,897,1730,6165,6871,6211,8056,6751,1789
88,Lakshadweep,2017,0,0,0,0,0,1,1,0
89,Madhya Pradesh,2017,1962,1748,4626,7831,8683,9085,9410,5245
90,Maharashtra,2017,1874,1999,3012,4265,4370,4806,5034,3463
91,Manipur,2017,4,17,50,99,124,124,117,51
92,Meghalaya,2017,31,27,30,33,41,31,54,39
93,Mizoram,2017,4,5,11,11,9,10,10,5
94,Nagaland,2017,2,1,6,11,11,11,13,5
95,Odisha,2017,953,1068,1122,1481,1601,1753,1707,1170
96,Puducherry,2017,88,84,220,241,254,278,307,221
97,Punjab,2017,428,451,827,807,931,972,1132,774
98,Rajasthan,2017,923,1154,2180,3257,3937,4382,4057,2222
99,Sikkim,2017,13,8,17,20,36,29,30,18
100,Tamil Nadu,2017,2308,3613,7897,9402,9404,11666,14486,6786
101,Telangana,2017,1210,1239,2162,3188,3250,4174,4688,2573
102,Tripura,2017,11,22,43,101,76,111,88,52
103,Uttar Pradesh,2017,3026,3351,4387,4801,4717,4848,5489,3960
104,Uttarakhand,2017,113,107,165,205,231,265,264,230
105,West Bengal,2017,827,1215,1588,2072,2069,2020,1992,1527
106,Andaman and Nicobar Islands,2018,6,10,35,38,40,48,52,25
