S.No.,State/UT,year,Road_Accidents_0000_hrs_to_0300_hrs_Night,Road_Accidents_0300_hrs_to_0600_hrs_Night,Road_Accidents_0600_hrs_to_0900_hrs_Day,Road_Accidents_0900_hrs_to_1200_hrs_Day,Road_Accidents_1200_hrs_to_1500_hrs_Day,Road_Accidents_1500_hrs_to_1800_hrs_Day,Road_Accidents_1800_hrs_to_2100_hrs_Night,Road_Accidents_2100_hrs_to_2400_hrs_Night,Road_Accidents_Total,Category
1,ANDAMAN AND NICOBAR ISLANDS,2015,1,3,25,45,39,48,67,30,258,UT
2,ANDHRA PRADESH,2015,2160,2080,2492,2157,3143,3750,4133,2924,22839,State
3,ARUNACHAL PRADESH,2015,7,9,23,50,58,52,53,32,284,State
4,ASSAM,2015,525,485,931,1421,1011,1289,868,429,6959,State
5,BIHAR,2015,719,992,1512,1543,1315,1387,1322,777,9567,State
6,CHANDIGARH,2015,22,13,22,52,62,55,97,90,413,UT
7,CHHATTISGARH,2015,784,974,1757,2608,2064,2520,2400,1339,14446,State
8,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2015,8,3,16,10,24,29,34,15,139,UT
9,DELHI,2015,767,712,870,920,982,1143,1338,1353,8085,UT
10,GOA,2015,247,133,357,661,740,796,875,529,4338,State
11,GUJARAT,2015,1397,1454,2579,3761,3659,3807,4079,2626,23362,State
12,HARYANA,2015,933,923,1360,1702,1465,1684,1911,1309,11287,State
13,HIMACHAL PRADESH,2015,105,91,279,440,610,665,495,325,3010,State
14,JAMMU AND KASHMIR,2015,136,318,473,800,1412,1292,977,439,5847,UT
15,JHARKHAND,2015,228,505,702,1075,690,909,688,365,5162,State
16,KARNATAKA,2015,2976,3132,4577,6695,6724,7652,7712,4543,44011,State
17,KERALA,2015,901,1410,4945,7101,5786,8537,7419,2915,39014,State
18,LAKSHADWEEP,2015,0,0,0,0,1,1,0,1,3,UT
19,MADHYA PRADESH,2015,2047,2569,4288,7260,7166,7599,6409,3521,40859,State
20,MAHARASHTRA,2015,3079,2868,4576,6005,6171,6944,7355,5252,42250,State
21,MANIPUR,2015,14,7,38,122,133,158,150,46,668,State
22,MEGHALAYA,2015,34,30,29,57,51,73,69,78,421,State
23,MIZORAM,2015,5,5,8,2,8,13,22,8,71,State
24,NAGALAND,2015,5,5,3,6,6,7,8,2,42,State
25,ODISHA,2015,684,986,1289,1500,1493,1848,1637,1105,10542,State
26,PUDUCHERRY,2015,101,112,206,203,201,190,316,201,1530,UT
27,PUNJAB,2015,379,475,820,842,896,1010,1446,834,6702,State
28,RAJASTHAN,2015,1034,1178,2597,3886,3976,4480,4526,2395,24072,State
29,SIKKIM,2015,6,7,20,29,26,43,43,37,211,State
30,TAMIL NADU,2015,8267,10123,10629,11826,14121,7215,2744,4134,69059,State
31,TELANGANA,2015,1208,1487,2145,2919,3054,3741,4033,2665,21252,State
32,TRIPURA,2015,9,10,54,123,142,138,116,55,647,State
33,UTTAR PRADESH,2015,2285,3211,3997,3836,3717,3999,4253,2797,28095,State
34,UTTARAKHAND,2015,69,82,196,278,223,321,221,133,1523,State
35,WEST BENGAL,2015,985,1379,2000,3413,2748,2746,2525,1910,17706,State
36,ANDAMAN AND NICOBAR ISLANDS,2016,8,9,29,34,49,52,40,17,238,UT
37,ANDHRA PRADESH,2016,1375,1639,2583,3310,3434,4128,4571,2618,23658,State
38,ARUNACHAL PRADESH,2016,8,9,28,35,45,53,32,17,227,State
39,ASSAM,2016,485,586,1004,1252,1093,1188,979,683,7270,State
40,BIHAR,2016,435,963,1362,1518,1225,1134,1005,580,8222,State
41,CHANDIGARH,2016,30,15,37,58,69,63,69,85,426,UT
42,CHHATTISGARH,2016,627,555,1541,2215,2154,2480,2754,1255,13581,State
43,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2016,3,1,11,13,18,20,29,18,113,UT
44,DELHI,2016,769,738,799,881,970,962,1123,1133,7375,UT
45,GOA,2016,235,153,379,685,692,817,861,482,4304,State
46,GUJARAT,2016,1578,1473,2448,3457,3263,3370,3745,2224,21558,State
47,HARYANA,2016,888,1058,1341,1490,1616,1783,1887,1262,11325,State
48,HIMACHAL PRADESH,2016,115,91,384,546,491,600,604,322,3153,State
49,JAMMU AND KASHMIR,2016,195,410,523,927,1150,1122,733,417,5477,UT
50,JHARKHAND,2016,644,558,747,692,558,609,566,558,4932,State
51,KARNATAKA,2016,2672,3117,4888,7162,7022,7420,7316,4839,44436,State
52,KERALA,2016,960,1695,4928,7368,6047,8096,7177,3149,39420,State
53,LAKSHADWEEP,2016,0,0,0,0,0,0,0,1,1,UT
54,MADHYA PRADESH,2016,2281,2778,5403,8700,8893,9353,9148,5388,51944,State
55,MAHARASHTRA,2016,2950,3005,4045,5382,5389,6216,6412,4487,37886,State
56,MANIPUR,2016,14,7,38,122,133,158,150,46,668,State
57,MEGHALAYA,2016,11,12,35,34,36,60,52,42,282,State
58,MIZORAM,2016,3,8,4,5,6,21,11,6,64,State
59,NAGALAND,2016,4,3,4,2,7,9,15,9,53,State
60,ODISHA,2016,620,705,1175,1627,1642,1851,1810,1102,10532,State
61,PUDUCHERRY,2016,180,142,191,185,189,300,360,216,1763,UT
62,PUNJAB,2016,343,458,915,1000,987,1091,1436,722,6952,State
63,RAJASTHAN,2016,936,957,2447,3680,3981,4396,4322,2347,23066,State
64,SIKKIM,2016,11,14,21,30,32,40,35,40,223,State
65,TAMIL NADU,2016,2883,4175,8592,10448,10391,12501,15072,7369,71431,State
66,TELANGANA,2016,1607,1931,2276,2975,3239,3956,4139,2688,22811,State
67,TRIPURA,2016,4,9,66,124,101,93,103,57,557,State
68,UTTAR PRADESH,2016,2628,3139,4064,4040,3752,4536,5160,3289,30608,State
69,UTTARAKHAND,2016,65,219,352,216,196,237,136,124,1545,State
70,WEST BENGAL,2016,1125,1419,2133,2016,2666,2856,2815,1919,16949,State
71,ANDAMAN AND NICOBAR ISLANDS,2017,3,7,20,27,33,41,39,19,189,UT
72,ANDHRA PRADESH,2017,1320,1636,2695,3225,3599,3817,3883,2281,22456,State
73,ARUNACHAL PRADESH,2017,1,3,7,22,23,31,34,6,127,State
74,ASSAM,2017,441,537,864,1226,1030,1131,919,657,6805,State
75,BIHAR,2017,430,841,1545,1776,1283,1398,1103,479,8855,State
76,CHANDIGARH,2017,23,11,56,77,37,59,42,31,336,UT
77,CHHATTISGARH,2017,644,1138,1701,2047,2233,2402,2385,1013,13563,State
78,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2017,7,1,8,12,26,35,33,24,146,UT
79,DELHI,2017,747,701,724,730,802,871,1037,1060,6672,UT
80,GOA,2017,284,227,337,561,617,753,685,456,3920,State
81,GUJARAT,2017,1172,1190,2152,2863,2732,3144,3364,2014,18631,State
82,HARYANA,2017,911,1177,1433,1459,1545,1678,2038,1441,11682,State
83,HIMACHAL PRADESH,2017,176,164,387,477,413,532,577,385,3111,State
84,JAMMU AND KASHMIR,2017,166,286,533,915,1226,1246,786,285,5443,UT
85,JHARKHAND,2017,335,373,696,888,816,785,875,430,5198,State
86,KARNATAKA,2017,2450,2650,4948,6543,6786,7534,7137,4494,42542,State
87,KERALA,2017,897,1730,6165,6871,6211,8056,6751,1789,38470,State
88,LAKSHADWEEP,2017,0,0,0,0,0,1,1,0,2,UT
89,MADHYA PRADESH,2017,1962,1748,4626,7831,8683,9085,9410,5245,48590,State
90,MAHARASHTRA,2017,1874,1999,3012,4265,4370,4806,5034,3463,28823,State
91,MANIPUR,2017,4,17,50,99,124,124,117,51,586,State
92,MEGHALAYA,2017,31,27,30,33,41,31,54,39,286,State
93,MIZORAM,2017,4,5,11,11,9,10,10,5,65,State
94,NAGALAND,2017,2,1,6,11,11,11,13,5,60,State
95,ODISHA,2017,953,1068,1122,1481,1601,1753,1707,1170,10855,State
96,PUDUCHERRY,2017,88,84,220,241,254,278,307,221,1693,UT
97,PUNJAB,2017,428,451,827,807,931,972,1132,774,6322,State
98,RAJASTHAN,2017,923,1154,2180,3257,3937,4382,4057,2222,22112,State
99,SIKKIM,2017,13,8,17,20,36,29,30,18,171,State
100,TAMIL NADU,2017,2308,3613,7897,9402,9404,11666,14486,6786,65562,State
101,TELANGANA,2017,1210,1239,2162,3188,3250,4174,4688,2573,22484,State
102,TRIPURA,2017,11,22,43,101,76,111,88,52,504,State
