S.No.,Category,State/UT,Road_Accidents_0000_hrs_to_0300_hrs_Night,Road_Accidents_0300_hrs_to_0600_hrs_Night,Road_Accidents_0600_hrs_to_0900_hrs_Day,Road_Accidents_0900_hrs_to_1200_hrs_Day,Road_Accidents_1200_hrs_to_1500_hrs_Day,Road_Accidents_1500_hrs_to_1800_hrs_Day,Road_Accidents_1800_hrs_to_2100_hrs_Night,Road_Accidents_2100_hrs_to_2400_hrs_Night,Road_Accidents_Total,year
1,State,ANDHRA PRADESH,2160,2080,2492,2157,3143,3750,4133,2924,22839,2015
2,State,ARUNACHAL PRADESH,7,9,23,50,58,52,53,32,284,2015
3,State,ASSAM,525,485,931,1421,1011,1289,868,429,6959,2015
4,State,BIHAR,719,992,1512,1543,1315,1387,1322,777,9567,2015
5,State,CHHATTISGARH,784,974,1757,2608,2064,2520,2400,1339,14446,2015
6,State,GOA,247,133,357,661,740,796,875,529,4338,2015
7,State,GUJARAT,1397,1454,2579,3761,3659,3807,4079,2626,23362,2015
8,State,HARYANA,933,923,1360,1702,1465,1684,1911,1309,11287,2015
9,State,HIMACHAL PRADESH,105,91,279,440,610,665,495,325,3010,2015
10,State,JAMMU & KASHMIR,136,318,473,800,1412,1292,977,439,5847,2015
11,State,JHARKHAND,228,505,702,1075,690,909,688,365,5162,2015
12,State,KARNATAKA,2976,3132,4577,6695,6724,7652,7712,4543,44011,2015
13,State,KERALA,901,1410,4945,7101,5786,8537,7419,2915,39014,2015
14,State,MADHYA PRADESH,2047,2569,4288,7260,7166,7599,6409,3521,40859,2015
15,State,MAHARASHTRA,3079,2868,4576,6005,6171,6944,7355,5252,42250,2015
16,State,MANIPUR,14,7,38,122,133,158,150,46,668,2015
17,State,MEGHALAYA,34,30,29,57,51,73,69,78,421,2015
18,State,MIZORAM,5,5,8,2,8,13,22,8,71,2015
19,State,NAGALAND,5,5,3,6,6,7,8,2,42,2015
20,State,ODISHA,684,986,1289,1500,1493,1848,1637,1105,10542,2015
21,State,PUNJAB,379,475,820,842,896,1010,1446,834,6702,2015
22,State,RAJASTHAN,1034,1178,2597,3886,3976,4480,4526,2395,24072,2015
23,State,SIKKIM,6,7,20,29,26,43,43,37,211,2015
24,State,TAMIL NADU,8267,10123,10629,11826,14121,7215,2744,4134,69059,2015
25,State,TELANGANA,1208,1487,2145,2919,3054,3741,4033,2665,21252,2015
26,State,TRIPURA,9,10,54,123,142,138,116,55,647,2015
27,State,UTTAR PRADESH,2285,3211,3997,3836,3717,3999,4253,2797,28095,2015
28,State,UTTARAKHAND,69,82,196,278,223,321,221,133,1523,2015
29,State,WEST BENGAL,985,1379,2000,3413,2748,2746,2525,1910,17706,2015
30,UT,A & N ISLANDS,1,3,25,45,39,48,67,30,258,2015
31,UT,CHANDIGARH,22,13,22,52,62,55,97,90,413,2015
32,UT,D & N HAVELI,3,2,8,5,12,12,17,10,69,2015
33,UT,DAMAN & DIU,5,1,8,5,12,17,17,5,70,2015
34,UT,DELHI (UT),767,712,870,920,982,1143,1338,1353,8085,2015
35,UT,LAKSHADWEEP,0,0,0,0,1,1,0,1,3,2015
36,UT,PUDUCHERRY,101,112,206,203,201,190,316,201,1530,2015
37,State,ANDHRA PRADESH,1375,1639,2583,3310,3434,4128,4571,2618,23658,2016
38,State,ARUNACHAL PRADESH,8,9,28,35,45,53,32,17,227,2016
39,State,ASSAM,485,586,1004,1252,1093,1188,979,683,7270,2016
40,State,BIHAR,435,963,1362,1518,1225,1134,1005,580,8222,2016
41,State,CHHATTISGARH,627,555,1541,2215,2154,2480,2754,1255,13581,2016
42,State,GOA,235,153,379,685,692,817,861,482,4304,2016
43,State,GUJARAT,1578,1473,2448,3457,3263,3370,3745,2224,21558,2016
