S.No.,State/UT,Year,Total Accidental Deaths
1,Andaman and Nicobar Islands,2015,91.0
2,Andhra Pradesh,2015,1321.0
3,Arunachal Pradesh,2015,23.0
4,Assam,2015,185.0
5,Bihar,2015,481.0
6,Chandigarh,2015,67.0
7,Chhattisgarh,2015,4679.0
8,Dadra and Nagar Haveli and Daman and Diu,2015,42.0
9,Delhi,2015,393.0
10,Goa,2015,54.0
11,Gujarat,2015,6091.0
12,Haryana,2015,2246.0
13,Himachal Pradesh,2015,638.0
14,Jammu and Kashmir,2015,241.0
15,Jharkhand,2015,576.0
16,Karnataka,2015,6196.0
17,Kerala,2015,2810.0
18,Lakshadweep,2015,3.0
19,Madhya Pradesh,2015,9468.0
20,Maharashtra,2015,12681.0
21,Manipur,2015,46.0
22,Meghalaya,2015,33.0
23,Mizoram,2015,28.0
24,Nagaland,2015,4.0
25,Odisha,2015,1746.0
26,Puducherry,2015,418.0
27,Punjab,2015,1715.0
28,Rajasthan,2015,4988.0
29,Sikkim,2015,17.0
30,Tamil Nadu,2015,4679.0
31,Telangana,2015,1138.0
32,Tripura,2015,147.0
33,Uttar Pradesh,2015,1963.0
34,Uttarakhand,2015,428.0
35,West Bengal,2015,1260.0
36,Andaman and Nicobar Islands,2016,242.0
37,Andhra Pradesh,2016,17808.0
38,Arunachal Pradesh,2016,456.0
39,Assam,2016,5515.0
40,Bihar,2016,10571.0
41,Chandigarh,2016,426.0
42,Chhattisgarh,2016,18114.0
43,Dadra and Nagar Haveli and Daman and Diu,2016,290.0
44,Delhi,2016,6579.0
45,Goa,2016,768.0
46,Gujarat,2016,27410.0
47,Haryana,2016,14991.0
48,Himachal Pradesh,2016,3362.0
49,Jammu and Kashmir,2016,1765.0
50,Jharkhand,2016,6515.0
51,Karnataka,2016,26229.0
52,Kerala,2016,12009.0
53,Lakshadweep,2016,12.0
54,Madhya Pradesh,2016,42006.0
55,Maharashtra,2016,69102.0
56,Manipur,2016,286.0
57,Meghalaya,2016,421.0
58,Mizoram,2016,203.0
59,Nagaland,2016,79.0
60,Odisha,2016,12288.0
61,Puducherry,2016,838.0
62,Punjab,2016,11006.0
63,Rajasthan,2016,28411.0
64,Sikkim,2016,290.0
65,Tamil Nadu,2016,32990.0
66,Telangana,2016,13580.0
67,Tripura,2016,759.0
68,Uttar Pradesh,2016,34068.0
69,Uttarakhand,2016,1638.0
70,West Bengal,2016,17194.0
71,Andaman and Nicobar Islands,2017,187.0
72,Andhra Pradesh,2017,17238.0
73,Arunachal Pradesh,2017,233.0
74,Assam,2017,4790.0
75,Bihar,2017,11797.0
76,Chandigarh,2017,300.0
77,Chhattisgarh,2017,18098.0
78,Dadra and Nagar Haveli and Daman and Diu,2017,306.0
79,Delhi,2017,4911.0
80,Goa,2017,843.0
81,Gujarat,2017,24541.0
82,Haryana,2017,15218.0
83,Himachal Pradesh,2017,3249.0
84,Jammu and Kashmir,2017,1354.0
85,Jharkhand,2017,6113.0
86,Karnataka,2017,23618.0
87,Kerala,2017,11808.0
88,Lakshadweep,2017,6.0
89,Madhya Pradesh,2017,40611.0
90,Maharashtra,2017,64637.0
91,Manipur,2017,278.0
92,Meghalaya,2017,477.0
93,Mizoram,2017,216.0
94,Nagaland,2017,84.0
95,Odisha,2017,14326.0
96,Puducherry,2017,1552.0
97,Punjab,2017,9833.0
98,Rajasthan,2017,27832.0
99,Sikkim,2017,294.0
100,Tamil Nadu,2017,28093.0
101,Telangana,2017,11552.0
102,Tripura,2017,739.0
103,Uttar Pradesh,2017,34760.0
104,Uttarakhand,2017,1581.0
105,West Bengal,2017,15109.0
106,Andaman and Nicobar Islands,2018,183.0
107,Andhra Pradesh,2018,16809.0
108,Arunachal Pradesh,2018,339.0
109,Assam,2018,5256.0
110,Bihar,2018,12717.0
111,Chandigarh,2018,242.0
112,Chhattisgarh,2018,18839.0
113,Dadra and Nagar Haveli and Daman and Diu,2018,300.0
114,Delhi,2018,5103.0
115,Goa,2018,738.0
116,Gujarat,2018,24714.0
117,Haryana,2018,15558.0
118,Himachal Pradesh,2018,2867.0
119,Jammu and Kashmir,2018,1519.0
120,Jharkhand,2018,6594.0
121,Karnataka,2018,24993.0
122,Kerala,2018,12311.0
123,Lakshadweep,2018,6.0
124,Madhya Pradesh,2018,42154.0
125,Maharashtra,2018,68834.0
126,Manipur,2018,300.0
127,Meghalaya,2018,459.0
128,Mizoram,2018,187.0
129,Nagaland,2018,86.0
130,Odisha,2018,18248.0
131,Puducherry,2018,1213.0
132,Punjab,2018,10328.0
133,Rajasthan,2018,28375.0
134,Sikkim,2018,279.0
135,Tamil Nadu,2018,24612.0
136,Telangana,2018,11022.0
137,Tripura,2018,711.0
138,Uttar Pradesh,2018,37620.0
139,Uttarakhand,2018,1924.0
140,West Bengal,2018,16384.0
141,Andaman and Nicobar Islands,2019,0.0
142,Andhra Pradesh,2019,4.3
143,Arunachal Pradesh,2019,0.1
144,Assam,2019,1.3
145,Bihar,2019,3.6
146,Chandigarh,2019,0.1
147,Chhattisgarh,2019,4.7
148,Dadra and Nagar Haveli and Daman and Diu,2019,0.0
149,Delhi,2019,1.2
150,Goa,2019,0.2
151,Gujarat,2019,5.7
152,Haryana,2019,3.7
153,Himachal Pradesh,2019,0.8
154,Jammu and Kashmir,2019,0.3
155,Jharkhand,2019,1.8
156,Karnataka,2019,6.0
157,Kerala,2019,3.3
158,Lakshadweep,2019,0.0
159,Madhya Pradesh,2019,10.1
160,Maharashtra,2019,16.7
161,Manipur,2019,0.1
162,Meghalaya,2019,0.1
163,Mizoram,2019,0.0
164,Nagaland,2019,0.0
165,Odisha,2019,3.9
166,Puducherry,2019,0.3
167,Punjab,2019,2.6
168,Rajasthan,2019,6.8
169,Sikkim,2019,0.1
170,Tamil Nadu,2019,5.3
171,Telangana,2019,2.8
172,Tripura,2019,0.2
173,Uttar Pradesh,2019,9.6
174,Uttarakhand,2019,0.4
175,West Bengal,2019,3.8
176,Andaman and Nicobar Islands,2020,0.1
177,Andhra Pradesh,2020,3.9
178,Arunachal Pradesh,2020,0.1
179,Assam,2020,1.3
180,Bihar,2020,3.9
181,Chandigarh,2020,0.1
182,Chhattisgarh,2020,5.4
183,Delhi,2020,1.1
184,Goa,2020,0.2
185,Gujarat,2020,5.6
186,Haryana,2020,4.0
187,Himachal Pradesh,2020,0.7
188,Jammu and Kashmir,2020,0.3
189,Jharkhand,2020,1.8
190,Karnataka,2020,6.5
191,Kerala,2020,3.5
192,Lakshadweep,2020,0.0
193,Madhya Pradesh,2020,10.8
194,Maharashtra,2020,15.4
195,Manipur,2020,0.1
196,Meghalaya,2020,0.1
197,Mizoram,2020,0.1
198,Nagaland,2020,0.0
199,Odisha,2020,5.0
200,Puducherry,2020,0.2
201,Punjab,2020,2.6
202,Rajasthan,2020,6.0
203,Sikkim,2020,0.1
204,Tamil Nadu,2020,4.9
205,Telangana,2020,3.2
206,Tripura,2020,0.2
207,Uttar Pradesh,2020,8.5
208,Uttarakhand,2020,0.4
209,West Bengal,2020,4.0
210,Andaman and Nicobar Islands,2021,0.1
211,Andhra Pradesh,2021,4.0
212,Arunachal Pradesh,2021,0.1
213,Assam,2021,1.1
214,Bihar,2021,3.9
215,Chandigarh,2021,0.1
216,Chhattisgarh,2021,4.4
217,Dadra and Nagar Haveli and Daman and Diu,2021,0.1
218,Delhi,2021,0.8
219,Goa,2021,0.1
220,Gujarat,2021,5.5
221,Haryana,2021,3.9
222,Himachal Pradesh,2021,0.8
223,Jammu and Kashmir,2021,0.3
224,Jharkhand,2021,1.9
225,Karnataka,2021,6.4
226,Kerala,2021,3.5
227,Lakshadweep,2021,0.0
228,Madhya Pradesh,2021,10.2
229,Maharashtra,2021,14.7
230,Manipur,2021,0.1
231,Meghalaya,2021,0.1
