Sl. No. (Col.1),Category (Col.2),State/UT/City (Col.3),Total Number of Accidental Deaths - Natural (Col.4),Total Number of Accidental Deaths - Un-natural (Col.5),Total Number of Accidental Deaths - Others (Col.6),Total Number of Accidental Deaths - Total (Col.7),Percentage Share in Total deaths (Col.8),Projected Mid-Year Population* (In Lakh+) (Col.9),Rate of Accidental Deaths (Col.10) = Col.7/Col.9
1,State,ANDHRA PRADESH,771,15320,1321,17412,4.2,513.4,33.9
2,State,ARUNACHAL PRADESH,27,319,23,369,0.1,13,28.3
3,State,ASSAM,236,3910,185,4331,1,322,13.5
4,State,BIHAR,417,9470,481,10368,2.5,1031.4,10.1
5,State,CHHATTISGARH,261,14333,4679,19273,4.7,256.6,75.1
6,State,GOA,0,746,54,800,0.2,19.7,40.7
7,State,GUJARAT,250,22127,6091,28468,6.9,623.3,45.7
8,State,HARYANA,619,10408,2246,13273,3.2,272.2,48.8
9,State,HIMACHAL PRADESH,283,2449,638,3370,0.8,70.6,47.8
10,State,JAMMU & KASHMIR,387,1284,241,1912,0.5,123.4,15.5
11,State,JHARKHAND,342,4819,576,5737,1.4,333.5,17.2
12,State,KARNATAKA,143,20065,6196,26404,6.4,619.9,42.6
13,State,KERALA,40,8635,2810,11485,2.8,355.5,32.3
14,State,MADHYA PRADESH,648,30513,9468,40629,9.8,771.3,52.7
15,State,MAHARASHTRA,450,51435,12681,64566,15.6,1191.4,54.2
16,State,MANIPUR,0,240,46,286,0.1,25.7,11.1
17,State,MEGHALAYA,19,369,33,421,0.1,27.5,15.3
18,State,MIZORAM,2,153,28,183,0,10.6,17.3
19,State,NAGALAND,0,84,4,88,0,23.6,3.7
20,State,ODISHA,954,9887,1746,12587,3,422.5,29.8
21,State,PUNJAB,238,8471,1715,10424,2.5,289.4,36
22,State,RAJASTHAN,196,23134,4988,28318,6.8,723.1,39.2
23,State,SIKKIM,10,183,17,210,0.1,6.4,32.7
24,State,TAMIL NADU,362,28624,4679,33665,8.1,691.6,48.7
25,State,TELANGANA,246,13225,1138,14609,3.5,365.6,40
26,State,TRIPURA,4,399,147,550,0.1,38,14.5
27,State,UTTAR PRADESH,2383,32636,1963,36982,8.9,2158.4,17.1
28,State,UTTARAKHAND,186,2134,428,2748,0.7,105.4,26.1
29,State,WEST BENGAL,291,13601,1260,15152,3.7,930,16.3
TOTAL (STATES),TOTAL (STATES),TOTAL (STATES),9765,328973,65882,404620,97.9,12334.8,32.8
30,Union Territories,A & N ISLANDS,0,96,91,187,0,5.5,34.2
31,Union Territories,CHANDIGARH,0,199,67,266,0.1,17.4,15.3
32,Union Territories,D & N HAVELI,0,106,18,124,0,4.2,29.7
33,Union Territories,DAMAN & DIU,0,121,24,145,0,3.2,45.2
34,Union Territories,DELHI (UT),745,5763,393,6901,1.7,208.8,33.1
35,Union Territories,LAKSHADWEEP,0,4,3,7,0,0.8,8.8
36,Union Territories,PUDUCHERRY,0,789,418,1207,0.3,16.5,73.4
TOTAL (UTs),TOTAL (UTs),TOTAL (UTs),745,7078,1014,8837,2.1,256.3,34.5
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),10510,336051,66896,413457,100,12591.1,32.8
37,City,AGRA,23,734,36,793,1.1,17.5,45.3
38,City,AHMEDABAD,17,1987,260,2264,3.3,63.5,35.7
39,City,ALLAHABAD,52,1289,78,1419,2,12.2,116.3
40,City,AMRITSAR,25,225,71,321,0.5,11.8,27.2
41,City,ASANSOL,0,686,57,743,1.1,12.4,59.9
42,City,AURANGABAD,0,530,365,895,1.3,11.9,75.2
43,City,BENGALURU,1,1533,2199,3733,5.4,85,43.9
44,City,BHOPAL,1,1527,1425,2953,4.3,18.8,157.1
45,City,CHANDIGARH (CITY),0,193,58,251,0.4,10.3,24.4
46,City,CHENNAI,93,3446,413,3952,5.7,87,45.4
47,City,COIMBATORE,0,304,231,535,0.8,21.5,24.9
48,City,DELHI (CITY),732,4878,320,5930,8.5,163.2,36.3
49,City,DHANBAD,21,82,22,125,0.2,12,10.4
50,City,DURG BHILAINAGAR,0,331,508,839,1.2,10.6,79.2
51,City,FARIDABAD,7,341,77,425,0.6,14.1,30.1
52,City,GHAZIABAD,61,838,62,961,1.4,23.6,40.7
53,City,GWALIOR,4,265,59,328,0.5,11,29.8
54,City,HYDERABAD,2,1484,100,1586,2.3,77.5,20.5
55,City,INDORE,0,894,194,1088,1.6,21.7,50.1
56,City,JABALPUR,2,449,239,690,1,12.7,54.3
57,City,JAIPUR,1,2348,789,3138,4.5,30.7,102.2
58,City,JAMSHEDPUR,9,265,83,357,0.5,13.4,26.6
59,City,JODHPUR,0,596,146,742,1.1,11.4,65.1
60,City,KANNUR,2,153,70,225,0.3,16.4,13.7
61,City,KANPUR,69,1665,246,1980,2.9,29.2,67.8
62,City,KOCHI,0,319,166,485,0.7,21.2,22.9
63,City,KOLKATA,0,774,22,796,1.1,141.1,5.6
64,City,KOLLAM,1,380,101,482,0.7,11.1,43.4
65,City,KOTA,4,511,13,528,0.8,10,52.8
66,City,KOZHIKODE,1,356,108,465,0.7,20.3,22.9
67,City,LUCKNOW,139,713,4,856,1.2,29,29.5
68,City,LUDHIANA,36,702,129,867,1.2,16.1,53.9
69,City,MADURAI,0,340,122,462,0.7,14.6,31.6
70,City,MALAPPURAM,0,152,7,159,0.2,17,9.4
71,City,MEERUT,13,501,11,525,0.8,14.3,36.7
72,City,MUMBAI,0,6765,1521,8286,11.9,184.1,45
73,City,NAGPUR,2,763,329,1094,1.6,25,43.8
74,City,NASIK,1,913,462,1376,2,15.6,88.2
75,City,PATNA,8,341,7,356,0.5,20.5,17.4
76,City,PUNE,0,3596,1069,4665,6.7,50.5,92.4
77,City,RAIPUR,1,790,240,1031,1.5,11.2,92.1
78,City,RAJKOT,2,751,348,1101,1.6,13.9,79.2
79,City,RANCHI,0,152,0,152,0.2,11.3,13.5
80,City,SRINAGAR,139,139,76,354,0.5,12.7,27.9
81,City,SURAT,0,1646,842,2488,3.6,45.9,54.2
82,City,THIRUVANANTHAPURAM,0,558,306,864,1.2,16.9,51.1
83,City,THRISSUR,0,211,160,371,0.5,18.6,19.9
84,City,TIRUCHIRAPPALLI,0,506,76,582,0.8,10.2,57.1
85,City,VADODARA,0,1179,54,1233,1.8,18.2,67.7
86,City,VARANASI,186,632,40,858,1.2,14.4,59.6
87,City,VASAI VIRAR,0,828,128,956,1.4,12.2,78.4
88,City,VIJAYAWADA,26,762,30,818,1.2,14.9,54.9
89,City,VISHAKHAPATNAM,7,781,101,889,1.3,17.3,51.4
TOTAL (CITIES),TOTAL (CITIES),TOTAL (CITIES),1688,53104,14580,69372,100,1607.2,43.2
