Sl. No.,Category,State/UT/City,Rural Area (Near School/College/Educational Institution) - Male,Rural Area (Near School/College/Educational Institution) - Female,Rural Area (Near School/College/Educational Institution) - Transgender,Rural Area (Near School/College/Educational Institution) - Total,Rural Area (Near Residential Area) - Male,Rural Area (Near Residential Area) - Female,Rural Area (Near Residential Area) - Transgender,Rural Area (Near Residential Area) - Total,Rural Area (Near Religious Place) - Male,Rural Area (Near Religious Place) - Female,Rural Area (Near Religious Place) - Transgender,Rural Area (Near Religious Place) - Total,Rural Area (Near Recreation Place/Cinema Hall) - Male,Rural Area (Near Recreation Place/Cinema Hall) - Female,Rural Area (Near Recreation Place/Cinema Hall) - Transgender,Rural Area (Near Recreation Place/Cinema Hall) - Total,Rural Area (Near Factory) - Male,Rural Area (Near Factory) - Female,Rural Area (Near Factory) - Transgender,Rural Area (Near Factory) - Total,Rural Area (Others) - Male,Rural Area (Others) - Female,Rural Area (Others) - Transgender,Rural Area (Others) - Total,Rural Area (Sub Total) - Male,Rural Area (Sub Total) - Female,Rural Area (Sub Total) - Transgender,Rural Area (Sub Total) - Total,Urban Area (Near School/College/Educational Institution) - Male,Urban Area (Near School/College/Educational Institution) - Female,Urban Area (Near School/College/Educational Institution) - Transgender,Urban Area (Near School/College/Educational Institution) - Total,Urban Area (Near Residential Area) - Male,Urban Area (Near Residential Area) - Female,Urban Area (Near Residential Area) - Transgender,Urban Area (Near Residential Area) - Total,Urban Area (Near Religious Place) - Male,Urban Area (Near Religious Place) - Female,Urban Area (Near Religious Place) - Transgender,Urban Area (Near Religious Place) - Total,Urban Area (Near Recreation Place/Cinema Hall) - Male,Urban Area (Near Recreation Place/Cinema Hall) - Female,Urban Area (Near Recreation Place/Cinema Hall) - Transgender,Urban Area (Near Recreation Place/Cinema Hall) - Total,Urban Area (Near Factory/Industrial Area) - Male,Urban Area (Near Factory/Industrial Area) - Female,Urban Area (Near Factory/Industrial Area) - Transgender,Urban Area (Near Factory/Industrial Area) - Total,Urban Area (At Pedestrian Crossing) - Male,Urban Area (At Pedestrian Crossing) - Female,Urban Area (At Pedestrian Crossing) - Transgender,Urban Area (At Pedestrian Crossing) - Total,Urban Area (Others) - Male,Urban Area (Others) - Female,Urban Area (Others) - Transgender,Urban Area (Others) - Total,Urban Area (Sub Total) - Male,Urban Area (Sub Total) - Female,Urban Area (Sub Total) - Transgender,Urban Area (Sub Total) - Total,Grand Total - Male,Grand Total - Female,Grand Total - Transgender,Grand Total
1,State,ANDHRA PRADESH,250,39,0,289,1158,248,0,1406,217,37,0,254,56,16,0,72,201,38,0,239,2646,464,0,3110,4528,842,0,5370,92,20,0,112,257,91,0,348,75,16,0,91,98,14,0,112,81,15,0,96,471,85,0,556,1407,205,0,1612,2481,446,0,2927,7009,1288,0,8297
2,State,ARUNACHAL PRADESH,1,1,0,2,22,5,0,27,10,0,0,10,0,0,0,0,1,0,0,1,79,9,0,88,113,15,0,128,5,1,0,6,1,0,0,1,2,0,0,2,3,0,0,3,0,0,0,0,2,0,0,2,27,8,0,35,40,9,0,49,153,24,0,177
3,State,ASSAM,201,24,0,225,422,59,0,481,153,19,0,172,8,2,0,10,67,3,0,70,16,1,0,17,867,108,0,975,148,18,0,166,600,82,0,682,169,27,0,196,70,11,0,81,201,21,0,222,34,6,0,40,20,2,0,22,1242,167,0,1409,2109,275,0,2384
4,State,BIHAR,244,47,0,291,526,89,0,615,209,41,0,250,21,6,0,27,46,9,0,55,1211,257,0,1468,2257,449,0,2706,208,49,0,257,470,67,0,537,162,36,0,198,86,32,0,118,96,22,0,118,152,49,0,201,1157,208,0,1365,2331,463,0,2794,4588,912,0,5500
5,State,CHHATTISGARH,77,21,0,98,415,62,0,477,131,26,0,157,20,5,0,25,52,7,0,59,1384,170,0,1554,2079,291,0,2370,84,21,0,105,229,35,0,264,118,16,0,134,80,14,0,94,86,8,0,94,30,17,0,47,850,122,2,974,1477,233,2,1712,3556,524,2,4082
6,State,GOA,12,2,0,14,31,4,0,35,12,2,0,14,2,0,0,2,13,0,0,13,120,21,0,141,190,29,0,219,2,0,0,2,9,3,0,12,2,0,0,2,3,0,0,3,3,0,0,3,5,0,0,5,57,11,0,68,81,14,0,95,271,43,0,314
7,State,GUJARAT,181,36,0,217,1665,325,0,1990,227,42,0,269,95,20,0,115,415,92,0,507,2771,398,0,3169,5354,913,0,6267,129,31,0,160,607,123,0,730,87,18,0,105,59,11,0,70,259,28,0,287,95,23,0,118,435,73,0,508,1671,307,0,1978,7025,1220,0,8245
8,State,HARYANA,147,25,0,172,807,77,0,884,108,20,0,128,44,4,0,48,117,18,0,135,1885,143,0,2028,3108,287,0,3395,64,18,0,82,211,46,0,257,62,19,0,81,67,11,0,78,132,24,0,156,293,26,0,319,585,92,0,677,1414,236,0,1650,4522,523,0,5045
9,State,HIMACHAL PRADESH,48,3,0,51,185,17,0,202,13,4,0,17,2,1,0,3,20,6,0,26,519,57,0,576,787,88,0,875,30,9,0,39,37,6,0,43,9,0,0,9,2,0,0,2,5,0,0,5,6,0,0,6,92,25,0,117,181,40,0,221,968,128,0,1096
10,State,JAMMU & KASHMIR,13,1,0,14,145,47,0,192,18,3,0,21,0,0,0,0,13,3,0,16,375,61,0,436,564,115,0,679,5,3,0,8,33,6,0,39,4,0,0,4,7,0,0,7,7,0,0,7,4,3,0,7,147,25,0,172,207,37,0,244,771,152,0,923
