Sl. No,Category,State/UT/City,Truck/Lorry - Offenders,Truck/Lorry - Victims,Truck/Lorry - Total,Bus - Offenders,Bus - Victims,Bus - Total,SUV/Station Wagon/etc. - Offenders,SUV/Station Wagon/etc. - Victims,SUV/Station Wagon/etc. - Total,Car - Offenders,Car - Victims,Car - Total,Jeep - Offenders,Jeep - Victims,Jeep - Total,Tractor - Offenders,Tractor - Victims,Tractor - Total,Three Wheeler/Auto Rickshaw - Offenders,Three Wheeler/Auto Rickshaw - Victims,Three Wheeler/Auto Rickshaw - Total,Two Wheeler - Offenders,Two Wheeler - Victims,Two Wheeler - Total,Other Motor Vehicles - Offenders,Other Motor Vehicles - Victims,Other Motor Vehicles - Total,Bicycle - Offenders,Bicycle - Victims,Bicycle - Total,Hand Drawn Vehicle/Cycle Rickshaw - Offenders,Hand Drawn Vehicle/Cycle Rickshaw - Victims,Hand Drawn Vehicle/Cycle Rickshaw - Total,Animal Drawn Vehicle - Offenders,Animal Drawn Vehicle - Victims,Animal Drawn Vehicle - Total,Pedestrian - Offenders,Pedestrian - Victims,Pedestrian - Total,Others - Offenders,Others - Victims,Others - Total,Grand Total - Offenders,Grand Total - Victims,Grand Total
1,State,ANDHRA PRADESH,427,962,1389,87,506,593,158,116,274,242,732,974,55,91,146,59,325,384,252,715,967,1033,1493,2526,119,382,501,22,17,39,0,0,0,2,2,4,195,231,426,39,35,74,2690,5607,8297
2,State,ARUNACHAL PRADESH,21,24,45,1,1,2,9,11,20,6,34,40,0,1,1,3,4,7,0,0,0,15,13,28,10,22,32,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,66,111,177
3,State,ASSAM,55,305,360,17,429,446,11,262,273,47,315,362,4,21,25,0,57,57,5,113,118,228,420,648,1,28,29,18,2,20,0,7,7,0,8,8,11,20,31,0,0,0,397,1987,2384
4,State,BIHAR,434,701,1135,211,546,757,99,120,219,128,205,333,55,230,285,143,157,300,165,215,380,546,549,1095,23,247,270,49,34,83,15,14,29,21,29,50,46,116,162,142,260,402,2077,3423,5500
5,State,CHHATTISGARH,457,475,932,82,86,168,66,49,115,146,154,300,56,52,108,137,123,260,13,34,47,603,853,1456,286,268,554,20,7,27,0,0,0,3,0,3,9,79,88,12,12,24,1890,2192,4082
6,State,GOA,7,18,25,1,2,3,3,7,10,10,29,39,1,3,4,0,0,0,0,1,1,80,102,182,1,8,9,0,1,1,0,0,0,0,0,0,3,29,32,1,7,8,107,207,314
7,State,GUJARAT,377,1240,1617,65,320,385,102,240,342,311,892,1203,104,466,570,30,167,197,201,447,648,955,1382,2337,75,266,341,26,58,84,0,10,10,2,7,9,86,402,488,3,11,14,2337,5908,8245
8,State,HARYANA,92,986,1078,19,298,317,27,243,270,107,658,765,14,200,214,6,169,175,17,195,212,110,762,872,20,510,530,5,43,48,0,15,15,1,11,12,15,372,387,7,143,150,440,4605,5045
9,State,HIMACHAL PRADESH,78,97,175,37,87,124,34,58,92,134,194,328,53,41,94,28,13,41,4,1,5,108,70,178,24,32,56,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,500,596,1096
10,State,JAMMU & KASHMIR,66,85,151,23,96,119,51,62,113,46,74,120,0,3,3,12,20,32,7,12,19,60,61,121,22,162,184,1,0,1,0,0,0,0,0,0,11,23,34,23,3,26,322,601,923
11,State,JHARKHAND,197,316,513,31,273,304,46,0,46,81,315,396,28,22,50,57,23,80,51,205,256,436,722,1158,29,22,51,5,0,5,0,0,0,0,0,0,0,34,34,0,0,0,961,1932,2893
12,State,KARNATAKA,267,1078,1345,124,732,856,46,222,268,323,1050,1373,55,318,373,74,280,354,123,453,576,1469,2367,3836,191,718,909,11,32,43,0,0,0,1,0,1,114,560,674,82,167,249,2880,7977,10857
13,State,KERALA,65,334,399,70,364,434,29,72,101,130,384,514,12,50,62,2,3,5,60,173,233,405,1160,1565,40,53,93,1,61,62,0,0,0,0,0,0,12,706,718,0,10,10,826,3370,4196
14,State,MADHYA PRADESH,424,1182,1606,184,549,733,177,493,670,273,789,1062,88,392,480,155,543,698,57,167,224,1155,1970,3125,187,459,646,21,35,56,2,14,16,1,2,3,52,323,375,7,57,64,2783,6975,9758
15,State,MAHARASHTRA,558,1694,2252,95,445,540,75,149,224,346,990,1336,144,496,640,64,274,338,138,454,592,2486,3146,5632,93,393,486,67,142,209,1,0,1,1,5,6,147,1109,1256,15,158,173,4230,9455,13685
16,State,MANIPUR,21,16,37,2,4,6,10,0,10,11,9,20,3,1,4,1,0,1,2,1,3,11,14,25,11,3,14,0,1,1,0,0,0,0,0,0,4,4,8,0,0,0,76,53,129
17,State,MEGHALAYA,43,34,77,2,12,14,4,7,11,17,13,30,3,3,6,0,1,1,1,5,6,19,17,36,2,1,3,0,0,0,0,0,0,1,0,1,1,19,20,0,0,0,93,112,205
18,State,MIZORAM,6,18,24,0,0,0,0,0,0,3,8,11,0,1,1,1,0,1,0,0,0,6,11,17,2,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,47,65
19,State,NAGALAND,1,5,6,0,1,1,0,14,14,2,11,13,0,1,1,0,0,0,0,4,4,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,42,47
20,State,ODISHA,244,474,718,47,319,366,35,98,133,129,297,426,39,74,113,61,116,177,43,173,216,662,695,1357,99,360,459,18,22,40,0,0,0,2,0,2,2,165,167,19,110,129,1400,2903,4303
21,State,PUNJAB,92,638,730,39,439,478,50,287,337,215,742,957,19,83,102,17,188,205,27,133,160,404,989,1393,8,127,135,68,32,100,0,1,1,2,9,11,98,99,197,7,80,87,1046,3847,4893
22,State,RAJASTHAN,584,1506,2090,150,561,711,77,291,368,318,905,1223,199,768,967,78,574,652,24,130,154,1149,1278,2427,137,800,937,17,6,23,2,0,2,0,1,1,79,336,415,159,381,540,2973,7537,10510
23,State,SIKKIM,13,15,28,0,0,0,5,12,17,7,11,18,0,1,1,0,0,0,0,0,0,3,1,4,3,1,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,31,44,75
24,State,TAMIL NADU,140,2493,2633,94,1977,2071,53,762,815,174,1940,2114,14,361,375,18,196,214,41,318,359,1219,3668,4887,40,1668,1708,38,54,92,0,1,1,3,56,59,40,198,238,6,70,76,1880,13762,15642
25,State,TELANGANA,308,887,1195,93,266,359,33,70,103,249,676,925,50,36,86,109,219,328,194,393,587,978,1548,2526,311,84,395,29,30,59,3,1,4,1,0,1,0,537,537,3,2,5,2361,4749,7110
26,State,TRIPURA,8,23,31,1,5,6,3,0,3,3,17,20,2,7,9,0,0,0,1,6,7,20,13,33,1,14,15,7,0,7,0,0,0,0,0,0,9,18,27,0,0,0,55,103,158
27,State,UTTAR PRADESH,839,4881,5720,221,1546,1767,144,776,920,372,1763,2135,179,709,888,130,662,792,130,724,854,1147,2768,3915,297,791,1088,22,113,135,1,2,3,1,22,23,13,126,139,3,25,28,3499,14908,18407
