Sl. No.,Category,State/UT/City,Rural Area (Near School/College/Educational Institution) - Male,Rural Area (Near School/College/Educational Institution) - Female,Rural Area (Near School/College/Educational Institution) - Transgender,Rural Area (Near School/College/Educational Institution) - Total,Rural Area (Near Residential Area) - Male,Rural Area (Near Residential Area) - Female,Rural Area (Near Residential Area) - Transgender,Rural Area (Near Residential Area) - Total,Rural Area (Near Religious Place) - Male,Rural Area (Near Religious Place) - Female,Rural Area (Near Religious Place) - Transgender,Rural Area (Near Religious Place) - Total,Rural Area (Near Recreation Place/Cinema Hall) - Male,Rural Area (Near Recreation Place/Cinema Hall) - Female,Rural Area (Near Recreation Place/Cinema Hall) - Transgender,Rural Area (Near Recreation Place/Cinema Hall) - Total,Rural Area (Near Factory) - Male,Rural Area (Near Factory) - Female,Rural Area (Near Factory) - Transgender,Rural Area (Near Factory) - Total,Rural Area (Others) - Male,Rural Area (Others) - Female,Rural Area (Others) - Transgender,Rural Area (Others) - Total,Rural Area (Sub Total) - Male,Rural Area (Sub Total) - Female,Rural Area (Sub Total) - Transgender,Rural Area (Sub Total) - Total,Urban Area (Near School/College/Educational Institution) - Male,Urban Area (Near School/College/Educational Institution) - Female,Urban Area (Near School/College/Educational Institution) - Transgender,Urban Area (Near School/College/Educational Institution) - Total,Urban Area (Near Residential Area) - Male,Urban Area (Near Residential Area) - Female,Urban Area (Near Residential Area) - Transgender,Urban Area (Near Residential Area) - Total,Urban Area (Near Religious Place) - Male,Urban Area (Near Religious Place) - Female,Urban Area (Near Religious Place) - Transgender,Urban Area (Near Religious Place) - Total,Urban Area (Near Recreation Place/Cinema Hall) - Male,Urban Area (Near Recreation Place/Cinema Hall) - Female,Urban Area (Near Recreation Place/Cinema Hall) - Transgender,Urban Area (Near Recreation Place/Cinema Hall) - Total,Urban Area (Near Factory/Industrial Area) - Male,Urban Area (Near Factory/Industrial Area) - Female,Urban Area (Near Factory/Industrial Area) - Transgender,Urban Area (Near Factory/Industrial Area) - Total,Urban Area (At Pedestrian Crossing) - Male,Urban Area (At Pedestrian Crossing) - Female,Urban Area (At Pedestrian Crossing) - Transgender,Urban Area (At Pedestrian Crossing) - Total,Urban Area (Others) - Male,Urban Area (Others) - Female,Urban Area (Others) - Transgender,Urban Area (Others) - Total,Urban Area (Sub Total) - Male,Urban Area (Sub Total) - Female,Urban Area (Sub Total) - Transgender,Urban Area (Sub Total) - Total,Grand Total - Male,Grand Total - Female,Grand Total - Transgender,Grand Total - Total
1,State,Andhra Pradesh,270,43,0,313,1027,103,0,1130,253,56,0,309,145,18,0,163,172,32,0,204,3374,394,0,3768,5241,646,0,5887,184,55,0,239,390,75,0,465,110,26,0,136,167,26,0,193,99,17,0,116,287,62,0,349,1031,125,0,1156,2268,386,0,2654,7509,1032,0,8541
2,State,Arunachal Pradesh,7,1,0,8,25,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,40,22,0,62,72,26,0,98,5,0,0,5,10,4,0,14,6,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,15,3,0,18,37,7,0,44,109,33,0,142
3,State,Assam,109,27,0,136,447,54,0,501,147,6,0,153,127,15,0,142,62,7,0,69,209,14,0,223,1101,123,0,1224,133,29,0,162,361,44,0,405,100,17,0,117,105,11,0,116,63,12,0,75,50,11,0,61,378,63,0,441,1190,187,0,1377,2291,310,0,2601
4,State,Bihar,412,64,0,476,990,177,0,1167,153,39,0,192,68,18,0,86,23,2,0,25,326,78,0,404,1972,378,0,2350,385,85,0,470,830,158,0,988,163,34,0,197,120,30,0,150,114,12,0,126,238,19,0,257,248,81,0,329,2098,419,0,2517,4070,797,0,4867
5,State,Chhattisgarh,72,7,0,79,466,76,0,542,29,4,0,33,9,2,0,11,15,9,0,24,1360,201,0,1561,1951,299,0,2250,66,11,0,77,354,72,0,426,35,1,0,36,47,3,0,50,96,11,0,107,60,25,0,85,781,97,0,878,1439,220,0,1659,3390,519,0,3909
6,State,Goa,7,1,0,8,93,13,0,106,12,0,0,12,3,0,0,3,12,3,0,15,99,17,0,116,226,34,0,260,3,1,0,4,26,6,0,32,4,0,0,4,1,0,0,1,4,0,0,4,0,0,0,0,29,5,0,34,67,12,0,79,293,46,0,339
7,State,Gujarat,242,35,0,277,1069,248,0,1317,184,32,0,216,146,15,0,161,366,46,0,412,2822,397,0,3219,4829,773,0,5602,233,42,0,275,468,102,0,570,172,55,0,227,96,22,0,118,312,36,0,348,225,34,0,259,627,126,0,753,2133,417,0,2550,6962,1190,0,8152
8,State,Haryana,207,28,0,235,622,93,0,715,106,17,0,123,76,11,0,87,220,21,0,241,1685,156,0,1841,2916,326,0,3242,112,25,0,137,246,39,0,285,61,12,0,73,58,8,0,66,196,33,0,229,241,42,1,284,749,105,0,854,1663,264,1,1928,4579,590,1,5170
9,State,Himachal Pradesh,13,4,0,17,85,19,0,104,15,3,0,18,0,0,0,0,14,2,0,16,474,77,0,551,601,105,0,706,11,2,0,13,93,17,0,110,6,0,0,6,4,1,0,5,27,8,0,35,7,1,0,8,238,45,0,283,386,74,0,460,987,179,0,1166
10,State,Jammu & Kashmir,13,1,0,14,142,20,0,162,9,0,0,9,1,0,0,1,8,1,0,9,392,66,0,458,565,88,0,653,7,1,0,8,29,7,0,36,5,0,0,5,6,1,0,7,10,0,0,10,15,0,0,15,189,35,0,224,261,44,0,305,826,132,0,958
