Sl. No.,Cause,Below 14 years - Male,Below 14 years - Female,Below 14 years - Transgender,Below 14 years - Total,14 and Above - Below 18 years - Male,14 and Above - Below 18 years - Female,14 and Above - Below 18 years - Transgender,14 and Above - Below 18 years - Total,18 and Above - Below 30 years - Male,18 and Above - Below 30 years - Female,18 and Above - Below 30 years - Transgender,18 and Above - Below 30 years - Total,30 and Above - Below 45 years - Male,30 and Above - Below 45 years - Female,30 and Above - Below 45 years - Transgender,30 and Above - Below 45 years - Total,45 and Above - Below 60 years - Male,45 and Above - Below 60 years - Female,45 and Above - Below 60 years - Transgender,45 and Above - Below 60 years - Total,60 years & Above - Male,60 years & Above - Female,60 years & Above - Transgender,60 years & Above - Total,Total - Male,Total - Female,Total - Transgender,Total,Percentage Share
1,Avalanche,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,18,1,0,0,1,0,0,0,0,19,0,0,19,0.2
2,Exposure to cold,16,2,0,18,9,3,0,12,43,7,0,50,105,17,1,123,223,35,0,258,175,51,0,226,571,115,1,687,7.9
3,Cyclone,2,1,0,3,0,1,0,1,0,1,0,1,3,2,0,5,2,0,0,2,1,2,0,3,8,7,0,15,0.2
4,Tornado,1,0,0,1,1,0,0,1,1,0,0,1,2,0,0,2,1,1,0,2,1,1,0,2,7,2,0,9,0.1
5,Tsunami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Earthquake,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,3,0,0,3,0
7,Epidemic,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,13,6,2,1,9,2,12,0,14,19,16,1,36,0.4
8,Flood,134,68,0,202,109,36,0,145,136,33,0,169,105,21,0,126,77,19,0,96,25,12,0,37,586,189,0,775,8.9
9,Heat/Sun Stroke,14,5,0,19,12,7,0,19,118,23,0,141,309,43,3,355,390,86,7,483,244,75,2,321,1087,239,12,1338,15.4
10,Landslide,10,13,0,23,9,1,0,10,42,11,0,53,52,21,0,73,24,6,0,30,10,11,0,21,147,63,0,210,2.4
11,Lightning,155,72,1,228,204,87,0,291,647,198,0,845,724,331,1,1056,504,188,4,696,141,58,0,199,2375,934,6,3315,38.2
12,Torrential Rain,11,4,0,15,14,7,0,21,25,4,0,29,30,11,0,41,19,10,0,29,6,2,0,8,105,38,0,143,1.6
13,Forest Fire,0,0,0,0,0,0,0,0,4,4,0,8,3,1,0,4,6,0,0,6,2,1,0,3,15,6,0,21,0.2
14,Causes other than above,49,28,0,77,105,26,0,131,358,106,0,464,513,117,1,631,439,75,0,514,244,52,0,296,1708,404,1,2113,24.3
15,Total,392,193,1,586,463,168,0,631,1374,387,0,1761,1876,566,6,2448,1694,422,12,2128,851,277,2,1130,6650,2013,21,8684,100
