Sl. No.,Cause,No. of Cases - 2015,No. of Cases - 2016,% Variation in 2016 over 2015,Persons Injured - 2016 - Male,Persons Injured - 2016 - Female,Persons Injured - 2016 - Transgender,Persons Injured - 2016 - Total,Persons Died - 2016 - Male,Persons Died - 2016 - Female,Persons Died - 2016 - Transgender,Persons Died - 2016 - Total
1,Air Crash,5,3,-40,6,0,0,6,2,0,0,2
2,Ship Accidents,1,1,0,0,0,0,0,0,0,0,0
3,Collapse of Structure (Total),1830,1896,3.6,168,78,0,246,1439,545,0,1984
3,3.1 Collapse of Dwelling House/Residential Building,1080,1115,3.2,116,69,0,185,785,347,0,1132
3,3.2 Collapse of Official/Commercial Building,57,79,38.6,11,0,0,11,62,25,0,87
3,3.3 Collapse of Dam,4,36,800,0,0,0,0,29,7,0,36
3,3.4 Collapse of Bridge,22,19,-13.6,0,0,0,0,35,12,0,47
3,3.5 Others,667,647,-3,41,9,0,50,528,154,0,682
4,Drowning (Total),29232,28896,-1.1,214,99,77,390,23296,6425,0,29721
4,4.1 Boat Capsize,315,186,-41,5,0,0,5,207,39,0,246
4,4.2 Accidental Falls into Waterbody,15345,17264,12.5,156,83,1,240,13771,4036,0,17807
4,4.3 Other Cases,13572,11446,-15.7,53,16,76,145,9318,2350,0,11668
5,Electrocution,10200,11082,8.6,147,23,0,170,9452,1674,0,11126
6,Accidental Explosion (Total),809,851,5.2,92,34,0,126,447,405,0,852
6,6.1 Domestic Gas Cylinder,234,347,48.3,30,19,0,49,94,227,0,321
6,6.2 Industrial Boiler/Gas Cylinder Explosion,40,55,37.5,19,0,0,19,73,7,0,80
6,6.3 Ammunition Explosion in Armed Forces/Police/CPMF,13,11,-15.4,0,0,0,0,11,0,0,11
6,6.4 Other,522,438,-16.1,43,15,0,58,269,171,0,440
7,Falls (Total),17433,17528,0.5,413,112,2,527,14442,2836,0,17278
7,7.1 Fall from Height,9422,9974,5.9,185,35,2,222,8371,1474,0,9845
7,"7.2 Fall from Vehicles (Automobile like Bus, Trucks, etc.)",2139,2427,13.5,135,57,0,192,1945,391,0,2336
7,7.3 Fall into Manhole,167,120,-28.1,0,0,0,0,104,19,0,123
7,7.4 Fall into Pit,730,790,8.2,18,4,0,22,604,170,0,774
7,7.5 Fall into Borewell,71,33,-53.5,0,0,0,0,29,4,0,33
7,7.6 Others,4904,4184,-14.7,75,16,0,91,3389,778,0,4167
8,Factory/Machine Accidents,1268,910,-28.2,257,32,1,290,605,80,0,685
9,Accidental Fire (Total),18450,16695,-9.5,484,513,1,998,6539,10358,3,16900
9,9.1 Electrical Short circuit,2485,2500,0.6,110,86,0,196,1921,705,0,2626
9,9.2 Riot/Agitation,3,2,-33.3,2,0,0,2,1,0,0,1
9,9.3 Fireworks,110,253,130,103,80,0,183,116,58,0,174
9,9.4 Cooking Gas Cylinder/Stove Burst,3390,3927,15.8,135,247,0,382,860,2853,1,3714
9,9.5 Other Causes,12462,10013,-19.7,134,100,1,235,3641,6742,2,10385
10,Firearm,868,758,-12.7,171,25,0,196,539,75,0,614
11,Mines or Quarry Disaster,119,128,7.6,3,3,0,6,104,26,0,130
12,Traffic Accidents (Total),496762,502100,1.1,398533,90423,5,488961,153287,24607,10,177904
12,12.1 Road Accidents,464674,473050,1.8,395631,89873,4,485508,130904,20894,3,151801
12,12.2 Railway Crossing Accidents,2669,3123,17,65,13,0,78,2699,433,1,3133
12,12.3 Railway Accidents,29419,25927,-11.9,2837,537,1,3375,19684,3280,6,22970
13,Stampede,424,31,-92.7,10,4,0,14,24,21,0,45
14,Sudden Deaths (Total),35754,41716,16.7,0,0,0,0,34932,6693,3,41628
14,1.1 Industrial Accidents,299,374,25.1,0,0,0,0,233,36,0,269
14,1.2 Heart Attack,19038,21908,15.1,0,0,0,0,19193,2720,1,21914
14,1.3 Others,16417,19434,18.4,0,0,0,0,15506,3937,2,19445
15,Deaths of Women during Pregnancy (Total),1049,1131,7.8,0,0,0,0,0,1131,0,1131
15,2.1 Due to Abortions,116,112,-3.4,0,0,0,0,0,108,0,108
15,2.2 Other than Abortions,933,1019,9.2,0,0,0,0,0,1023,0,1023
16,Deaths Due to Consumption of Illicit/Spurious Liquor,1624,1073,-33.9,0,0,0,0,1006,48,0,1054
17,Killed / Injured by Animals,992,1063,7.2,0,0,0,0,811,252,0,1063
18,Poisoning (Total),27657,23115,-16.4,158,70,0,228,15252,7842,0,23094
18,5.1 Food Poisoning,2091,1074,-48.6,51,25,0,76,671,380,0,1051
18,5.2 Accidental Intake of Insecticides/Pesticides,7672,6242,-18.6,36,11,0,47,4120,2093,0,6213
18,5.3 Poisonous Gases (Total),402,332,-17.4,1,0,0,1,292,60,0,352
18,5.3.1 Carbon Monoxide (CO) Gas,12,18,50,0,0,0,0,19,5,0,24
18,5.3.2 Other Poisonous Gases,390,314,-19.5,1,0,0,1,273,55,0,328
18,5.4 Snake Bite,8660,8303,-4.1,13,7,0,20,5085,3197,0,8282
18,5.5 Animal/Reptiles/Insects Bite,811,1001,23.4,4,5,0,9,683,316,0,999
18,5.6 Other,8021,6163,-23.2,53,22,0,75,4401,1796,0,6197
19,Suffocation,1410,1377,-2.3,5,2,0,7,1047,352,0,1399
20,Drug Overdose,796,808,1.5,1,14,0,15,661,117,0,778
21,Other than above Causes,70701,62495,-11.6,1499,505,0,2004,46914,14251,5,61170
22,Causes Not Known,15381,21822,41.9,523,128,9,660,16355,4621,3,20979
Total,Total,732765,735479,0.4,402684,92065,95,494844,327154,82359,24,409537
