Sl. No.,Category,State/UT/City,National Highways - Cases,National Highways - Injured,National Highways - Died,State Highways - Cases,State Highways - Injured,State Highways - Died,Expressways - Cases,Expressways - Injured,Expressways - Died,Other Roads - Cases,Other Roads - Injured,Other Roads - Died,Total - Cases,Total - Injured,Total - Died
1,State,Andhra Pradesh,7545,9231,2931,5396,7538,2213,96,101,2,10621,13181,3395,23658,30051,8541
2,State,Arunachal Pradesh,102,110,58,61,71,39,0,0,0,64,159,45,227,340,142
3,State,Assam,3661,2948,1527,2084,1741,715,2,0,2,1523,1146,357,7270,5835,2601
4,State,Bihar,3329,2145,2046,2829,1888,1742,0,0,0,2064,1507,1079,8222,5540,4867
5,State,Chhattisgarh,3988,3704,1246,3373,3389,1019,0,0,0,6220,5909,1644,13581,13002,3909
6,State,Goa,1830,731,151,503,322,49,0,0,0,1971,1031,139,4304,2084,339
7,State,Gujarat,4082,3426,1910,6038,5842,2796,215,223,106,11223,10553,3340,21558,20044,8152
8,State,Haryana,3498,3199,1845,2836,2584,1274,239,290,62,4752,4246,1989,11325,10319,5170
9,State,Himachal Pradesh,1287,2023,411,569,1020,206,0,0,0,1297,2541,549,3153,5584,1166
10,State,Jammu & Kashmir,1992,2857,412,668,1015,133,0,0,0,2817,3820,413,5477,7692,958
11,State,Jharkhand,1535,1449,1174,1685,1352,1140,176,174,100,1536,818,613,4932,3793,3027
12,State,Karnataka,14893,17465,4459,11465,15195,2965,0,0,0,18078,21884,3862,44436,54544,11286
13,State,Kerala,10238,11678,1340,7728,9145,980,0,0,0,21454,23285,1967,39420,44108,4287
14,State,Madhya Pradesh,9867,9860,2674,14281,14268,3043,599,679,114,27197,28245,4030,51944,53052,9861
15,State,Maharashtra,9348,9003,3803,8486,8430,3761,293,190,155,19759,18103,5963,37886,35726,13682
16,State,Manipur,404,714,89,136,224,25,0,0,0,128,180,15,668,1118,129
17,State,Meghalaya,145,197,126,47,54,30,19,29,9,71,92,39,282,372,204
18,State,Mizoram,34,20,38,23,10,16,0,0,0,7,1,6,64,31,60
19,State,Nagaland,39,26,39,3,2,3,0,0,0,11,18,5,53,46,47
20,State,Odisha,4318,4376,1858,3325,3753,1439,25,28,6,2864,3155,1160,10532,11312,4463
21,State,Punjab,1915,1344,1542,1917,1176,1487,0,0,0,3120,1831,2048,6952,4351,5077
22,State,Rajasthan,6224,6599,3706,4025,4275,2100,133,146,32,12684,13083,4627,23066,24103,10465
23,State,Sikkim,78,96,30,64,94,49,0,0,0,81,153,33,223,343,112
24,State,Tamil Nadu,22573,27046,6495,23405,27705,6013,0,0,0,25453,27412,4710,71431,82163,17218
25,State,Telangana,5727,6325,2282,4511,5055,1520,0,0,0,12573,12837,3417,22811,24217,7219
26,State,Tripura,203,308,68,204,360,56,0,0,0,150,185,49,557,853,173
27,State,Uttar Pradesh,10205,6884,6374,8741,5706,5411,500,678,423,11162,6756,6798,30608,20024,19006
28,State,Uttarakhand,732,896,390,532,539,298,0,0,0,281,297,228,1545,1732,916
29,State,West Bengal,4488,3526,2667,3604,3339,2096,414,328,98,8443,6681,1789,16949,13874,6650
State,State,Total (States),134280,138186,51691,118539,126092,42618,2711,2866,1109,207604,209109,54309,463134,476253,149727
30,Union Territory,A & N Islands,54,100,5,24,38,2,0,0,0,160,185,10,238,323,17
31,Union Territory,Chandigarh,44,22,21,0,0,0,0,0,0,382,307,130,426,329,151
32,Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,70,130,46,70,130,46
33,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,43,39,27,43,39,27
34,Union Territory,Delhi (UT),809,760,255,509,537,153,0,0,0,6057,5371,1183,7375,6668,1591
35,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
36,Union Territory,Puducherry,572,658,131,89,84,14,0,0,0,1102,1024,96,1763,1766,241
Union Territory,Union Territory,Total (UTs),1479,1540,412,622,659,169,0,0,0,7815,7056,1493,9916,9255,2074
Total (All India),Total (All India),Total (All India),135759,139726,52103,119161,126751,42787,2711,2866,1109,215419,216165,55802,473050,485508,151801
37,City,Agra,412,168,119,286,359,194,150,134,79,139,82,42,987,743,434
38,City,Ahmedabad,6,8,0,19,16,6,0,0,0,1952,1652,445,1977,1676,451
39,City,Allahabad,357,282,79,447,357,110,0,0,0,183,121,63,987,760,252
40,City,Amritsar,61,42,26,58,26,51,0,0,0,33,35,25,152,103,102
41,City,Asansol,12,7,7,8,6,3,0,0,0,398,207,209,418,220,219
42,City,Aurangabad,0,0,0,115,87,28,0,0,0,2355,2196,159,2470,2283,187
43,City,Bengaluru,939,758,251,272,223,45,22,17,27,4123,3254,665,5356,4252,988
44,City,Bhopal,92,21,62,389,379,50,0,0,0,2737,2297,52,3218,2697,164
45,City,Chandigarh (City),44,22,21,0,0,0,0,0,0,369,297,125,413,319,146
46,City,Chennai,1306,1462,258,334,1349,248,0,0,0,5846,4538,677,7486,7349,1183
47,City,Coimbatore,444,368,103,370,339,79,0,0,0,540,492,106,1354,1199,288
48,City,Delhi (City),613,548,192,347,362,112,0,0,0,4867,4279,887,5827,5189,1191
49,City,Dhanbad,114,152,48,35,62,15,68,72,34,0,0,0,217,286,97
50,City,Durg Bhilainagar,209,199,94,104,79,57,0,0,0,563,573,55,876,851,206
51,City,Faridabad,103,63,44,0,0,0,0,0,0,550,445,197,653,508,241
52,City,Ghaziabad,155,123,136,223,122,104,0,0,0,277,174,104,655,419,344
53,City,Gwalior,175,122,49,0,0,0,0,0,0,1329,1110,73,1504,1232,122
54,City,Hyderabad,89,79,46,291,277,89,0,0,0,2565,2113,313,2945,2469,448
55,City,Indore,536,396,91,493,388,47,0,0,0,2992,2457,147,4021,3241,285
56,City,Jabalpur,773,178,73,629,690,43,0,0,0,915,1449,67,2317,2317,183
57,City,Jaipur,525,377,234,375,294,145,105,123,16,1999,1831,495,3004,2625,890
58,City,Jamshedpur,2,0,2,91,68,35,0,0,0,95,118,40,188,186,77
59,City,Jodhpur,222,143,112,42,51,28,0,0,0,376,357,119,640,551,259
60,City,Kannur,177,251,26,67,92,7,0,0,0,260,317,19,504,660,52
61,City,Kanpur,397,219,272,296,141,180,0,0,0,301,236,51,994,596,503
62,City,Kochi,725,716,50,333,340,35,0,0,0,1515,1539,84,2573,2595,169
63,City,Kolkata,0,0,0,212,210,6,0,0,0,3892,2817,340,4104,3027,346
64,City,Kollam,849,881,132,0,0,0,0,0,0,828,807,75,1677,1688,207
65,City,Kota,147,135,36,31,26,8,0,0,0,412,408,58,590,569,102
66,City,Kozhikode,749,820,77,50,54,3,0,0,0,743,807,65,1542,1681,145
67,City,Lucknow,411,345,191,173,102,84,0,0,0,860,597,107,1444,1044,382
68,City,Ludhiana,177,96,115,108,49,92,0,0,0,264,168,177,549,313,384
69,City,Madurai,59,55,17,681,666,163,0,0,0,206,205,42,946,926,222
70,City,Malappuram,158,191,29,126,154,20,0,0,0,394,406,59,678,751,108
71,City,Meerut,213,160,88,112,140,63,0,0,0,234,201,54,559,501,205
72,City,Mumbai,0,0,0,106,90,35,0,0,0,2299,2057,542,2405,2147,577
73,City,Nagpur,392,337,121,57,36,26,0,0,0,1125,1028,249,1574,1401,396
74,City,Nasik,54,19,58,8,1,9,0,0,0,168,37,175,230,57,242
75,City,Patna,225,150,126,305,118,144,0,0,0,161,128,53,691,396,323
76,City,Pune,155,106,88,37,35,6,0,0,0,1327,933,439,1519,1074,533
77,City,Raipur,361,178,48,307,175,36,0,0,0,750,379,69,1418,732,153
78,City,Rajkot,109,75,40,96,70,36,0,0,0,514,465,78,719,610,154
79,City,Ranchi,115,146,75,197,53,124,0,0,0,43,39,21,355,238,220
80,City,Srinagar,72,76,15,0,0,0,0,0,0,252,249,36,324,325,51
81,City,Surat,57,56,24,62,61,28,0,0,0,617,564,233,736,681,285
82,City,Thiruvananthapuram,491,586,38,61,67,5,0,0,0,1901,2341,137,2453,2994,180
83,City,Thrissur,134,180,24,368,419,40,0,0,0,855,986,64,1357,1585,128
84,City,Tiruchirappalli,317,349,75,133,152,27,0,0,0,207,231,42,657,732,144
85,City,Vadodara,210,150,88,10,14,1,0,0,0,826,714,125,1046,878,214
86,City,Varanasi,133,86,90,135,59,64,0,0,0,0,0,0,268,145,154
87,City,Vasai Virar,263,137,113,74,53,15,0,0,0,402,303,54,739,493,182
88,City,Vijayawada,737,700,209,195,194,33,0,0,0,618,677,137,1550,1571,379
89,City,Vishakhapatnam,925,640,174,80,23,21,42,0,0,411,730,157,1458,1393,352
City,City,Total (Cities),16001,13358,4486,9348,9128,2800,387,346,156,57588,50446,8807,83324,73278,16249
