Sl. No.,Category,State/UT/City,Deaths due to Forces of Nature - 2016,Deaths due to Forces of Nature - 2017,Deaths due to Forces of Nature - % Variation,Deaths due to Other Causes - 2016,Deaths due to Other Causes - 2017,Deaths due to Other Causes - % Variation,Total Accidental Deaths - 2016,Total Accidental Deaths - 2017,Total Accidental Deaths - % Variation
1,State,Andhra Pradesh,426,346,-18.8,17382,16892,-2.8,17808,17238,-3.2
2,State,Arunachal Pradesh,47,29,-38.3,409,204,-50.1,456,233,-48.9
3,State,Assam,544,99,-81.8,4971,4691,-5.6,5515,4790,-13.1
4,State,Bihar,1057,1089,3,9514,10708,12.5,10571,11797,11.6
5,State,Chhattisgarh,305,353,15.7,17809,17745,-0.4,18114,18098,-0.1
6,State,Goa,0,0,NA,768,843,9.8,768,843,9.8
7,State,Gujarat,127,205,61.4,27283,24336,-10.8,27410,24541,-10.5
8,State,Haryana,604,161,-73.3,14387,15057,4.7,14991,15218,1.5
9,State,Himachal Pradesh,84,167,98.8,3278,3082,-6,3362,3249,-3.4
10,State,Jammu & Kashmir,280,127,-54.6,1485,1227,-17.4,1765,1354,-23.3
11,State,Jharkhand,757,319,-57.9,5758,5794,0.6,6515,6113,-6.2
12,State,Karnataka,96,122,27.1,26133,23496,-10.1,26229,23618,-10
13,State,Kerala,29,143,393.1,11980,11665,-2.6,12009,11808,-1.7
14,State,Madhya Pradesh,899,583,-35.2,41107,40028,-2.6,42006,40611,-3.3
15,State,Maharashtra,482,478,-0.8,68620,64159,-6.5,69102,64637,-6.5
16,State,Manipur,0,5,NA,286,273,-4.5,286,278,-2.8
17,State,Meghalaya,18,32,77.8,403,445,10.4,421,477,13.3
18,State,Mizoram,11,2,-81.8,192,214,11.5,203,216,6.4
19,State,Nagaland,0,1,NA,79,83,5.1,79,84,6.3
20,State,Odisha,467,931,99.4,11821,13395,13.3,12288,14326,16.6
21,State,Punjab,298,154,-48.3,10708,9679,-9.6,11006,9833,-10.7
22,State,Rajasthan,195,198,1.5,28216,27634,-2.1,28411,27832,-2
23,State,Sikkim,5,13,160,285,281,-1.4,290,294,1.4
24,State,Tamil Nadu,48,94,95.8,32942,27999,-15,32990,28093,-14.8
25,State,Telangana,292,259,-11.3,13288,11293,-15,13580,11552,-14.9
26,State,Tripura,21,28,33.3,738,711,-3.7,759,739,-2.6
27,State,Uttar Pradesh,1307,897,-31.4,32761,33863,3.4,34068,34760,2
28,State,Uttarakhand,54,64,18.5,1584,1517,-4.2,1638,1581,-3.5
29,State,West Bengal,220,240,9.1,16974,14869,-12.4,17194,15109,-12.1
State,State,Total (States),8673,7139,-17.7,401161,382183,-4.7,409834,389322,-5
30,Union Territory,A & N Islands,1,1,0,241,186,-22.8,242,187,-22.7
31,Union Territory,Chandigarh,4,1,-75,422,299,-29.1,426,300,-29.6
32,Union Territory,D & N Haveli,0,2,NA,119,147,23.5,119,149,25.2
33,Union Territory,Daman & Diu,0,0,NA,171,157,-8.2,171,157,-8.2
34,Union Territory,Delhi (UT),6,0,-100,6573,4911,-25.3,6579,4911,-25.4
35,Union Territory,Lakshadweep,0,0,NA,12,6,-50,12,6,-50
36,Union Territory,Puducherry,0,0,NA,838,1552,85.2,838,1552,85.2
Union Territory,Union Territory,Total (UTs),11,4,-63.6,8376,7258,-13.3,8387,7262,-13.4
Total (All India),Total (All India),Total (All India),8684,7143,-17.7,409537,389441,-4.9,418221,396584,-5.2
1,City,Agra,8,5,-37.5,642,390,-39.3,650,395,-39.2
2,City,Ahmedabad,1,2,100,2252,1925,-14.5,2253,1927,-14.5
3,City,Allahabad,29,0,-100,682,356,-47.8,711,356,-49.9
4,City,Amritsar,35,51,45.7,320,268,-16.3,355,319,-10.1
5,City,Asansol,0,1,NA,1450,541,-62.7,1450,542,-62.6
6,City,Aurangabad,0,2,NA,966,1151,19.2,966,1153,19.4
7,City,Bengaluru,0,0,NA,3756,3632,-3.3,3756,3632,-3.3
8,City,Bhopal,2,7,250,2996,678,-77.4,2998,685,-77.2
9,City,Chandigarh (City),4,1,-75,412,282,-31.6,416,283,-32
10,City,Chennai,0,4,NA,4081,2042,-50,4081,2046,-49.9
11,City,Coimbatore,0,0,NA,583,568,-2.6,583,568,-2.6
12,City,Delhi (City),6,0,-100,5462,4450,-18.5,5468,4450,-18.6
13,City,Dhanbad,14,21,50,168,199,18.5,182,220,20.9
14,City,Durg Bhilainagar,1,1,0,766,790,3.1,767,791,3.1
15,City,Faridabad,5,8,60,939,1058,12.7,944,1066,12.9
16,City,Ghaziabad,24,4,-83.3,756,632,-16.4,780,636,-18.5
17,City,Gwalior,1,0,-100,252,262,4,253,262,3.6
18,City,Hyderabad,1,4,300,1243,1021,-17.9,1244,1025,-17.6
19,City,Indore,1,2,100,1074,1066,-0.7,1075,1068,-0.7
20,City,Jabalpur,19,0,-100,715,745,4.2,734,745,1.5
21,City,Jaipur,2,5,150,3210,2937,-8.5,3212,2942,-8.4
22,City,Jamshedpur,8,9,12.5,325,392,20.6,333,401,20.4
23,City,Jodhpur,0,0,NA,951,1045,9.9,951,1045,9.9
24,City,Kannur,0,3,NA,176,201,14.2,176,204,15.9
25,City,Kanpur,9,19,111.1,1163,1622,39.5,1172,1641,40
26,City,Kochi,0,9,NA,478,497,4,478,506,5.9
27,City,Kolkata,0,0,NA,747,733,-1.9,747,733,-1.9
28,City,Kollam,0,0,NA,439,516,17.5,439,516,17.5
