Sl. No.,Category,State/UT/City,Truck/Lorry - Offenders,Truck/Lorry - Victims,Truck/Lorry - Total,Bus - Offenders,Bus - Victims,Bus - Total,SUV/Station Wagon/etc. - Offenders,SUV/Station Wagon/etc. - Victims,SUV/Station Wagon/etc. - Total,Car - Offenders,Car - Victims,Car - Total,Jeep - Offenders,Jeep - Victims,Jeep - Total,Tractor - Offenders,Tractor - Victims,Tractor - Total,Three Wheeler/Auto Rickshaw - Offenders,Three Wheeler/Auto Rickshaw - Victims,Three Wheeler/Auto Rickshaw - Total,Two Wheeler - Offenders,Two Wheeler - Victims,Two Wheeler - Total,Other Motor Vehicles - Offenders,Other Motor Vehicles - Victims,Other Motor Vehicles - Total,Bicycle - Offenders,Bicycle - Victims,Bicycle - Total,Hand Drawn Vehicle/Cycle Rickshaw - Offenders,Hand Drawn Vehicle/Cycle Rickshaw - Victims,Hand Drawn Vehicle/Cycle Rickshaw - Total,Animal Drawn Vehicle - Offenders,Animal Drawn Vehicle - Victims,Animal Drawn Vehicle - Total,Pedestrian - Offenders,Pedestrian - Victims,Pedestrian - Total,Others - Offenders,Others - Victims,Others - Total,Grand Total - Offenders,Grand Total - Victims,Grand Total - Total
1,State,Andhra Pradesh,416,924,1340,113,460,573,12,56,68,364,614,978,14,34,48,134,353,487,276,543,819,1640,1049,2689,71,250,321,50,16,66,0,13,13,0,3,3,189,351,540,52,63,115,3331,4729,8060
2,State,Arunachal Pradesh,6,3,9,2,0,2,9,3,12,8,8,16,1,0,1,1,0,1,1,0,1,9,12,21,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,44,28,72
3,State,Assam,281,187,468,71,133,204,31,77,108,287,172,459,10,2,12,9,13,22,58,77,135,514,389,903,16,57,73,58,39,97,0,0,0,0,0,0,10,89,99,0,17,17,1345,1252,2597
4,State,Bihar,476,430,906,273,254,527,267,170,437,289,226,515,239,62,301,146,77,223,189,184,373,1100,717,1817,6,7,13,58,10,68,2,0,2,2,16,18,81,90,171,161,22,183,3289,2265,5554
5,State,Chhattisgarh,335,394,729,94,116,210,60,60,120,173,227,400,41,45,86,102,157,259,22,30,52,890,633,1523,165,270,435,23,18,41,0,0,0,3,3,6,4,108,112,36,127,163,1948,2188,4136
6,State,Goa,5,20,25,2,3,5,0,1,1,15,11,26,1,4,5,0,0,0,0,1,1,104,116,220,0,3,3,3,3,6,0,0,0,0,0,0,3,33,36,0,6,6,133,201,334
7,State,Gujarat,268,1024,1292,48,177,225,48,204,252,286,905,1191,80,291,371,40,96,136,123,426,549,906,1774,2680,40,117,157,26,44,70,2,25,27,0,17,17,12,598,610,13,73,86,1892,5771,7663
8,State,Haryana,254,618,872,28,214,242,83,259,342,161,669,830,9,113,122,34,140,174,21,152,173,371,945,1316,123,129,252,9,75,84,0,38,38,0,18,18,8,653,661,49,296,345,1150,4319,5469
9,State,Himachal Pradesh,53,98,151,11,121,132,14,24,38,123,279,402,54,73,127,16,17,33,9,27,36,106,123,229,6,5,11,0,0,0,0,0,0,0,0,0,1,20,21,0,0,0,393,787,1180
10,State,Jammu & Kashmir,64,65,129,29,57,86,38,73,111,82,119,201,6,1,7,9,9,18,4,1,5,118,73,191,70,23,93,0,0,0,0,0,0,0,0,0,15,16,31,0,4,4,435,441,876
11,State,Jharkhand,170,137,307,60,143,203,42,77,119,142,214,356,55,97,152,24,28,52,80,105,185,1086,706,1792,11,0,11,19,5,24,0,0,0,0,0,0,14,41,55,0,0,0,1703,1553,3256
12,State,Karnataka,623,863,1486,177,576,753,77,138,215,543,1100,1643,129,195,324,71,273,344,208,359,567,2199,2696,4895,81,159,240,0,9,9,0,0,0,1,0,1,0,103,103,0,29,29,4109,6500,10609
13,State,Kerala,44,197,241,49,232,281,6,29,35,80,368,448,9,34,43,1,2,3,33,179,212,306,1509,1815,4,13,17,2,101,103,0,0,0,0,0,0,12,908,920,4,9,13,550,3581,4131
14,State,Madhya Pradesh,374,1034,1408,116,467,583,134,364,498,408,702,1110,134,354,488,264,436,700,80,195,275,1746,2269,4015,28,279,307,43,57,100,1,148,149,40,2,42,69,587,656,80,32,112,3517,6926,10443
15,State,Maharashtra,566,1450,2016,124,517,641,110,234,344,462,848,1310,133,396,529,73,216,289,129,382,511,2495,3263,5758,57,212,269,63,126,189,1,4,5,24,3,27,60,953,1013,86,33,119,4383,8637,13020
16,State,Manipur,1,24,25,2,11,13,2,3,5,4,31,35,0,0,0,0,0,0,0,5,5,2,25,27,0,7,7,0,4,4,0,0,0,0,0,0,0,11,11,0,0,0,11,121,132
17,State,Meghalaya,77,44,121,5,9,14,3,3,6,20,14,34,4,2,6,0,0,0,3,5,8,23,14,37,2,1,3,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,138,94,232
18,State,Mizoram,11,12,23,0,1,1,0,3,3,8,3,11,5,8,13,0,0,0,0,1,1,10,4,14,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34,33,67
19,State,Nagaland,18,6,24,0,2,2,0,4,4,3,4,7,2,1,3,0,0,0,1,0,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,17,45
