Sl. No.,Category,State/UT/City,Road Accidents - 0000 hrs to 0300 hrs. (Night),Road Accidents - 0300 hrs to 0600 hrs. (Night),Road Accidents - 0600 hrs to 0900 hrs (Day),Road Accidents - 0900 hrs to 1200 hrs (Day),Road Accidents - 1200 hrs to 1500 hrs (Day),Road Accidents - 1500 hrs to 1800 hrs (Day),Road Accidents - 1800 hrs to 2100hrs (Night),Road Accidents - 2100 hrs. to 2400hrs (Night),Road Accidents - Total,Railway Crossing Accidents - 0000 hrs to 0300 hrs. (Night),Railway Crossing Accidents - 0300 hrs to 0600 hrs. (Night),Railway Crossing Accidents - 0600 hrs to 0900 hrs (Day),Railway Crossing Accidents - 0900 hrs to 1200 hrs (Day),Railway Crossing Accidents - 1200 hrs to 1500 hrs (Day),Railway Crossing Accidents - 1500 hrs to 1800 hrs (Day),Railway Crossing Accidents - 1800 hrs to 2100 hrs (Night),Railway Crossing Accidents - 2100 hrs. to 2400 hrs (Night),Railway Crossing Accidents - Total,Railway Accidents - 0000 hrs to 0300 hrs. (Night),Railway Accidents - 0300 hrs to 0600 hrs. (Night),Railway Accidents - 0600 hrs to 0900 hrs (Day),Railway Accidents - 0900 hrs to 1200 hrs (Day),Railway Accidents - 1200 hrs to 1500 hrs (Day),Railway Accidents - 1500 hrs to 1800 hrs (Day),Railway Accidents - 1800 hrs to 2100 hrs (Night),Railway Accidents - 2100 hrs. to 2400 hrs (Night),Railway Accidents - Total,Total (Traffic Accidents) - 0000 hrs to 0300 hrs. (Night),Total (Traffic Accidents) - 0300 hrs to 0600 hrs. (Night),Total (Traffic Accidents) - 0600 hrs to 0900 hrs (Day),Total (Traffic Accidents) - 0900 hrs to 1200 hrs (Day),Total (Traffic Accidents) - 1200 hrs to 1500 hrs (Day),Total (Traffic Accidents) - 1500 hrs to 1800 hrs (Day),Total (Traffic Accidents) - 1800 hrs to 2100 hrs (Night),Total (Traffic Accidents) - 2100 hrs. to 2400 hrs (Night),Total (Traffic Accidents) - Total
1,State,Andhra Pradesh,1320,1636,2695,3225,3599,3817,3883,2281,22456,0,0,0,0,0,0,0,0,0,92,125,278,290,157,123,146,151,1362,1412,1761,2973,3515,3756,3940,4029,2432,23818
2,State,Arunachal Pradesh,1,3,7,22,23,31,34,6,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,22,23,31,34,6,127
3,State,Assam,441,537,864,1226,1030,1131,919,657,6805,0,0,0,0,0,0,0,0,0,50,59,81,86,84,82,63,61,566,491,596,945,1312,1114,1213,982,718,7371
4,State,Bihar,430,841,1545,1776,1283,1398,1103,479,8855,57,24,22,25,24,12,51,24,239,320,376,153,106,271,61,127,115,1529,807,1241,1720,1907,1578,1471,1281,618,10623
5,State,Chhattisgarh,644,1138,1701,2047,2233,2402,2385,1013,13563,0,0,2,1,0,1,1,1,6,41,43,61,67,53,49,53,49,416,685,1181,1764,2115,2286,2452,2439,1063,13985
6,State,Goa,284,227,337,561,617,753,685,456,3920,0,0,0,0,0,0,0,0,0,6,5,10,5,3,7,6,10,52,290,232,347,566,620,760,691,466,3972
7,State,Gujarat,1172,1190,2152,2863,2732,3144,3364,2014,18631,0,0,0,0,0,0,0,0,0,88,98,185,130,104,115,175,123,1018,1260,1288,2337,2993,2836,3259,3539,2137,19649
8,State,Haryana,911,1177,1433,1459,1545,1678,2038,1441,11682,2,4,19,21,7,10,19,11,93,166,189,141,153,120,213,541,477,2000,1079,1370,1593,1633,1672,1901,2598,1929,13775
9,State,Himachal Pradesh,176,164,387,477,413,532,577,385,3111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,164,387,477,413,532,577,385,3111
10,State,Jammu & Kashmir,166,286,533,915,1226,1246,786,285,5443,0,0,0,0,0,0,0,0,0,1,3,21,11,8,9,11,1,65,167,289,554,926,1234,1255,797,286,5508
11,State,Jharkhand,335,373,696,888,816,785,875,430,5198,0,5,0,2,3,0,0,0,10,16,41,76,93,69,74,38,14,421,351,419,772,983,888,859,913,444,5629
12,State,Karnataka,2450,2650,4948,6543,6786,7534,7137,4494,42542,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,6,2450,2651,4948,6543,6786,7536,7139,4495,42548
13,State,Kerala,897,1730,6165,6871,6211,8056,6751,1789,38470,12,32,20,20,15,22,17,17,155,37,54,44,33,27,36,48,39,318,946,1816,6229,6924,6253,8114,6816,1845,38943
14,State,Madhya Pradesh,1962,1748,4626,7831,8683,9085,9410,5245,48590,9,4,21,17,20,23,15,19,128,163,170,186,221,218,201,138,122,1419,2134,1922,4833,8069,8921,9309,9563,5386,50137
15,State,Maharashtra,1874,1999,3012,4265,4370,4806,5034,3463,28823,0,0,0,0,0,0,0,0,0,481,336,843,1090,1012,926,1178,952,6818,2355,2335,3855,5355,5382,5732,6212,4415,35641
16,State,Manipur,4,17,50,99,124,124,117,51,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,50,99,124,124,117,51,586
