Category (Col. 1),State/UT/City (Col. 2),Number of Accidental Deaths - Forces of Nature (Col. 3),Number of Accidental Deaths - Other Causes (Col. 4),Number of Accidental Deaths - Total (Col. 5),Percentage Share in Total Deaths (Col. 6),Projected Mid-Year Population* (in Lakh) (Col. 7),Rate of Accidental Deaths (Col. 8) = (Col.5/ Col.7)
State,ANDHRA PRADESH,257,17681,17938,4.3,523.2,34.3
State,ARUNACHAL PRADESH,7,268,275,0.1,15.1,18.2
State,ASSAM,136,5300,5436,1.3,344.2,15.8
State,BIHAR,1521,13690,15211,3.6,1201.1,12.7
State,CHHATTISGARH,254,19535,19789,4.7,288.5,68.6
State,GOA,3,792,795,0.2,15.4,51.5
State,GUJARAT,140,23770,23910,5.7,682.5,35
State,HARYANA,134,15505,15639,3.7,288.1,54.3
State,HIMACHAL PRADESH,39,3217,3256,0.8,73.2,44.5
State,JAMMU & KASHMIR,63,1388,1451,0.3,135.3,10.7
State,JHARKHAND,556,7147,7703,1.8,375.8,20.5
State,KARNATAKA,169,25282,25451,6,659.7,38.6
State,KERALA,140,13623,13763,3.3,351.9,39.1
State,MADHYA PRADESH,627,41804,42431,10.1,826.1,51.4
State,MAHARASHTRA,573,69756,70329,16.7,1225.3,57.4
State,MANIPUR,5,304,309,0.1,31.1,9.9
State,MEGHALAYA,12,464,476,0.1,32.3,14.7
State,MIZORAM,4,167,171,0,12,14.3
State,NAGALAND,0,63,63,0,21.6,2.9
State,ODISHA,1466,14993,16459,3.9,437.3,37.6
State,PUNJAB,240,10808,11048,2.6,299.4,36.9
State,RAJASTHAN,210,28487,28697,6.8,776,37
State,SIKKIM,6,289,295,0.1,6.7,44.4
State,TAMIL NADU,70,22334,22404,5.3,758.1,29.6
State,TELANGANA,252,11468,11720,2.8,372.8,31.4
State,TRIPURA,20,687,707,0.2,40,17.7
State,UTTAR PRADESH,792,39804,40596,9.6,2259.7,18
State,UTTARAKHAND,68,1818,1886,0.4,111.8,16.9
State,WEST BENGAL,376,15609,15985,3.8,971.1,16.5
State,TOTAL (STATES),8140,406053,414193,98.4,13135.2,31.5
UT,A & NISLANDS,2,196,198,0,4,49.7
UT,CHANDIGARH,2,412,414,0.1,11.8,35
UT,D & N HAVELI,1,123,124,0,5.6,22.3
UT,DAMAN & DIU,0,148,148,0,4.2,35
UT,DELHI (UT),0,4919,4919,1.2,199.4,24.7
UT,LAKSHADWEEP,0,5,5,0,0.7,7.4
UT,PUDUCHERRY,0,1103,1103,0.3,15.2,72.8
UT,TOTAL (UTs),5,6906,6911,1.6,240.8,28.7
TOTAL (ALL INDIA),TOTAL (ALL INDIA),8145,412959,421104,100,13376.1,31.5
City,AGRA,2,459,461,0.8,17.5,26.3
City,AHMEDABAD,5,1831,1836,3,63.5,28.9
City,ALLAHABAD,0,321,321,0.5,12.2,26.3
City,AMRITSAR,66,334,400,0.7,11.8,33.9
City,ASANSOL,0,979,979,1.6,12.4,79
City,AURANGABAD,0,1036,1036,1.7,11.9,87.1
City,BENGALURU,0,4016,4016,6.5,85,47.2
City,BHOPAL,56,684,740,1.2,18.8,39.4
City,CHANDIGARH (CITY),2,412,414,0.7,10.3,40.2
City,CHENNAI,3,1942,1945,3.2,87,22.4
City,COIMBATORE,0,524,524,0.9,21.5,24.4
City,DELHI (CITY),0,4516,4516,7.4,163.2,27.7
City,DHANBAD,10,158,168,0.3,12,14
City,DURG BHILAINAGAR,4,751,755,1.2,10.6,71.2
City,FARIDABAD,17,1158,1175,1.9,14.1,83.3
City,GHAZIABAD,5,483,488,0.8,23.6,20.7
City,GWALIOR,2,312,314,0.5,11,28.5
City,HYDERABAD,5,785,790,1.3,77.5,10.2
City,INDORE,0,1142,1142,1.9,21.7,52.6
City,JABALPUR,6,482,488,0.8,12.7,38.4
City,JAIPUR,0,2628,2628,4.3,30.7,85.6
City,JAMSHEDPUR,10,381,391,0.6,13.4,29.2
City,JODHPUR,0,1113,1113,1.8,11.4,97.6
City,KANNUR,2,224,226,0.4,16.4,13.8
