Si. No. (Col. 1),Category,State/UT/City (Col. 2),Total Number of Accidental Deaths - Forces of Nature (Col. 3),Total Number of Accidental Deaths - Other Causes (Col. 4),Total Number of Accidental Deaths - Total (Col. 5),Percentage Share in Total Deaths (Col. 6),Projected Mid-Year Population (in Lakh) (Col. 7),Rate of Accidental Deaths (Col. 8) = (Col.5/ Col.7)
1,State,Andhra Pradesh,164,14489,14653,3.9,526,27.9
2,State,Arunachal Pradesh,36,318,354,0.1,15.2,23.3
3,State,Assam,50,4863,4913,1.3,347.9,14.1
4,State,Bihar,1437,13037,14474,3.9,1219,11.9
5,State,Chhattisgarh,270,19787,20057,5.4,292.4,68.6
6,State,Goa,3,608,611,0.2,15.5,39.4
7,State,Gujarat,155,20644,20799,5.6,691.7,30.1
8,State,Haryana,74,14775,14849,4,292.1,50.8
9,State,Himachal Pradesh,54,2697,2751,0.7,73.6,37.4
10,State,Jharkhand,475,6415,6890,1.8,381.2,18.1
11,State,Karnataka,137,24261,24398,6.5,665,36.7
12,State,Kerala,78,12903,12981,3.5,353.7,36.7
13,State,Madhya Pradesh,561,39957,40518,10.8,837.6,48.4
14,State,Maharashtra,459,57347,57806,15.4,1236.8,46.7
15,State,Manipur,0,288,288,0.1,31.4,9.2
16,State,Meghalaya,22,469,491,0.1,32.6,15.1
17,State,Mizoram,4,191,195,0.1,12.1,16.1
18,State,Nagaland,12,62,74,0,21.8,3.4
19,State,Odisha,1428,17460,18888,5,454.7,41.5
20,State,Punjab,325,9248,9573,2.6,301.8,31.7
21,State,Rajasthan,127,22257,22384,6,786.1,28.5
22,State,Sikkim,19,280,299,0.1,6.7,44.6
23,State,Tamil Nadu,71,18319,18390,4.9,761.7,24.1
24,State,Telangana,170,11652,11822,3.2,375.4,31.5
25,State,Tripura,10,684,694,0.2,40.4,17.2
26,State,Uttar Pradesh,525,31166,31691,8.5,2289.3,13.8
27,State,Uttarakhand,73,1590,1663,0.4,113.1,14.7
28,State,West Bengal,599,14195,14794,4,977.2,15.1
Total (States),Total (States),Total (States),7338,359962,367300,98.1,13151.8,27.9
