Si. No.,Category,State/UT/City,Rural Area(Near School/College/Educational Institution) - Male,Rural Area(Near School/College/Educational Institution) - Female,Rural Area(Near School/College/Educational Institution) - Transgender,Rural Area(Near School/College/Educational Institution) - Total,Rural Area (Near Residential Area) - Male,Rural Area (Near Residential Area) - Female,Rural Area (Near Residential Area) - Transgender,Rural Area (Near Residential Area) - Total,Rural Area (Near Religious Place) - Male,Rural Area (Near Religious Place) - Female,Rural Area (Near Religious Place) - Transgender,Rural Area (Near Religious Place) - Total,Rural Area (Near Recreation Place/ Cinema Hall) - Male,Rural Area (Near Recreation Place/ Cinema Hall) - Female,Rural Area (Near Recreation Place/ Cinema Hall) - Transgender,Rural Area (Near Recreation Place/ Cinema Hall) - Total,Rural Area (Near Factory) - Male,Rural Area (Near Factory) - Female,Rural Area (Near Factory) - Transgender,Rural Area (Near Factory) - Total,Rural Area (Others) - Male,Rural Area (Others) - Female,Rural Area (Others) - Transgender,Rural Area (Others) - Total,Rural Area (Sub Total) - Male,Rural Area (Sub Total) - Female,Rural Area (Sub Total) - Transgender,Rural Area (Sub Total) - Total,Urban Area (Near School/College/ Educational Institution) - Male,Urban Area (Near School/College/ Educational Institution) - Female,Urban Area (Near School/College/ Educational Institution) - Transgender,Urban Area (Near School/College/ Educational Institution) - Total,Urban Area (Near Residential Area) - Male,Urban Area (Near Residential Area) - Female,Urban Area (Near Residential Area) - Transgender,Urban Area (Near Residential Area) - Total,Urban Area (Near Religious Place) - Male,Urban Area (Near Religious Place) - Female,Urban Area (Near Religious Place) - Transgender,Urban Area (Near Religious Place) - Total,Urban Area (Near Recreation Place/ Cinema Hall) - Male,Urban Area (Near Recreation Place/ Cinema Hall) - Female,Urban Area (Near Recreation Place/ Cinema Hall) - Transgender,Urban Area (Near Recreation Place/ Cinema Hall) - Total,Urban Area (Near Factory/Industrial Area) - Male,Urban Area (Near Factory/Industrial Area) - Female,Urban Area (Near Factory/Industrial Area) - Transgender,Urban Area (Near Factory/Industrial Area) - Total,Urban Area (At Pedestrian Crossing) - Male,Urban Area (At Pedestrian Crossing) - Female,Urban Area (At Pedestrian Crossing) - Transgender,Urban Area (At Pedestrian Crossing) - Total,Urban Area (Others) - Male,Urban Area (Others) - Female,Urban Area (Others) - Transgender,Urban Area (Others) - Total,Urban Area (Sub Total) - Male,Urban Area (Sub Total) - Female,Urban Area (Sub Total) - Transgender,Urban Area (Sub Total) - Total,Grand Total - Male,Grand Total - Female,Grand Total - Transgender,Grand Total - Total
1,State,Andhra Pradesh,236,40,0,276,1142,241,0,1383,134,24,0,158,215,52,0,267,119,33,0,152,2641,396,0,3037,4487,786,0,5273,127,30,0,157,533,135,0,668,40,15,0,55,67,24,0,91,65,9,0,74,56,20,0,76,534,111,0,645,1422,344,0,1766,5909,1130,0,7039
2,State,Arunachal Pradesh,2,0,0,2,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,51,4,0,55,67,4,0,71,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0,9,0,0,9,17,2,0,19,84,6,0,90
3,State,Assam,244,49,0,293,761,114,0,875,112,26,0,138,120,14,0,134,80,8,0,88,20,4,0,24,1337,215,0,1552,185,44,0,229,439,70,0,509,81,16,0,97,195,45,0,240,145,18,0,163,9,2,0,11,10,2,0,12,1064,197,0,1261,2401,412,0,2813
4,State,Bihar,526,77,0,603,1930,337,0,2267,218,44,0,262,93,15,0,108,23,5,0,28,279,64,0,343,3069,542,0,3611,459,103,0,562,1062,253,0,1315,242,57,0,299,374,59,0,433,165,31,0,196,87,11,0,98,150,34,0,184,2539,548,0,3087,5608,1090,0,6698
5,State,Chhattisgarh,125,13,0,138,1056,135,0,1191,50,6,0,56,16,2,0,18,62,6,0,68,1765,216,0,1981,3074,378,0,3452,72,6,0,78,341,63,0,404,31,3,0,34,20,3,0,23,39,11,0,50,46,8,0,54,466,55,0,521,1015,149,0,1164,4089,527,0,4616
6,State,Goa,4,1,0,5,90,9,0,99,11,2,0,13,1,1,0,2,7,2,0,9,40,4,0,44,153,19,0,172,1,0,0,1,18,4,0,22,4,2,0,6,14,2,0,16,1,0,0,1,0,0,0,0,6,0,0,6,44,8,0,52,197,27,0,224
7,State,Gujarat,221,40,0,261,1148,147,0,1295,167,34,0,201,52,11,0,63,352,44,0,396,2181,242,0,2423,4121,518,0,4639,154,27,0,181,464,84,0,548,79,8,0,87,115,15,0,130,208,23,0,231,98,28,0,126,215,43,0,258,1333,228,0,1561,5454,746,0,6200
8,State,Haryana,166,16,0,182,668,66,0,734,94,13,0,107,63,12,0,75,88,11,0,99,1708,145,0,1853,2787,263,0,3050,77,8,0,85,252,31,0,283,37,3,0,40,41,6,0,47,130,19,0,149,121,11,0,132,746,99,0,845,1404,177,0,1581,4191,440,0,4631
9,State,Himachal Pradesh,46,4,0,50,387,63,0,450,43,5,0,48,21,7,0,28,41,9,0,50,22,3,0,25,560,91,0,651,24,3,0,27,112,18,0,130,16,1,0,17,8,2,0,10,17,1,0,18,3,0,0,3,8,0,0,8,188,25,0,213,748,116,0,864
10,State,Jharkhand,212,35,0,247,518,65,0,583,293,30,0,323,331,48,0,379,192,25,0,217,177,30,0,207,1723,233,0,1956,153,20,0,173,320,39,0,359,116,16,0,132,151,32,0,183,106,33,0,139,59,14,0,73,23,6,0,29,928,160,0,1088,2651,393,0,3044
