Si. No.,Category,State/UT/City,Truck/Lorry - Offenders,Truck/Lorry - Victims,Truck/Lorry - Total,Bus - Offenders,Bus - Victims,Bus - Total,SUV/Station Wagon/etc. - Offenders,SUV/Station Wagon/etc. - Victims,SUV/Station Wagon/etc. - Total,Car - Offenders,Car - Victims,Car - Total,Jeep - Offenders,Jeep - Victims,Jeep - Total,Tractor - Offenders,Tractor - Victims,Tractor - Total,Three Wheeler/Auto Rickshaw - Offenders,Three Wheeler/Auto Rickshaw - Victims,Three Wheeler/Auto Rickshaw - Total,Two Wheeler - Offenders,Two Wheeler - Victims,Two Wheeler - Total,Other Motor Vehicles - Offenders,Other Motor Vehicles - Victims,Other Motor Vehicles - Total,Bicycle - Offenders,Bicycle - Victims,Bicycle - Total,Hand Drawn Vehicle/ Cycle Rickshaw - Offenders,Hand Drawn Vehicle/ Cycle Rickshaw - Victims,Hand Drawn Vehicle/ Cycle Rickshaw - Total,Animal Drawn Vehicle - Offenders,Animal Drawn Vehicle - Victims,Animal Drawn Vehicle - Total,Pedestrian - Offenders,Pedestrian - Victims,Pedestrian - Total,Others - Offenders,Others - Victims,Others - Total,Grand Total - Offenders,Grand Total - Victims,Grand Total - Total
1,State,Andhra Pradesh,130,268,398,5,58,63,10,65,75,126,393,519,5,3,8,32,63,95,132,427,559,1713,2001,3714,48,49,97,34,103,137,3,3,6,4,4,8,34,1238,1272,25,63,88,2301,4738,7039
2,State,Arunachal Pradesh,26,3,29,0,0,0,7,0,7,15,6,21,0,0,0,1,0,1,0,0,0,23,4,27,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,76,14,90
3,State,Assam,148,104,252,54,66,120,50,45,95,283,211,494,15,16,31,2,29,31,23,84,107,732,709,1441,3,2,5,89,62,151,28,0,28,0,1,1,21,36,57,0,0,0,1448,1365,2813
4,State,Bihar,271,627,898,118,284,402,121,246,367,174,455,629,82,21,103,72,171,243,192,460,652,1239,1591,2830,15,14,29,81,47,128,2,13,15,0,19,19,67,284,351,4,28,32,2438,4260,6698
5,State,Chhattisgarh,171,184,355,26,27,53,54,92,146,126,192,318,3,6,9,49,127,176,14,33,47,1573,1121,2694,46,179,225,57,94,151,0,0,0,2,0,2,13,388,401,21,18,39,2155,2461,4616
6,State,Goa,0,7,7,0,0,0,0,0,0,7,10,17,0,1,1,0,0,0,1,0,1,82,81,163,2,1,3,0,2,2,0,0,0,0,0,0,1,29,30,0,0,0,93,131,224
7,State,Gujarat,194,484,678,19,84,103,48,102,150,277,658,935,42,97,139,17,58,75,99,260,359,1276,1504,2780,7,23,30,19,69,88,0,12,12,0,0,0,7,817,824,3,24,27,2008,4192,6200
8,State,Haryana,82,480,562,13,72,85,20,111,131,137,591,728,19,36,55,29,116,145,19,44,63,596,761,1357,49,238,287,19,28,47,0,1,1,1,22,23,379,315,694,56,397,453,1419,3212,4631
9,State,Himachal Pradesh,48,78,126,11,10,21,3,9,12,203,120,323,42,40,82,19,13,32,0,4,4,166,65,231,2,6,8,0,1,1,0,0,0,0,0,0,0,24,24,0,0,0,494,370,864
10,State,Jharkhand,160,141,301,53,57,110,72,27,99,214,163,377,52,51,103,23,14,37,40,82,122,1079,657,1736,11,6,17,41,9,50,20,0,20,0,6,6,15,37,52,4,10,14,1784,1260,3044
