Category,Cause,No. of Cases,Persons Injured - Male,Persons Injured - Female,Persons Injured - Transgender,Persons Injured - Total,Persons Died - Male,Persons Died - Female,Persons Died - Transgender,Persons Died - Total,Percentage Share (Cases)
Rural Area,Near School/College/Educational institution,15514,11916,2979,0,14895,5253,953,0,6206,3.8
Rural Area,Near Residential Area,72333,55753,12693,0,68446,23799,3646,0,27445,17.9
Rural Area,Near Religious Place,10957,8269,2122,0,10391,3561,653,0,4214,2.7
Rural Area,Near Recreation Place/Cinema Hall,11441,9664,2301,0,11965,3606,578,0,4184,2.8
Rural Area,Near Factory,10806,8491,1978,0,10469,4276,675,0,4951,2.7
Rural Area,Others,119696,94282,20673,0,114955,44396,6178,2,50576,29.7
Rural Area,Sub Total (Rural),240747,188375,42746,0,231121,84891,12683,2,97576,59.7
Urban Area,Near School/College/Educational institution,13359,9618,2463,0,12081,4045,781,0,4826,3.3
Urban Area,Near Residential Area,48270,33833,8001,0,41834,14275,2191,0,16466,12
Urban Area,Near Religious Place,8705,6306,1585,0,7891,2592,553,0,3145,2.2
Urban Area,Near Recreation Place/Cinema Hall,14056,10264,2470,2,12736,3506,507,1,4014,3.5
Urban Area,Near Factory/Industrial area,12176,8359,1985,0,10344,4163,614,0,4777,3
Urban Area,At Pedestrian Crossing,12528,7208,2066,0,9274,4997,1422,0,6419,3.1
Urban Area,Others,53275,37018,9582,3,46603,15905,2492,2,18399,13.2
Urban Area,Sub Total (Urban),162369,112606,28152,5,140763,49483,8560,3,58046,40.3
Urban Area,Grand Total,403116,300981,70898,5,371884,134374,21243,5,155622,100
