Sl. No.,Mode of Transport,Number of Persons Travelling in the Involved Mode of Transport - Injured,Number of Persons Travelling in the Involved Mode of Transport - died,Percentage Share of Injured,Percentage Share of Deaths
1.1,Truck/Lorry/Mini Truck,25515,14622,6.9,9.4
1.2,Bus,14492,4622,3.9,3
1.3,SUV / Car / Jeep / etc.,67159,23531,18.1,15.1
1.4,Tractor,5652,3899,1.5,2.5
1.5,Three Wheeler/Auto Rickshaw (Total),22295,7685,6,4.9
1.5,1.5.1 Passenger Carriers,19201,5757,5.2,3.7
1.5,1.5.2 Good Carriers,3094,1928,0.8,1.2
1.6,Two Wheeler,174772,69240,47,44.5
1.7,Other Motor Vehicles,10769,5001,2.9,3.2
Total (Motorized Transport),Total (Motorized Transport),320654,128600,86.2,82.6
2.1,Bicycle,5641,3006,1.5,1.9
2.2,Hand Drawn Vehicle/Cycle Rickshaw,598,255,0.2,0.2
2.3,Animal Drawn Vehicle,381,260,0.1,0.2
2.4,Others,8763,4565,2.4,2.9
2.5,Pedestrian,35847,18936,9.6,12.2
2,Total (Non-Motorized Transport),51230,27022,13.8,17.4
3,Grand Total,371884,155622,100,100
