Category,State/UT/City,Road Accidents - January,Road Accidents - February,Road Accidents - March,Road Accidents - April,Road Accidents - May,Road Accidents - June,Road Accidents - July,Road Accidents - August,Road Accidents - September,Road Accidents - October,Road Accidents - November,Road Accidents - December,Road Accidents - Total,Railway Crossing Accidents - January,Railway Crossing Accidents - February,Railway Crossing Accidents - March,Railway Crossing Accidents - April,Railway Crossing Accidents - May,Railway Crossing Accidents - June,Railway Crossing Accidents - July,Railway Crossing Accidents - August,Railway Crossing Accidents - September,Railway Crossing Accidents - October,Railway Crossing Accidents - November,Railway Crossing Accidents - December,Railway Crossing Accidents - Total,Railway Accidents - January,Railway Accidents - February,Railway Accidents - March,Railway Accidents - April,Railway Accidents - May,Railway Accidents - June,Railway Accidents - July,Railway Accidents - August,Railway Accidents - September,Railway Accidents - October,Railway Accidents - November,Railway Accidents - December,Railway Accidents - Total,Total Traffic Accidents - January,Total Traffic Accidents - February,Total Traffic Accidents - March,Total Traffic Accidents - April,Total Traffic Accidents - May,Total Traffic Accidents - June,Total Traffic Accidents - July,Total Traffic Accidents - August,Total Traffic Accidents - September,Total Traffic Accidents - October,Total Traffic Accidents - November,Total Traffic Accidents - December,Total Traffic Accidents - Total
State,Andhra Pradesh,2120,1845,1906,1703,1233,1594,1792,1968,1815,1924,1649,2007,21556,0,0,0,0,0,0,0,0,0,0,0,0,0,46,42,58,47,49,54,63,90,92,85,49,80,755,2166,1887,1964,1750,1282,1648,1855,2058,1907,2009,1698,2087,22311
State,Arunachal Pradesh,24,29,19,24,14,15,14,20,25,27,19,31,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,29,19,24,14,15,14,20,25,27,19,31,261
State,Assam,687,757,709,648,488,393,426,520,526,605,665,645,7069,1,0,0,0,0,1,0,0,0,0,1,0,3,37,33,49,42,35,38,39,32,45,42,31,36,459,725,790,758,690,523,432,465,552,571,647,697,681,7531
State,Bihar,848,888,839,835,795,811,724,689,732,752,817,823,9553,15,16,10,12,14,15,13,9,19,18,10,12,163,101,86,100,101,112,83,73,88,109,119,98,77,1147,964,990,949,948,921,909,810,786,860,889,925,912,10863
State,Chhattisgarh,1493,1319,1246,589,523,929,1052,1090,1005,1057,1068,1024,12395,0,0,0,0,0,0,0,0,0,0,0,0,0,30,29,36,21,25,39,50,34,40,39,44,25,412,1523,1348,1282,610,548,968,1102,1124,1045,1096,1112,1049,12807
State,Goa,301,235,285,210,131,169,199,212,227,252,287,342,2850,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,6,2,6,7,0,6,3,4,4,49,306,236,290,216,133,175,206,212,233,255,291,346,2899
State,Gujarat,1459,1308,1446,1005,990,1232,1198,1271,1159,1343,1379,1410,15200,0,0,0,0,0,0,0,0,0,0,0,0,0,33,50,43,39,36,47,54,47,51,56,62,53,571,1492,1358,1489,1044,1026,1279,1252,1318,1210,1399,1441,1463,15771
State,Haryana,810,830,949,876,515,787,812,779,802,1018,949,922,10049,5,11,8,10,13,17,15,18,12,21,17,13,160,57,63,60,54,45,69,89,103,75,66,67,58,806,872,904,1017,940,573,873,916,900,889,1105,1033,993,11015
State,Himachal Pradesh,209,175,197,205,107,173,213,221,196,254,240,218,2408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,175,197,205,107,173,213,221,196,254,240,218,2408
State,Jharkhand,430,445,383,352,341,371,365,394,365,415,419,448,4728,2,8,7,15,10,8,14,6,13,6,15,13,117,27,18,24,18,29,27,22,25,24,29,20,21,284,459,471,414,385,380,406,401,425,402,450,454,482,5129
State,Karnataka,3602,3177,3512,2898,1537,2072,2584,2859,2875,2966,3122,3443,34647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3602,3177,3512,2898,1537,2072,2584,2859,2875,2966,3122,3443,34647
State,Kerala,3562,3324,3431,3095,1041,1502,2097,2421,2616,2894,3104,3672,32759,16,10,13,9,7,10,5,8,10,8,12,13,121,14,11,17,21,4,9,8,17,17,19,19,15,171,3592,3345,3461,3125,1052,1521,2110,2446,2643,2921,3135,3700,33051
State,Madhya Pradesh,5145,4380,4393,2971,2639,4046,3998,3758,3646,4387,4747,4109,48219,15,22,12,23,18,16,17,19,12,15,13,14,196,101,83,113,83,94,90,69,78,118,78,80,91,1078,5261,4485,4518,3077,2751,4152,4084,3855,3776,4480,4840,4214,49493
State,Maharashtra,2650,2505,2479,1636,1683,2037,2081,2051,2011,2320,2429,2716,26598,0,0,0,0,0,0,0,0,0,0,0,0,0,260,252,351,252,228,255,313,292,283,327,337,338,3488,2910,2757,2830,1888,1911,2292,2394,2343,2294,2647,2766,3054,30086
State,Manipur,33,30,51,36,9,18,16,29,29,25,43,47,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,30,51,36,9,18,16,29,29,25,43,47,366
State,Meghalaya,19,21,27,22,19,17,12,16,25,23,21,22,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,27,22,19,17,12,16,25,23,21,22,244
State,Mizoram,6,5,7,8,3,8,3,6,2,4,5,7,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,8,3,8,3,6,2,4,5,7,64
State,Nagaland,3,4,5,4,1,1,1,3,2,0,1,0,25,0,1,1,1,1,2,0,1,0,1,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,5,2,3,1,4,2,1,1,1,34
State,Odisha,1100,1030,1098,864,655,824,838,804,830,893,950,1097,10983,0,0,0,0,0,0,0,0,0,0,0,0,0,22,24,34,21,23,28,26,25,25,25,26,27,306,1122,1054,1132,885,678,852,864,829,855,918,976,1124,11289
State,Punjab,454,479,514,497,404,438,503,527,513,603,608,557,6097,1,0,0,0,0,0,0,0,0,0,0,0,1,33,31,48,40,33,38,61,74,70,73,71,43,615,488,510,562,537,437,476,564,601,583,676,679,600,6713
State,Rajasthan,2143,1907,1986,1683,993,1400,1686,1784,1701,1875,2021,1775,20954,0,0,0,0,0,0,0,0,0,0,0,0,0,41,49,48,52,39,48,72,75,67,59,66,53,669,2184,1956,2034,1735,1032,1448,1758,1859,1768,1934,2087,1828,21623
State,Sikkim,9,17,11,16,11,5,9,11,7,10,11,5,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,11,16,11,5,9,11,7,10,11,5,122
State,Tamil Nadu,5322,5300,5543,4628,2384,3291,4592,4977,4941,4899,4742,5063,55682,0,0,0,0,0,0,0,0,0,1,0,0,1,124,102,113,103,78,75,132,137,126,136,120,161,1407,5446,5402,5656,4731,2462,3366,4724,5114,5067,5036,4862,5224,57090
State,Telangana,2068,1821,1849,1578,1346,1605,1662,1869,1662,1948,1874,2033,21315,0,0,0,0,0,0,0,0,0,0,0,0,0,30,25,41,23,19,36,27,39,43,44,41,40,408,2098,1846,1890,1601,1365,1641,1689,1908,1705,1992,1915,2073,21723
State,Tripura,46,35,60,47,27,25,30,41,37,36,39,55,478,3,2,4,3,1,1,0,4,2,4,5,4,33,0,1,0,1,0,0,0,2,0,0,0,0,4,49,38,64,51,28,26,30,47,39,40,44,59,515
State,Uttar Pradesh,3524,2892,2930,2357,2466,2606,2742,2657,2580,2640,3024,3293,33711,65,47,59,35,32,69,36,35,30,58,54,55,575,176,161,184,180,209,180,201,178,193,199,186,176,2223,3765,3100,3173,2572,2707,2855,2979,2870,2803,2897,3264,3524,36509
State,Uttarakhand,143,129,149,92,60,84,117,102,133,111,156,129,1405,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,2,1,2,1,1,0,2,4,4,25,146,133,150,94,61,86,118,103,133,113,160,133,1430
State,West Bengal,1142,1022,1044,878,722,808,937,968,924,987,1016,1053,11501,13,12,17,18,11,6,13,18,13,19,11,13,164,229,209,259,263,131,138,168,205,192,237,193,201,2425,1384,1243,1320,1159,864,952,1118,1191,1129,1243,1220,1267,14090
State,Total (States),39352,35909,37068,29757,21137,27261,30703,32047,31386,34268,35405,36946,391239,136,129,131,126,107,145,113,118,111,151,138,138,1543,1369,1274,1584,1369,1192,1262,1475,1542,1576,1638,1518,1503,17302,40857,37312,38783,31252,22436,28668,32291,33707,33073,36057,37061,38587,410084
UT,Andaman and Nicobar Islands,14,9,13,11,6,3,13,10,10,3,11,14,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,13,11,6,3,13,10,10,3,11,14,117
UT,Chandigarh,20,16,23,15,11,13,19,18,19,16,15,23,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,23,15,11,13,19,18,19,16,15,23,208
UT,Dadra and Nagar Haveli and Daman and Diu,14,15,16,7,7,6,9,9,16,11,7,23,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,16,7,7,6,9,9,16,11,7,23,140
UT,Delhi,395,374,481,307,243,368,365,432,405,423,442,485,4720,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,53,42,32,44,74,69,65,88,64,62,676,431,421,534,349,275,412,439,501,470,511,506,547,5396
UT,Jammu and Kashmir,340,380,475,444,375,462,518,495,504,482,512,415,5402,1,2,0,0,0,0,0,1,0,1,1,1,7,1,2,0,1,1,1,3,1,1,3,1,0,15,342,384,475,445,376,463,521,497,505,486,514,416,5424
