Category,State/UT/City,National Highways - Cases,National Highways - Injured,National Highways - Died,State Highways - Cases,State Highways - Injured,State Highways - Died,Expressways - Cases,Expressways - Injured,Expressways - Died,Other Roads - Cases,Other Roads - Injured,Other Roads - Died,Total - Cases,Total - Injured,Total - Died
State,Andhra Pradesh,8241,8323,3602,4704,4786,1904,0,0,0,8611,7931,2680,21556,21040,8186
State,Arunachal Pradesh,110,112,59,65,77,56,0,0,0,86,77,58,261,266,173
State,Assam,3197,2560,1586,1913,1516,724,0,0,0,1959,1344,704,7069,5420,3014
State,Bihar,4348,3536,3493,2116,1928,1777,0,0,0,3089,2482,2390,9553,7946,7660
State,Chhattisgarh,3658,2885,1665,2189,2083,1092,0,0,0,6548,5714,2656,12395,10682,5413
State,Goa,1069,272,93,366,110,32,0,0,0,1415,474,101,2850,856,226
State,Gujarat,3376,2687,2017,4420,4201,2543,44,31,33,7360,6803,2864,15200,13722,7457
State,Haryana,3525,2855,1846,1612,1257,885,158,99,126,4754,3761,2126,10049,7972,4983
State,Himachal Pradesh,1075,1467,388,399,557,137,0,0,0,934,1421,507,2408,3445,1032
State,Jharkhand,1263,1038,1106,1364,775,1060,0,0,0,2101,1414,1347,4728,3227,3513
State,Karnataka,11482,13367,3490,8812,11534,2758,0,0,0,14353,15853,3790,34647,40754,10038
State,Kerala,7806,8716,1021,8103,9217,877,0,0,0,16850,18581,1531,32759,36514,3429
State,Madhya Pradesh,10233,9922,3287,11155,11332,3088,0,0,0,26831,25863,6105,48219,47117,12480
State,Maharashtra,6976,5330,3996,6885,5439,3807,199,130,87,12538,8777,6021,26598,19676,13911
State,Manipur,236,322,76,75,99,21,0,0,0,55,83,13,366,504,110
State,Meghalaya,141,161,118,47,41,32,0,0,0,56,61,37,244,263,187
State,Mizoram,24,10,23,29,11,30,0,0,0,11,7,11,64,28,64
State,Nagaland,12,5,10,11,29,11,0,0,0,2,1,2,25,35,23
State,Odisha,4038,3533,1888,2338,2157,1070,47,24,32,4560,4068,2091,10983,9782,5081
State,Punjab,1898,970,1545,2015,995,1445,107,64,43,2077,1005,1483,6097,3034,4516
State,Rajasthan,6378,5884,3653,3666,3455,1912,29,12,18,10881,10006,4460,20954,19357,10043
State,Sikkim,47,45,23,46,71,20,0,0,0,29,62,21,122,178,64
State,Tamil Nadu,17074,17377,5360,18560,18835,5067,7,7,2,20041,19777,4955,55682,55996,15384
State,Telangana,7200,6911,2732,2192,2075,864,14,16,3,11909,11105,3958,21315,20107,7557
State,Tripura,199,207,94,171,243,61,0,0,0,108,96,39,478,546,194
State,Uttar Pradesh,11168,6150,7212,9170,5402,5891,1157,749,965,12216,7512,7724,33711,19813,21792
State,Uttarakhand,565,460,345,224,232,172,0,0,0,616,435,307,1405,1127,824
State,West Bengal,3633,3232,2111,2412,2096,1400,127,79,41,5329,4389,2279,11501,9796,5831
State,Total (States),118972,108337,52839,95059,90553,38736,1889,1211,1350,175319,159102,60260,391239,359203,153185
UT,Andaman and Nicobar Islands,42,44,6,31,25,4,0,0,0,44,28,12,117,97,22
UT,Chandigarh,29,21,21,0,0,0,0,0,0,179,151,75,208,172,96
UT,Dadra and Nagar Haveli and Daman and Diu,0,0,0,69,78,37,0,0,0,71,93,39,140,171,76
UT,Delhi,565,361,232,302,198,126,8,3,5,3845,3427,876,4720,3989,1239
UT,Jammu and Kashmir,1905,2370,367,757,1102,94,2,0,1,2738,3384,342,5402,6856,804
UT,Ladakh,126,166,30,88,93,26,0,0,0,23,32,0,237,291,56
UT,Lakshadweep,0,0,0,0,0,0,0,0,0,4,6,1,4,6,1
UT,Puducherry,565,487,120,145,122,17,0,0,0,339,490,6,1049,1099,143
UT,Total (UTs),3232,3449,776,1392,1618,304,10,3,6,7243,7611,1351,11877,12681,2437
Total (All India),Total (All India),122204,111786,53615,96451,92171,39040,1899,1214,1356,182562,166713,61611,403116,371884,155622
City,Agra,60,7,64,14,15,14,0,0,0,86,31,88,160,53,166
City,Ahmedabad,143,67,58,0,0,0,3,0,3,1287,996,342,1433,1063,403
City,Allahabad,124,88,62,153,123,84,0,0,0,317,195,118,594,406,264
City,Amritsar,29,9,3,0,0,0,0,0,0,69,39,62,98,48,65
City,Asansol,144,55,142,34,4,45,0,0,0,107,13,113,285,72,300
City,Aurangabad,28,20,26,66,60,34,0,0,0,384,286,141,478,366,201
City,Bengaluru,518,507,117,245,228,57,0,0,0,2450,2085,480,3213,2820,654
City,Bhopal,53,53,8,331,331,10,0,0,0,1507,1194,86,1891,1578,104
City,Chandigarh (City),29,21,21,0,0,0,0,0,0,179,151,75,208,172,96
City,Chennai,721,720,193,467,467,88,7,7,2,3839,3826,715,5034,5020,998
City,Coimbatore,280,221,83,257,210,68,0,0,0,329,256,83,866,687,234
City,Delhi (City),565,361,232,302,198,126,8,3,5,3630,3265,809,4505,3827,1172
City,Dhanbad,107,55,73,52,40,38,0,0,0,28,13,12,187,108,123
City,Durg Bhilainagar,152,100,40,69,38,22,0,0,0,404,375,33,625,513,95
City,Faridabad,119,97,61,0,0,0,16,5,15,403,321,168,538,423,244
City,Ghaziabad,142,111,47,37,15,25,69,50,24,48,43,33,296,219,129
City,Gwalior,240,193,71,0,0,0,0,0,0,794,717,94,1034,910,165
City,Hyderabad,304,294,51,125,113,24,0,0,0,1844,1744,222,2273,2151,297
City,Indore,385,343,47,601,454,44,0,0,0,1632,1418,182,2618,2215,273
City,Jabalpur,612,514,53,646,523,80,0,0,0,544,915,90,1802,1952,223
City,Jaipur,581,450,254,111,112,37,29,12,18,1445,1217,316,2166,1791,625
City,Jamshedpur,18,13,10,30,39,15,0,0,0,104,82,40,152,134,65
City,Jodhpur,163,113,88,47,36,14,0,0,0,385,272,134,595,421,236
City,Kannur,248,270,31,245,423,33,0,0,0,617,634,58,1110,1327,122
City,Kanpur,237,104,237,205,114,205,0,0,0,151,81,151,593,299,593
City,Kochi,374,334,67,291,296,36,0,0,0,1116,1128,38,1781,1758,141
City,Kolkata,14,0,16,24,9,15,0,0,0,1481,1316,180,1519,1325,211
City,Kollam,760,762,97,0,0,0,0,0,0,792,885,87,1552,1647,184
City,Kota,37,30,19,5,9,4,0,0,0,326,328,52,368,367,75
City,Kozhikode,458,453,67,211,214,17,0,0,0,708,724,47,1377,1391,131
City,Lucknow,355,176,181,176,110,85,63,45,30,469,324,163,1063,655,459
City,Ludhiana,168,53,140,43,11,42,0,0,0,267,105,198,478,169,380
City,Madurai,41,32,13,359,306,91,0,0,0,218,168,50,618,506,154
City,Malappuram,238,286,24,163,163,29,0,0,0,285,308,42,686,757,95
City,Meerut,181,116,77,2,2,0,7,7,11,158,113,53,348,238,141
City,Mumbai,25,0,25,4,0,4,0,0,0,464,22,443,493,22,472
City,Nagpur,161,114,87,167,121,43,0,0,0,696,562,150,1024,797,280
City,Nasik,0,0,0,13,8,14,0,0,0,129,14,128,142,22,142
City,Patna,114,113,106,213,45,41,0,0,0,57,127,63,384,285,210
City,Pune,50,16,44,52,9,50,0,0,0,202,69,130,304,94,224
