Sl. No.,State/UT/Cities,Rural Area (Near School/College/Educational Institution) - Male,Rural Area (Near School/College/Educational Institution) - Female,Rural Area (Near School/College/Educational Institution) - Transgender,Rural Area (Near School/College/Educational Institution) - Total,Rural Area(Near Residential Area) - Male,Rural Area(Near Residential Area) - Female,Rural Area(Near Residential Area) - Transgender,Rural Area(Near Residential Area) - Total,Rural Area (Near Religious Place) - Male,Rural Area (Near Religious Place) - Female,Rural Area (Near Religious Place) - Transgender,Rural Area (Near Religious Place) - Total,Rural Area (Near Recreation Place/ Cinema Hall) - Male,Rural Area (Near Recreation Place/ Cinema Hall) - Female,Rural Area (Near Recreation Place/ Cinema Hall) - Transgender,Rural Area (Near Recreation Place/ Cinema Hall) - Total,Rural Area (Near Factory) - Male,Rural Area (Near Factory) - Female,Rural Area (Near Factory) - Transgender,Rural Area (Near Factory) - Total,Rural Area (Others) - Male,Rural Area (Others) - Female,Rural Area (Others) - Transgender,Rural Area (Others) - Total,Rural Area (Sub Total) - Male,Rural Area (Sub Total) - Female,Rural Area (Sub Total) - Transgender,Rural Area (Sub Total) - Total,Urban Area (Near School/College/Educational Institution) - Male,Urban Area (Near School/College/Educational Institution) - Female,Urban Area (Near School/College/Educational Institution) - Transgender,Urban Area (Near School/College/Educational Institution) - Total,Urban Area (Near Residential Area) - Male,Urban Area (Near Residential Area) - Female,Urban Area (Near Residential Area) - Transgender,Urban Area (Near Residential Area) - Total,Urban Area (Near Religious Place) - Male,Urban Area (Near Religious Place) - Female,Urban Area (Near Religious Place) - Transgender,Urban Area (Near Religious Place) - Total,Urban Area (Near Recreation Place/Cinema Hall) - Male,Urban Area (Near Recreation Place/Cinema Hall) - Female,Urban Area (Near Recreation Place/Cinema Hall) - Transgender,Urban Area (Near Recreation Place/Cinema Hall) - Total,Urban Area (Near Factory/Industrial Area) - Male,Urban Area (Near Factory/Industrial Area) - Female,Urban Area (Near Factory/Industrial Area) - Transgender,Urban Area (Near Factory/Industrial Area) - Total,Urban Area (At Pedestrian Crossing) - Male,Urban Area (At Pedestrian Crossing) - Female,Urban Area (At Pedestrian Crossing) - Transgender,Urban Area (At Pedestrian Crossing) - Total,Urban Area (Others) - Male,Urban Area (Others) - Female,Urban Area (Others) - Transgender,Urban Area (Others) - Total,Urban Area (Sub Total) - Male,Urban Area (Sub Total) - Female,Urban Area (Sub Total) - Transgender,Urban Area (Sub Total) - Total,Grand Total - Male,Grand Total - Female,Grand Total - Transgender,Grand Total - Total
1,Andhra Pradesh,298,73,0,371,1583,330,0,1913,177,38,0,215,239,59,0,298,128,33,0,161,2901,341,1,3243,5326,874,1,6201,100,16,0,116,549,108,0,657,78,11,0,89,127,24,0,151,45,14,0,59,79,22,0,101,804,114,1,919,1782,309,1,2092,7108,1183,2,8293
2,Arunachal Pradesh,0,0,0,0,10,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,54,5,0,59,64,6,0,70,8,0,0,8,16,3,0,19,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,50,3,0,53,76,6,0,82,140,12,0,152
3,Assam,291,50,0,341,731,95,0,826,153,23,0,176,37,4,0,41,101,15,0,116,35,2,0,37,1348,189,0,1537,241,59,0,300,427,73,0,500,72,18,0,90,130,11,0,141,249,27,0,276,143,30,0,173,38,5,0,43,1300,223,0,1523,2648,412,0,3060
4,Bihar,283,57,0,340,1058,216,0,1274,1791,467,0,2258,1321,222,0,1543,35,7,0,42,281,35,0,316,4769,1004,0,5773,148,35,0,183,491,133,0,624,536,201,0,737,572,166,0,738,119,32,0,151,515,141,0,656,33,3,0,36,2414,711,0,3125,7183,1715,0,8898
5,Chhattisgarh,168,17,0,185,1036,130,0,1166,70,12,0,82,52,4,0,56,73,21,0,94,2631,333,0,2964,4030,517,0,4547,105,16,0,121,413,56,0,469,70,17,0,87,17,2,0,19,36,6,0,42,128,21,0,149,400,56,0,456,1169,174,0,1343,5199,691,0,5890
6,Goa,12,2,0,14,118,26,0,144,10,0,0,10,6,0,0,6,10,1,0,11,34,4,0,38,190,33,0,223,7,1,0,8,17,4,0,21,1,0,0,1,4,1,0,5,2,0,0,2,0,0,0,0,12,2,0,14,43,8,0,51,233,41,0,274
7,Gujarat,130,26,0,156,939,125,0,1064,63,33,0,96,22,4,0,26,328,33,0,361,3145,456,0,3601,4627,677,0,5304,122,30,0,152,612,115,0,727,52,16,0,68,63,9,0,72,252,31,0,283,232,52,0,284,667,77,0,744,2000,330,0,2330,6627,1007,0,7634
8,Haryana,193,30,0,223,527,61,0,588,153,26,0,179,56,8,0,64,149,16,0,165,1644,177,0,1821,2722,318,0,3040,103,21,0,124,381,43,0,424,70,10,0,80,57,8,0,65,209,29,0,238,116,22,0,138,1011,108,0,1119,1947,241,0,2188,4669,559,0,5228
9,Himachal Pradesh,37,3,0,40,383,63,0,446,31,5,0,36,31,7,0,38,50,8,0,58,22,1,0,23,554,87,0,641,5,3,0,8,219,31,0,250,12,2,0,14,11,0,0,11,20,3,0,23,26,6,0,32,0,0,0,0,293,45,0,338,847,132,0,979
10,Jharkhand,304,39,0,343,670,77,0,747,476,49,0,525,630,60,0,690,393,28,0,421,148,5,0,153,2621,258,0,2879,115,43,0,158,231,47,0,278,141,24,0,165,140,18,0,158,150,14,0,164,69,12,0,81,14,1,0,15,860,159,0,1019,3481,417,0,3898
11,Karnataka,269,32,0,301,767,116,0,883,180,36,0,216,146,34,0,180,147,33,0,180,5596,624,0,6220,7105,875,0,7980,249,54,0,303,564,83,0,647,81,17,0,98,123,18,0,141,135,19,0,154,356,88,0,444,1654,284,0,1938,3162,563,0,3725,10267,1438,0,11705
12,Kerala,233,36,0,269,1420,259,0,1679,200,42,0,242,68,14,0,82,62,8,0,70,614,74,0,688,2597,433,0,3030,172,28,0,200,466,84,0,550,93,17,0,110,89,14,0,103,71,12,0,83,75,22,0,97,124,20,0,144,1090,197,0,1287,3687,630,0,4317
13,Madhya Pradesh,277,61,0,338,2730,393,0,3123,262,78,0,340,183,27,0,210,263,49,0,312,4001,598,0,4599,7716,1206,0,8922,245,64,0,309,1228,297,0,1525,253,55,0,308,203,28,0,231,294,65,0,359,450,80,0,530,1505,229,0,1734,4178,818,0,4996,11894,2024,0,13918
