Sl. No.,State/UT/Cities,Truck/Lorry/Mini Truck - Injured,Truck/Lorry/Mini Truck - Died,Bus - Injured,Bus - Died,SUV / Car / Jeep / etc. - Injured,SUV / Car / Jeep / etc. - Died,Tractor - Injured,Tractor - Died,Three Wheeler/Auto Rickshaw - Injured,Three Wheeler/Auto Rickshaw - Died,Two Wheeler - Injured,Two Wheeler - Died,Other Motor Vehicles - Injured,Other Motor Vehicles - Died,Bicycle - Injured,Bicycle - Died,Hand Drawn Vehicle/Cycle Rickshaw - Injured,Hand Drawn Vehicle/Cycle Rickshaw - Died,Animal Drawn Vehicle - Injured,Animal Drawn Vehicle - Died,Others - Injured,Others - Died,Pedestrian - Injured,Pedestrian - Died,Grand Total - Injured,Grand Total - Died
1,Andhra Pradesh,1218,659,647,221,2716,847,210,89,2821,621,9847,3709,650,269,295,153,12,3,18,7,225,117,2681,1598,21340,8293
2,Arunachal Pradesh,49,59,10,1,62,37,1,5,0,0,40,41,6,2,0,0,0,0,0,0,3,3,6,4,177,152
3,Assam,423,213,399,168,1148,537,28,19,521,172,2022,1189,93,81,232,142,23,0,0,0,64,28,726,511,5679,3060
4,Bihar,223,213,165,106,711,556,427,473,687,545,2607,3035,2,22,392,524,18,26,0,1,39,52,1797,3345,7068,8898
5,Chhattisgarh,619,408,365,76,1872,455,296,160,238,40,5810,3606,359,287,299,138,19,5,0,1,745,216,837,498,11459,5890
6,Goa,28,4,40,3,178,26,0,1,4,0,731,180,2,0,9,3,0,0,0,0,0,3,79,54,1071,274
7,Gujarat,1065,569,765,99,3182,1236,115,64,1272,411,6948,3754,9,3,177,124,9,7,19,2,0,0,1578,1365,15139,7634
8,Haryana,486,277,232,103,1398,660,119,53,292,153,3420,2182,513,366,120,114,6,3,14,12,90,141,1663,1164,8353,5228
9,Himachal Pradesh,414,121,460,41,1794,473,44,21,29,17,935,240,59,7,6,6,0,0,0,0,10,11,140,42,3891,979
10,Jharkhand,218,276,230,102,527,473,29,40,667,660,1801,1929,14,42,85,150,63,95,52,47,0,1,61,83,3747,3898
11,Karnataka,3257,747,2890,297,9132,1545,487,113,2619,408,21419,5742,1126,308,353,84,0,0,71,13,1234,375,5566,2073,48154,11705
12,Kerala,1598,245,2394,160,8091,586,20,14,3939,280,24897,2042,703,59,773,80,0,1,0,1,115,15,6787,834,49317,4317
13,Madhya Pradesh,3601,1336,2373,380,7679,2064,1166,482,2592,598,26520,6669,785,256,425,126,56,12,20,0,1226,503,4821,1492,51264,13918
14,Maharashtra,2213,1651,1472,320,4818,2305,481,302,1257,630,11243,8199,297,294,176,127,13,7,7,6,74,143,1827,1764,23878,15748
15,Manipur,40,13,42,11,162,19,0,0,55,4,406,38,4,0,23,7,0,0,0,0,10,5,75,30,817,127
16,Meghalaya,66,28,37,7,119,57,0,1,15,9,59,50,0,1,0,2,0,0,0,0,1,1,13,6,310,162
17,Mizoram,9,26,0,0,14,31,0,1,3,13,2,10,0,1,0,0,0,0,0,1,0,0,0,0,28,83
18,Nagaland,2,8,26,0,12,6,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,42,22
19,Odisha,1067,494,442,134,1605,617,0,0,613,181,3927,2384,257,176,331,199,0,0,0,0,934,510,1093,775,10269,5470
20,Punjab,99,207,109,57,861,1101,32,70,96,149,1663,2099,88,48,112,215,8,11,44,87,19,35,241,609,3372,4688
21,Rajasthan,1986,1215,1302,339,6006,2577,954,561,600,199,8179,4062,1031,607,81,32,3,0,1,1,158,141,1948,1369,22249,11103
22,Sikkim,53,39,55,1,194,40,0,0,0,0,44,8,13,3,1,0,0,0,0,0,1,2,10,5,371,98
23,Tamil Nadu,936,251,3094,213,7912,1051,178,81,2256,267,40186,11140,62,24,1406,421,10,5,6,1,20,3,11637,4427,67703,17884
