Sl. No.,State/UT/Cities,Road Accidents - January,Road Accidents - February,Road Accidents - March,Road Accidents - April,Road Accidents - May,Road Accidents - June,Road Accidents - July,Road Accidents - August,Road Accidents - September,Road Accidents - October,Road Accidents - November,Road Accidents - December,Road Accidents - Total,Railway Crossing Accidents - January,Railway Crossing Accidents - February,Railway Crossing Accidents - March,Railway Crossing Accidents - April,Railway Crossing Accidents - May,Railway Crossing Accidents - June,Railway Crossing Accidents - July,Railway Crossing Accidents - August,Railway Crossing Accidents - September,Railway Crossing Accidents - October,Railway Crossing Accidents - November,Railway Crossing Accidents - December,Railway Crossing Accidents - Total,Railway Accidents - January,Railway Accidents - February,Railway Accidents - March,Railway Accidents - April,Railway Accidents - May,Railway Accidents - June,Railway Accidents - July,Railway Accidents - August,Railway Accidents - September,Railway Accidents - October,Railway Accidents - November,Railway Accidents - December,Railway Accidents - Total,Total Traffic Accidents - January,Total Traffic Accidents - February,Total Traffic Accidents - March,Total Traffic Accidents - April,Total Traffic Accidents - May,Total Traffic Accidents - June,Total Traffic Accidents - July,Total Traffic Accidents - August,Total Traffic Accidents - September,Total Traffic Accidents - October,Total Traffic Accidents - November,Total Traffic Accidents - December,Total Traffic Accidents - Total
1,Andhra Pradesh,1796,1751,1894,1777,2161,1911,1640,1929,1539,1534,1525,1613,21070,0,0,0,0,0,0,0,0,0,0,0,0,0,94,66,81,87,110,89,84,86,82,81,79,90,1029,1890,1817,1975,1864,2271,2000,1724,2015,1621,1615,1604,1703,22099
2,Arunachal Pradesh,23,20,20,12,18,13,27,18,14,17,18,15,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,20,12,18,13,27,18,14,17,18,15,215
3,Assam,637,564,610,558,571,488,509,586,574,586,632,713,7028,3,1,3,1,2,1,1,1,0,3,3,3,22,39,88,75,57,45,56,33,52,47,36,79,82,689,679,653,688,616,618,545,543,639,621,625,714,798,7739
4,Bihar,749,760,868,953,1299,1006,902,786,692,857,991,938,10801,10,5,4,1,3,3,4,3,3,3,6,7,52,91,90,144,116,127,135,139,132,126,117,101,126,1444,850,855,1016,1070,1429,1144,1045,921,821,977,1098,1071,12297
5,Chhattisgarh,1241,1194,1069,1100,1205,1133,1032,1012,880,1025,1156,1044,13091,0,1,0,0,1,0,0,1,0,1,0,0,4,36,26,31,34,35,37,35,46,33,49,34,33,429,1277,1221,1100,1134,1241,1170,1067,1059,913,1075,1190,1077,13524
6,Goa,260,251,275,242,324,239,238,182,234,251,232,284,3012,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,4,4,2,2,4,5,9,6,6,54,265,253,280,246,328,241,240,186,239,260,238,290,3066
7,Gujarat,1356,1365,1358,1386,1530,1343,1065,1141,1160,1406,1259,1408,15777,0,0,2,2,1,1,0,0,0,0,0,0,6,56,57,79,53,73,66,58,57,63,82,52,70,766,1412,1422,1439,1441,1604,1410,1123,1198,1223,1488,1311,1478,16549
8,Haryana,739,811,1020,950,953,804,886,857,862,900,867,1005,10654,2,12,10,11,6,5,5,11,11,8,5,9,95,76,92,101,76,99,100,111,123,109,78,85,77,1127,817,915,1131,1037,1058,909,1002,991,982,986,957,1091,11876
9,Himachal Pradesh,163,160,195,219,207,231,186,217,247,235,200,224,2484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,160,195,219,207,231,186,217,247,235,200,224,2484
10,Jharkhand,393,417,433,430,492,423,454,391,379,429,444,490,5175,1,0,2,0,1,0,2,1,0,0,0,0,7,31,22,30,28,32,29,36,24,32,40,32,26,362,425,439,465,458,525,452,492,416,411,469,476,516,5544
11,Karnataka,3225,3318,3506,3313,3635,3308,3006,3118,2962,3358,3372,3644,39765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3225,3318,3506,3313,3635,3308,3006,3118,2962,3358,3372,3644,39765
12,Kerala,3862,3350,3781,3626,3673,3668,3283,3318,3542,3628,3817,4044,43592,15,17,11,8,24,14,12,11,18,20,18,16,184,20,16,12,11,19,15,16,13,20,19,15,18,194,3897,3383,3804,3645,3716,3697,3311,3342,3580,3667,3850,4078,43970
13,Madhya Pradesh,4621,4369,4636,4559,5179,4282,3921,3951,3636,4308,4527,3976,51965,18,21,15,24,21,27,17,26,19,21,18,12,239,81,65,87,122,127,112,93,131,140,115,109,93,1275,4720,4455,4738,4705,5327,4421,4031,4108,3795,4444,4654,4081,53479
14,Maharashtra,2581,2551,2665,2577,2956,2667,2230,2191,2103,2443,2826,2756,30546,0,0,0,0,0,0,0,0,0,0,0,0,0,304,367,404,407,417,399,349,407,398,497,427,451,4827,2885,2918,3069,2984,3373,3066,2579,2598,2501,2940,3253,3207,35373
15,Manipur,33,37,56,32,33,44,49,33,40,57,50,44,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,33,37,56,32,34,44,49,34,40,57,50,44,510
16,Meghalaya,21,27,21,22,26,20,16,17,20,15,17,24,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,21,22,26,20,16,17,20,15,17,24,246
17,Mizoram,10,9,4,6,7,6,4,3,6,4,4,8,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,4,6,7,6,4,3,6,4,4,8,71
18,Nagaland,4,2,3,4,1,1,1,2,1,4,0,1,24,0,0,0,0,1,1,0,0,0,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,4,2,2,1,2,1,6,0,2,29
19,Odisha,943,827,1065,929,1112,1025,894,867,840,896,1099,1166,11663,0,0,0,0,0,0,0,0,0,0,0,54,54,0,0,0,0,0,0,0,0,0,11,16,0,27,943,827,1065,929,1112,1025,894,867,840,907,1115,1220,11744
20,Punjab,432,421,548,522,488,484,485,531,471,578,565,597,6122,0,0,0,0,0,0,0,0,0,0,0,0,0,51,52,75,84,78,76,83,109,84,107,92,87,978,483,473,623,606,566,560,568,640,555,685,657,684,7100
21,Rajasthan,1958,1957,2012,1980,2217,1978,1847,1733,1900,2102,2156,1780,23620,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,75,71,79,105,94,100,76,95,89,54,942,2010,2009,2087,2051,2296,2083,1941,1833,1976,2197,2245,1834,24562
22,Sikkim,14,16,21,19,20,22,12,22,8,11,18,16,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,21,19,20,22,12,22,8,11,18,16,199
23,Tamil Nadu,4972,5115,5771,5305,5546,5704,5518,5560,5321,5628,4515,5150,64105,0,0,0,0,0,0,0,0,0,0,0,0,0,141,130,148,177,170,161,185,166,201,191,175,167,2012,5113,5245,5919,5482,5716,5865,5703,5726,5522,5819,4690,5317,66117
24,Telangana,1754,1894,1819,1678,2009,1908,1657,1657,1525,1737,1859,2122,21619,0,0,0,0,0,0,0,0,0,0,0,0,0,39,49,33,53,58,46,49,59,55,61,63,51,616,1793,1943,1852,1731,2067,1954,1706,1716,1580,1798,1922,2173,22235
25,Tripura,60,42,55,49,41,42,53,52,48,48,46,39,575,1,0,0,0,0,0,0,0,0,0,1,0,2,1,3,3,2,0,5,0,1,2,4,4,2,27,62,45,58,51,41,47,53,53,50,52,51,41,604
26,Uttar Pradesh,3486,2896,3058,2945,3228,3006,3006,2789,2568,2817,3389,3687,36875,133,111,106,103,109,93,115,103,115,104,111,137,1340,251,212,271,247,279,301,278,308,274,251,259,259,3190,3870,3219,3435,3295,3616,3400,3399,3200,2957,3172,3759,4083,41405
27,Uttarakhand,110,101,148,158,140,163,140,143,116,145,150,160,1674,0,0,1,0,0,0,0,0,0,0,0,0,1,6,6,6,7,2,5,6,5,6,9,7,9,74,116,107,155,165,142,168,146,148,122,154,157,169,1749
28,West Bengal,868,816,904,858,895,882,884,839,884,963,913,929,10635,33,35,58,47,50,50,34,47,60,57,35,40,546,149,125,180,175,177,202,204,224,212,219,193,161,2221,1050,976,1142,1080,1122,1134,1122,1110,1156,1239,1141,1130,13402
Total (States),Total (States),36311,35041,37815,36209,39966,36801,33945,33945,32572,35982,36647,37877,433111,216,203,212,197,219,195,190,204,226,219,197,279,2557,1523,1520,1840,1811,1932,1941,1855,2048,1965,2071,1917,1862,22285,38050,36764,39867,38217,42117,38937,35990,36197,34763,38272,38761,40018,457953
29,Andaman and Nicobar Islands,10,10,14,17,13,10,6,6,15,14,12,14,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,14,17,13,10,6,6,15,14,12,14,141
30,Chandigarh,12,27,24,20,16,24,16,18,31,18,17,15,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,27,24,20,16,24,16,18,31,18,17,15,238
31,Dadra and Nagar Haveli and Daman and Diu,9,6,16,14,12,15,13,23,14,13,17,23,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,16,14,12,15,13,23,14,13,17,23,175
32,Delhi (UT),416,420,446,516,476,458,483,453,414,489,480,509,5560,0,0,0,0,0,0,0,0,0,0,0,0,0,48,50,80,63,52,50,81,94,74,75,72,57,796,464,470,526,579,528,508,564,547,488,564,552,566,6356
33,Jammu and Kashmir,330,433,516,521,666,567,583,508,492,576,465,433,6090,0,0,1,0,0,0,0,0,1,1,0,0,3,1,3,3,6,4,4,3,1,6,6,6,6,49,331,436,520,527,670,571,586,509,499,583,471,439,6142
34,Ladakh,4,12,16,23,40,31,37,17,31,32,15,10,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,16,23,40,31,37,17,31,32,15,10,268
35,Lakshadweep,2,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,4
36,Puducherry,90,112,93,82,109,93,92,86,104,109,109,102,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,2,2,0,1,9,90,113,93,84,110,93,92,86,106,111,109,103,1190
Total (UTs),Total (UTs),873,1020,1125,1193,1332,1199,1230,1112,1101,1251,1115,1106,13657,0,0,1,0,0,0,0,0,1,1,0,0,3,49,54,83,71,57,54,84,95,82,83,78,64,854,922,1074,1209,1264,1389,1253,1314,1207,1184,1335,1193,1170,14514
Total (All India),Total (All India),37184,36061,38940,37402,41298,38000,35175,35057,33673,37233,37762,38983,446768,216,203,213,197,219,195,190,204,227,220,197,279,2560,1572,1574,1923,1882,1989,1995,1939,2143,2047,2154,1995,1926,23139,38972,37838,41076,39481,43506,40190,37304,37404,35947,39607,39954,41188,472467
37,Agra,52,56,44,69,56,67,65,55,52,70,72,71,729,1,1,1,1,2,0,1,2,0,1,1,0,11,6,3,9,3,8,6,4,2,10,6,5,4,66,59,60,54,73,66,73,70,59,62,77,78,75,806
