Sl. No.,State/UT/Cities,National Highways - Cases,National Highways - Injured,National Highways - Died,State Highways - Cases,State Highways - Injured,State Highways - Died,Expressways - Cases,Expressways - Injured,Expressways - Died,Other Roads - Cases,Other Roads - Injured,Other Roads - Died,Total - Cases,Total - Injured,Total - Died
1,Andhra Pradesh,8554,8890,3793,4838,4931,1869,0,0,0,7678,7519,2631,21070,21340,8293
2,Arunachal Pradesh,103,78,54,25,8,16,0,0,0,87,91,82,215,177,152
3,Assam,3354,2686,1547,1750,1437,668,0,0,0,1924,1556,845,7028,5679,3060
4,Bihar,4601,3158,3926,2428,1621,2032,0,0,0,3772,2289,2940,10801,7068,8898
5,Chhattisgarh,3989,3166,1861,2109,2261,1001,0,0,0,6993,6032,3028,13091,11459,5890
6,Goa,1227,344,121,408,194,37,0,0,0,1377,533,116,3012,1071,274
7,Gujarat,3396,2995,2029,4097,4342,2163,114,183,64,8170,7619,3378,15777,15139,7634
8,Haryana,3636,2924,2083,1942,1657,922,127,67,107,4949,3705,2116,10654,8353,5228
9,Himachal Pradesh,1165,1720,393,552,964,214,0,0,0,767,1207,372,2484,3891,979
10,Jharkhand,2125,1410,1699,1069,836,812,0,0,0,1981,1501,1387,5175,3747,3898
11,Karnataka,13389,16587,4201,9796,12476,3276,0,0,0,16580,19091,4228,39765,48154,11705
12,Kerala,9773,11425,1281,9972,11640,1050,0,0,0,23847,26252,1986,43592,49317,4317
13,Madhya Pradesh,11907,11814,3673,11897,12097,3509,0,0,0,28161,27353,6736,51965,51264,13918
14,Maharashtra,8339,7099,4833,7490,5742,4098,191,163,88,14526,10874,6729,30546,23878,15748
15,Manipur,309,466,71,101,156,21,0,0,0,98,195,35,508,817,127
16,Meghalaya,154,201,88,30,35,26,0,0,0,62,74,48,246,310,162
17,Mizoram,43,11,50,26,14,31,0,0,0,2,3,2,71,28,83
18,Nagaland,13,14,13,6,27,5,0,0,0,5,1,4,24,42,22
19,Odisha,4241,3632,1998,2648,2266,1272,76,138,50,4698,4233,2150,11663,10269,5470
20,Punjab,2082,1205,1590,1781,1021,1272,29,23,27,2230,1123,1799,6122,3372,4688
21,Rajasthan,6996,6577,3997,4298,4049,2395,42,25,29,12284,11598,4682,23620,22249,11103
22,Sikkim,86,172,28,61,113,25,0,0,0,52,86,45,199,371,98
23,Tamil Nadu,18972,21138,5978,22633,23387,6364,0,0,0,22500,23178,5542,64105,67703,17884
24,Telangana,7496,6945,3006,2183,2042,820,9,5,4,11931,11217,3729,21619,20209,7559
25,Tripura,241,224,105,193,181,77,0,0,0,141,136,59,575,541,241
26,Uttar Pradesh,12380,7330,8236,9178,5266,6070,1680,961,1310,13637,8139,8493,36875,21696,24109
27,Uttarakhand,660,733,464,498,485,296,0,0,0,516,395,282,1674,1613,1042
28,West Bengal,3506,2586,1882,2229,1943,1388,163,86,101,4737,3509,2417,10635,8124,5788
Total (States),Total (States),132737,125530,59000,104238,101191,41729,2431,1651,1780,193705,179509,65861,433111,407881,168370
29,Andaman and Nicobar Islands,43,39,11,42,42,2,0,0,0,56,55,6,141,136,19
30,Chandigarh,29,21,9,0,0,0,0,0,0,209,182,74,238,203,83
31,Dadra and Nicobar Haveli and Daman and Diu,2,1,1,87,98,33,0,0,0,86,158,46,175,257,80
32,Delhi (UT),517,414,157,499,396,129,0,0,0,4544,3903,1175,5560,4713,1461
33,Jammu and Kashmir,2212,3019,386,1094,1617,76,15,0,0,2769,3714,376,6090,8350,838
34,Ladakh,134,174,38,101,127,24,0,0,0,33,32,4,268,333,66
35,Lakshadweep,0,0,0,0,0,0,0,0,0,4,3,2,4,3,2
36,Puducherry,448,428,71,94,100,10,0,0,0,639,754,100,1181,1282,181
Total (UTs),Total (UTs),3385,4096,673,1917,2380,274,15,0,0,8340,8801,1783,13657,15277,2730
Total (All India),Total (All India),136122,129626,59673,106155,103571,42003,2446,1651,1780,202045,188310,67644,446768,423158,171100
37,Agra,266,0,258,69,22,55,30,2,30,364,67,355,729,91,698
38,Ahmedabad,217,178,90,0,0,0,6,19,4,1488,1108,394,1711,1305,488
39,Amritsar,39,15,28,0,0,0,0,0,0,78,47,54,117,62,82
40,Asansol,171,131,139,63,46,41,0,0,0,263,131,185,497,308,365
41,Aurangabad,21,7,16,71,40,46,18,6,12,381,299,130,491,352,204
42,Bengaluru,559,484,141,236,174,47,0,0,0,3027,2531,584,3822,3189,772
43,Bhopal,168,152,11,756,703,26,0,0,0,1864,1296,168,2788,2151,205
44,Chandigarh (City),29,21,9,0,0,0,0,0,0,209,182,74,238,203,83
45,Chennai,174,180,41,258,310,45,0,0,0,3020,3234,421,3452,3724,507
46,Coimbatore,387,310,115,323,282,83,0,0,0,375,347,74,1085,939,272
47,Delhi (City),515,414,157,499,396,129,0,0,0,4373,3762,1126,5387,4572,1412
48,Dhanbad,116,53,69,40,14,28,0,0,0,23,6,17,179,73,114
49,Durg Bhilainagar,231,112,47,113,102,30,0,0,0,445,387,68,789,601,145
50,Faridabad,136,65,89,0,0,0,19,15,15,474,368,198,629,448,302
51,Ghaziabad,325,250,129,103,86,24,99,57,28,356,268,181,883,661,362
52,Gwalior,346,291,71,0,0,0,0,0,0,873,805,80,1219,1096,151
53,Hyderabad,347,280,59,136,117,18,0,0,0,2033,1855,246,2516,2252,323
54,Indore,398,295,67,370,305,47,0,0,0,2549,2131,168,3317,2731,282
55,Jabalpur,277,291,44,215,253,21,0,0,0,1968,1895,102,2460,2439,167
56,Jaipur,665,427,269,117,106,33,42,25,29,1863,1604,434,2687,2162,765
57,Jamshedpur,23,13,10,40,25,15,0,0,0,104,77,43,167,115,68
58,Jodhpur,220,171,104,53,36,23,0,0,0,413,298,140,686,505,267
59,Kannur,352,462,33,407,560,38,0,0,0,876,1096,78,1635,2118,149
60,Kanpur,778,466,312,345,146,199,77,36,41,395,307,88,1595,955,640
61,Kochi,506,461,118,326,300,26,0,0,0,1600,1601,12,2432,2362,156
62,Kolkata,47,0,13,48,31,11,0,0,0,942,785,193,1037,816,217
63,Kollam,893,939,107,27,29,2,0,0,0,1163,1208,105,2083,2176,214
64,Kota,29,23,17,4,2,2,0,0,0,411,406,92,444,431,111
65,Kozhikode,611,666,78,363,370,40,0,0,0,1080,1127,77,2054,2163,195
66,Lucknow,507,315,278,264,232,94,39,23,18,598,424,253,1408,994,643
67,Ludhiana,152,48,128,42,17,35,0,0,0,273,109,201,467,174,364
68,Madurai,24,20,6,452,364,123,0,0,0,268,217,63,744,601,192
69,Malappuram,255,313,37,252,361,31,0,0,0,363,424,48,870,1098,116
70,Meerut,174,171,48,0,0,0,36,36,16,241,236,85,451,443,149
71,Mumbai,0,0,0,0,0,0,0,0,0,538,4,538,538,4,538
72,Nagpur,240,211,77,244,165,101,0,0,0,697,611,157,1181,987,335
73,Nasik,16,0,16,0,0,0,0,0,0,174,49,185,190,49,201
74,Patna,185,79,123,22,20,17,0,0,0,68,22,58,275,121,198
75,Prayagraj +,556,311,202,478,308,247,0,0,0,336,267,154,1370,886,603
76,Pune,60,4,58,124,51,106,0,0,0,203,52,179,387,107,343
77,Raipur,324,137,59,50,41,8,0,0,0,647,397,119,1021,575,186
78,Rajkot,86,61,49,94,109,36,0,0,0,318,252,65,498,422,150
79,Ranchi,0,0,0,0,0,0,0,0,0,175,111,90,175,111,90
80,Srinagar,115,122,18,0,0,0,0,0,0,311,316,35,426,438,53
81,Surat,48,31,31,105,88,45,0,0,0,530,434,217,683,553,293
82,Thiruvananthapuram,358,481,71,437,356,37,0,0,0,1030,1073,63,1825,1910,171
83,Thrissur,306,341,48,932,1088,78,0,0,0,1136,1282,84,2374,2711,210
84,Tiruchirappalli,247,301,71,32,37,9,0,0,0,263,286,69,542,624,149
85,Vadodara,100,65,67,0,0,0,0,0,0,378,313,114,478,378,181
86,Varanasi,59,42,73,47,26,40,0,0,0,27,18,32,133,86,145
87,Vasai Virar,129,49,95,4,1,3,0,0,0,209,163,67,342,213,165
88,Vijayawada,706,623,232,161,136,53,0,0,0,676,608,133,1543,1367,418
89,Vishakhapatnam,452,424,139,46,37,18,0,0,0,854,827,201,1352,1288,358
Total (Cities),Total (Cities),13945,11306,4567,8768,7892,2110,366,219,193,43323,37723,9097,66402,57140,15967
