Sl. No.,Category,State/UT/City,Road Accidents - 0000 hrs to 0300 hrs. (Night),Road Accidents - 0300 hrs to 0600 hrs. (Night),Road Accidents - 0600 hrs to 0900 hrs (Day),Road Accidents - 0900 hrs to 1200 hrs (Day),Road Accidents - 1200 hrs to 1500 hrs (Day),Road Accidents - 1500 hrs to 1800 hrs (Day),Road Accidents - 1800 hrs to 2100hrs (Night),Road Accidents - 2100 hrs. to 2400hrs (Night),Road Accidents - Total,Railway Crossing Accidents - 0000 hrs to 0300 hrs. (Night),Railway Crossing Accidents - 0300 hrs to 0600 hrs. (Night),Railway Crossing Accidents - 0600 hrs to 0900 hrs (Day),Railway Crossing Accidents - 0900 hrs to 1200 hrs (Day),Railway Crossing Accidents - 1200 hrs to 1500 hrs (Day),Railway Crossing Accidents - 1500 hrs to 1800 hrs (Day),Railway Crossing Accidents - 1800 hrs to 2100 hrs (Night),Railway Crossing Accidents - 2100 hrs. to 2400 hrs (Night),Railway Crossing Accidents - Total,Railway Accidents - 0000 hrs to 0300 hrs. (Night),Railway Accidents - 0300 hrs to 0600 hrs. (Night),Railway Accidents - 0600 hrs to 0900 hrs (Day),Railway Accidents - 0900 hrs to 1200 hrs (Day),Railway Accidents - 1200 hrs to 1500 hrs (Day),Railway Accidents - 1500 hrs to 1800 hrs (Day),Railway Accidents - 1800 hrs to 2100 hrs (Night),Railway Accidents - 2100 hrs. to 2400 hrs (Night),Railway Accidents - Total,Total (Traffic Accidents) - 0000 hrs to 0300 hrs. (Night),Total (Traffic Accidents) - 0300 hrs to 0600 hrs. (Night),Total (Traffic Accidents) - 0600 hrs to 0900 hrs (Day),Total (Traffic Accidents) - 0900 hrs to 1200 hrs (Day),Total (Traffic Accidents) - 1200 hrs to 1500 hrs (Day),Total (Traffic Accidents) - 1500 hrs to 1800 hrs (Day),Total (Traffic Accidents) - 1800 hrs to 2100 hrs (Night),Total (Traffic Accidents) - 2100 hrs. to 2400 hrs (Night),Total - Traffic Accidents
1,State,ANDHRA PRADESH,2160,2080,2492,2157,3143,3750,4133,2924,22839,28,50,35,15,20,20,40,60,268,56,93,265,258,136,103,120,98,1129,2244,2223,2792,2430,3299,3873,4293,3082,24236
2,State,ARUNACHAL PRADESH,7,9,23,50,58,52,53,32,284,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,9,24,50,58,52,53,32,285
3,State,ASSAM,525,485,931,1421,1011,1289,868,429,6959,0,1,2,1,3,3,0,0,10,69,76,94,80,86,80,96,83,664,594,562,1027,1502,1100,1372,964,512,7633
4,State,BIHAR,719,992,1512,1543,1315,1387,1322,777,9567,0,3,4,1,1,2,4,0,15,138,191,248,285,328,222,238,239,1889,857,1186,1764,1829,1644,1611,1564,1016,11471
5,State,CHHATTISGARH,784,974,1757,2608,2064,2520,2400,1339,14446,0,1,0,2,2,2,1,2,10,41,65,88,76,68,53,64,66,521,825,1040,1845,2686,2134,2575,2465,1407,14977
6,State,GOA,247,133,357,661,740,796,875,529,4338,0,0,3,3,1,2,2,0,11,4,5,7,4,3,4,2,7,36,251,138,367,668,744,802,879,536,4385
7,State,GUJARAT,1397,1454,2579,3761,3659,3807,4079,2626,23362,6,8,7,19,12,15,19,26,112,86,93,168,175,131,130,176,125,1084,1489,1555,2754,3955,3802,3952,4274,2777,24558
8,State,HARYANA,933,923,1360,1702,1465,1684,1911,1309,11287,202,187,149,114,118,128,183,209,1290,0,0,0,1,0,0,0,0,1,1135,1110,1509,1817,1583,1812,2094,1518,12578
9,State,HIMACHAL PRADESH,105,91,279,440,610,665,495,325,3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,91,279,440,610,665,495,325,3010
10,State,JAMMU & KASHMIR,136,318,473,800,1412,1292,977,439,5847,0,0,0,0,0,0,0,0,0,0,6,11,10,8,8,14,4,61,136,324,484,810,1420,1300,991,443,5908
11,State,JHARKHAND,228,505,702,1075,690,909,688,365,5162,0,1,2,3,0,2,2,0,10,28,38,44,47,28,23,16,3,227,256,544,748,1125,718,934,706,368,5399
12,State,KARNATAKA,2976,3132,4577,6695,6724,7652,7712,4543,44011,0,0,2,0,2,2,0,0,6,106,106,110,117,112,128,108,104,891,3082,3238,4689,6812,6838,7782,7820,4647,44908
13,State,KERALA,901,1410,4945,7101,5786,8537,7419,2915,39014,2,5,4,4,4,6,5,0,30,34,46,43,28,36,31,62,19,299,937,1461,4992,7133,5826,8574,7486,2934,39343
14,State,MADHYA PRADESH,2047,2569,4288,7260,7166,7599,6409,3521,40859,14,36,37,23,25,25,38,26,224,187,247,259,263,257,245,209,150,1817,2248,2852,4584,7546,7448,7869,6656,3697,42900
15,State,MAHARASHTRA,3079,2868,4576,6005,6171,6944,7355,5252,42250,0,0,0,0,0,0,0,0,0,593,444,1031,1312,1012,1107,1230,1077,7806,3672,3312,5607,7317,7183,8051,8585,6329,50056
16,State,MANIPUR,14,7,38,122,133,158,150,46,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,38,122,133,158,150,46,668
