Sl. No.,Category,State/UT/CITY,Road Accidents - Jan.,Road Accidents - Feb.,Road Accidents - Mar.,Road Accidents - Apr.,Road Accidents - May,Road Accidents - Jun.,Road Accidents - Jul.,Road Accidents - Aug.,Road Accidents - Sep.,Road Accidents - Oct.,Road Accidents - Nov.,Road Accidents - Dec.,Road Accidents - Total,Railway Crossing Accidents - Jan.,Railway Crossing Accidents - Feb.,Railway Crossing Accidents - Mar.,Railway Crossing Accidents - Apr.,Railway Crossing Accidents - May,Railway Crossing Accidents - Jun.,Railway Crossing Accidents - Jul.,Railway Crossing Accidents - Aug.,Railway Crossing Accidents - Sep.,Railway Crossing Accidents - Oct.,Railway Crossing Accidents - Nov.,Railway Crossing Accidents - Dec.,Railway Crossing Accidents - Total,Railway Accidents - Jan.,Railway Accidents - Feb.,Railway Accidents - Mar.,Railway Accidents - Apr.,Railway Accidents - May,Railway Accidents - Jun.,Railway Accidents - Jul.,Railway Accidents - Aug.,Railway Accidents - Sep.,Railway Accidents - Oct.,Railway Accidents - Nov.,Railway Accidents - Dec.,Railway Accidents - Total,Total Traffic Accidents - Jan.,Total Traffic Accidents - Feb.,Total Traffic Accidents - Mar.,Total Traffic Accidents - Apr.,Total Traffic Accidents - May,Total Traffic Accidents - Jun.,Total Traffic Accidents - Jul.,Total Traffic Accidents - Aug.,Total Traffic Accidents - Sep.,Total Traffic Accidents - Oct.,Total Traffic Accidents - Nov.,Total Traffic Accidents - Dec.,Total Traffic Accidents - Total
1,State,Andhra Pradesh,2033,1940,2106,2182,2011,1843,1843,2064,1813,1929,1892,2002,23658,7,14,18,13,14,23,23,17,15,20,15,10,189,123,106,96,118,99,96,100,106,85,98,96,80,1203,2163,2060,2220,2313,2124,1962,1966,2187,1913,2047,2003,2092,25050
2,State,Arunachal Pradesh,32,29,22,15,13,22,23,8,12,21,14,16,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,29,22,15,13,22,23,8,12,21,14,16,227
3,State,Assam,716,684,669,606,616,548,523,548,554,645,577,584,7270,1,0,2,1,1,1,1,0,1,0,1,0,9,43,35,43,54,51,52,59,51,61,64,59,51,623,760,719,714,661,668,601,583,599,616,709,637,635,7902
4,State,Bihar,682,705,815,774,699,722,660,577,578,620,730,660,8222,10,3,5,7,6,3,1,8,5,3,7,11,69,125,128,127,143,137,155,165,156,138,150,140,127,1691,817,836,947,924,842,880,826,741,721,773,877,798,9982
5,State,Chhattisgarh,1397,1252,1183,1178,1258,1116,1040,944,988,1085,1069,1071,13581,8,8,4,5,6,7,4,4,5,6,5,1,63,39,33,35,45,34,47,33,31,33,35,37,38,440,1444,1293,1222,1228,1298,1170,1077,979,1026,1126,1111,1110,14084
6,State,Goa,409,356,350,332,412,311,321,303,323,387,356,444,4304,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,3,3,2,5,6,3,3,1,41,412,359,355,336,415,314,323,308,329,390,359,445,4345
7,State,Gujarat,1915,1848,1840,1953,2074,1810,1612,1552,1580,1778,1774,1822,21558,22,11,13,18,16,15,21,20,14,19,10,7,186,64,65,66,69,92,88,90,89,81,84,75,65,928,2001,1924,1919,2040,2182,1913,1723,1661,1675,1881,1859,1894,22672
8,State,Haryana,827,921,982,954,905,917,901,916,960,1001,1043,998,11325,73,85,92,111,97,109,117,104,114,129,102,85,1218,0,0,0,0,0,0,0,0,0,0,0,0,0,900,1006,1074,1065,1002,1026,1018,1020,1074,1130,1145,1083,12543
9,State,Himachal Pradesh,223,215,239,286,270,292,278,293,243,314,261,239,3153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,215,239,286,270,292,278,293,243,314,261,239,3153
10,State,Jammu & Kashmir,420,442,461,442,560,560,441,397,392,486,444,432,5477,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5,6,6,5,4,8,5,4,2,49,422,442,463,447,566,566,446,401,400,491,448,434,5526
11,State,Jharkhand,414,428,425,419,403,419,451,395,347,392,392,447,4932,2,5,4,1,3,7,3,1,4,2,3,2,37,32,35,35,38,38,33,52,31,35,33,45,32,439,448,468,464,458,444,459,506,427,386,427,440,481,5408
12,State,Karnataka,3846,3676,3923,3960,4247,3517,3365,3542,3396,3647,3617,3700,44436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3846,3676,3923,3960,4247,3517,3365,3542,3396,3647,3617,3700,44436
13,State,Kerala,3687,3379,3312,3211,3399,3151,3182,3221,3268,3218,3130,3262,39420,10,9,5,8,9,4,7,11,3,11,9,7,93,31,23,24,26,14,22,28,26,20,26,26,21,287,3728,3411,3341,3245,3422,3177,3217,3258,3291,3255,3165,3290,39800
14,State,Madhya Pradesh,5021,4633,4759,4731,4828,4260,3848,3463,3778,4439,4221,3963,51944,19,20,13,18,21,18,17,20,18,20,14,27,225,140,140,137,151,129,132,180,138,144,138,98,121,1648,5180,4793,4909,4900,4978,4410,4045,3621,3940,4597,4333,4111,53817
15,State,Maharashtra,3343,3189,3441,3325,3677,3201,2779,2784,2834,3052,2930,3331,37886,0,0,0,0,0,0,0,0,0,0,0,0,0,577,583,567,588,712,605,555,585,656,596,578,558,7160,3920,3772,4008,3913,4389,3806,3334,3369,3490,3648,3508,3889,45046
16,State,Manipur,43,57,66,62,64,55,42,38,47,58,63,73,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,57,66,62,64,55,42,38,47,58,63,73,668
17,State,Meghalaya,28,32,24,24,21,16,19,30,25,21,20,22,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,32,24,24,21,16,19,30,25,21,20,22,282
18,State,Mizoram,8,8,4,7,3,3,2,7,4,5,5,8,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,4,7,3,3,2,7,4,5,5,8,64
19,State,Nagaland,5,3,10,8,4,5,4,0,5,2,3,4,53,0,0,0,1,3,2,3,0,1,3,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,9,7,7,7,0,6,5,3,5,67
20,State,Odisha,1016,900,952,903,936,903,732,780,756,778,870,1006,10532,9,7,13,11,10,12,11,15,9,6,8,15,126,9,7,14,8,5,15,8,12,12,11,8,8,117,1034,914,979,922,951,930,751,807,777,795,886,1029,10775
21,State,Punjab,547,555,583,587,609,590,515,541,487,663,709,566,6952,1,0,0,1,1,0,0,1,0,0,1,0,5,63,70,68,95,78,76,94,68,72,80,52,67,883,611,625,651,683,688,666,609,610,559,743,762,633,7840
22,State,Rajasthan,2093,1912,2065,2088,2172,1921,1971,1691,1818,1881,1846,1608,23066,1,3,3,4,3,5,2,3,5,2,3,3,37,55,51,56,76,68,70,60,70,67,58,44,48,723,2149,1966,2124,2168,2243,1996,2033,1764,1890,1941,1893,1659,23826
23,State,Sikkim,22,16,18,17,25,17,14,16,18,26,16,18,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,18,17,25,17,14,16,18,26,16,18,223
24,State,Tamil Nadu,6184,6160,6227,5993,6012,5953,5797,6295,6055,5977,5282,5496,71431,0,0,0,0,0,0,0,0,0,0,0,0,0,165,163,156,150,152,150,163,132,179,166,142,134,1852,6349,6323,6383,6143,6164,6103,5960,6427,6234,6143,5424,5630,73283
25,State,Telangana,1777,1780,2035,2091,1958,1787,1721,1960,1676,1807,1988,2231,22811,0,0,0,0,0,0,0,0,0,0,0,0,0,52,60,75,68,78,78,96,110,57,90,74,64,902,1829,1840,2110,2159,2036,1865,1817,2070,1733,1897,2062,2295,23713
26,State,Tripura,65,47,59,50,53,32,46,34,36,50,45,40,557,0,0,0,0,2,1,3,2,3,1,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,65,47,59,50,55,33,49,36,39,51,46,41,571
27,State,Uttar Pradesh,2795,2546,2728,2579,2597,2526,2376,2382,2204,2492,2618,2765,30608,69,43,59,38,66,62,55,52,42,43,34,71,634,320,276,265,258,290,291,276,268,260,257,275,265,3301,3184,2865,3052,2875,2953,2879,2707,2702,2506,2792,2927,3101,34543
28,State,Uttarakhand,118,123,140,156,136,139,130,103,115,137,113,135,1545,4,5,3,2,3,2,4,3,2,2,2,1,33,3,0,1,1,1,0,0,1,1,0,3,2,13,125,128,144,159,140,141,134,107,118,139,118,138,1591
29,State,West Bengal,1407,1404,1442,1334,1446,1535,1421,1351,1348,1400,1352,1509,16949,20,9,13,12,16,14,8,14,19,16,11,13,165,215,203,210,186,230,244,259,241,233,279,200,190,2690,1642,1616,1665,1532,1692,1793,1688,1606,1600,1695,1563,1712,19804
State,State,Total(States),41073,39240,40880,40267,41408,38171,36057,36235,35660,38311,37380,38452,463134,256,222,247,251,277,285,280,275,260,283,226,255,3117,2061,1981,1982,2083,2217,2163,2225,2124,2148,2173,1959,1874,24990,43390,41443,43109,42601,43902,40619,38562,38634,38068,40767,39565,40581,491241
30,Union Territory,A & N Islands,19,15,23,24,25,13,19,26,19,15,21,19,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,23,24,25,13,19,26,19,15,21,19,238
31,Union Territory,Chandigarh,47,35,34,36,35,29,32,34,32,43,36,33,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,35,34,36,35,29,32,34,32,43,36,33,426
32,Union Territory,D & N Haveli,5,2,6,9,5,7,8,2,4,5,8,9,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,6,9,5,7,8,2,4,5,8,9,70
33,Union Territory,Daman & Diu,2,4,1,3,0,3,9,3,7,3,3,5,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,3,0,3,9,3,7,3,3,5,43
34,Union Territory,Delhi (UT),608,641,705,574,604,601,623,632,586,671,549,581,7375,2,1,2,0,1,0,0,0,0,0,0,0,6,63,58,68,95,78,88,76,96,85,94,79,54,934,673,700,775,669,683,689,699,728,671,765,628,635,8315
35,Union Territory,Lakshadweep,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
36,Union Territory,Puducherry,174,123,160,151,145,157,151,149,134,161,124,134,1763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,174,123,161,152,145,157,151,149,134,161,124,135,1766
Union Territory,Union Territory,Total (UTs),856,820,929,797,814,810,842,846,782,898,741,781,9916,2,1,2,0,1,0,0,0,0,0,0,0,6,63,58,69,96,78,88,76,96,85,94,79,55,937,921,879,1000,893,893,898,918,942,867,992,820,836,10859
Total (All India),Total (All India),Total (All India),41929,40060,41809,41064,42222,38981,36899,37081,36442,39209,38121,39233,473050,258,223,249,251,278,285,280,275,260,283,226,255,3123,2124,2039,2051,2179,2295,2251,2301,2220,2233,2267,2038,1929,25927,44311,42322,44109,43494,44795,41517,39480,39576,38935,41759,40385,41417,502100
37,City,Agra,70,91,139,75,73,55,85,67,83,78,87,84,987,2,4,1,2,3,2,3,7,4,1,2,2,33,2,3,3,1,3,2,1,2,2,3,4,3,29,74,98,143,78,79,59,89,76,89,82,93,89,1049
38,City,Ahmedabad,184,166,148,155,178,160,159,142,154,155,156,220,1977,6,4,4,6,2,5,3,3,2,4,2,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,190,170,152,161,180,165,162,145,156,159,158,221,2019
39,City,Allahabad,123,97,56,71,59,53,57,79,73,97,121,101,987,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,6,3,4,2,3,5,6,8,7,8,64,130,102,62,74,63,55,60,84,79,105,128,109,1051
40,City,Amritsar,13,11,15,15,14,8,13,14,13,15,7,14,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,15,15,14,8,13,14,13,15,7,14,152
41,City,Asansol,44,45,29,32,31,42,40,30,45,31,29,20,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,44,45,30,32,31,42,40,30,45,31,29,20,419
42,City,Aurangabad,174,196,229,217,207,208,210,193,214,218,220,184,2470,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,4,5,5,3,8,5,3,2,1,50,179,198,236,221,212,213,213,201,219,221,222,185,2520
43,City,Bengaluru,383,422,470,398,460,464,437,494,452,449,457,470,5356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,422,470,398,460,464,437,494,452,449,457,470,5356
44,City,Bhopal,344,308,329,264,291,252,223,226,258,265,178,280,3218,6,7,7,6,9,8,9,7,8,6,5,4,82,0,0,0,0,0,0,0,0,0,0,0,0,0,350,315,336,270,300,260,232,233,266,271,183,284,3300
45,City,Chandigarh (City),45,34,33,35,34,28,31,33,31,42,35,32,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,34,33,35,34,28,31,33,31,42,35,32,413
46,City,Chennai,607,669,689,641,598,588,624,667,605,637,570,591,7486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,669,689,641,598,588,624,667,605,637,570,591,7486
47,City,Coimbatore,121,114,119,119,92,121,122,121,107,114,102,102,1354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,114,119,119,92,121,122,121,107,114,102,102,1354
48,City,Delhi (City),497,512,565,456,473,469,493,502,451,524,428,457,5827,2,1,2,0,1,0,0,0,0,0,0,0,6,63,59,68,94,78,88,76,97,83,94,79,55,934,562,572,635,550,552,557,569,599,534,618,507,512,6767
49,City,Dhanbad,20,13,19,18,16,20,13,18,18,25,14,23,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13,19,18,16,20,13,18,18,25,14,23,217
50,City,Durg Bhilainagar,106,94,72,83,98,63,59,52,62,70,65,52,876,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,4,3,2,2,3,2,2,3,34,109,97,76,86,102,66,61,54,65,72,67,55,910
