Sl. No. (Col.1),Category (Col.2),State/UT,Total Number of Accidental Deaths - Forces of Nature (Col.4),Total Number of Accidental Deaths - Other Causes (Col.5),Total Number of Accidental Deaths - Total (Col.6),Percentage Share in Total Deaths (Col.7),Projected Mid-Year Population* (in Lakh) (Col.8),Rate of Accidental Deaths (Col.9 = Col.6/Col.8)
1,State,Andhra Pradesh,346,16892,17238,4.3,517.5,33.3
2,State,Arunachal Pradesh,29,204,233,0.1,14.8,15.7
3,State,Assam,99,4691,4790,1.2,336.7,14.2
4,State,Bihar,1089,10708,11797,3,1165.5,10.1
5,State,Chhattisgarh,353,17745,18098,4.6,280.8,64.5
6,State,Goa,0,843,843,0.2,15.2,55.5
7,State,Gujarat,205,24336,24541,6.2,663.9,37
8,State,Haryana,161,15057,15218,3.8,280,54.4
9,State,Himachal Pradesh,167,3082,3249,0.8,72.2,45
10,State,Jammu & Kashmir,127,1227,1354,0.3,133.2,10.2
11,State,Jharkhand,319,5794,6113,1.5,365.1,16.7
12,State,Karnataka,122,23496,23618,6,649.3,36.4
13,State,Kerala,143,11665,11808,3,348.2,33.9
14,State,Madhya Pradesh,583,40028,40611,10.2,803.3,50.6
15,State,Maharashtra,478,64159,64637,16.3,1202.5,53.8
16,State,Manipur,5,273,278,0.1,30.5,9.1
17,State,Meghalaya,32,445,477,0.1,11.7,40.8
18,State,Mizoram,2,214,216,0.1,31.7,6.8
19,State,Nagaland,1,83,84,0,21.1,4
20,State,Odisha,931,13395,14326,3.6,433.7,33
21,State,Punjab,154,9679,9833,2.5,294.6,33.4
22,State,Rajasthan,198,27634,27832,7,755.8,36.8
23,State,Sikkim,13,281,294,0.1,6.5,45.2
24,State,Tamil Nadu,94,27999,28093,7.1,751.1,37.4
25,State,Telangana,259,11293,11552,2.9,367.8,31.4
26,State,Tripura,28,711,739,0.2,39.2,18.9
27,State,Uttar Pradesh,897,33863,34760,8.8,2200.4,15.8
28,State,Uttarakhand,64,1517,1581,0.4,109.3,14.5
29,State,West Bengal,240,14869,15109,3.8,958.9,15.8
State,State,Total (States),7139,382183,389322,98.2,12860.6,30.3
30,Union Territory,A & N Islands,1,186,187,0,3.9,47.9
31,Union Territory,Chandigarh,1,299,300,0.1,11.6,25.9
32,Union Territory,D & N Haveli,2,147,149,0,4.9,30.4
33,Union Territory,Daman & Diu,0,157,157,0,3.7,42.4
34,Union Territory,Delhi (UT),0,4911,4911,1.2,191.8,25.6
35,Union Territory,Lakshadweep,0,6,6,0,0.7,8.6
36,Union Territory,Puducherry,0,1552,1552,0.4,14.5,107
Union Territory,Union Territory,Total (UTs),4,7258,7262,1.8,231.1,31.4
Total (All India),Total (All India),Total (All India),7143,389441,396584,100,13091.6,30.3
