Sl. No.,Category,State/UT/City,Road Accidents - 2016,Road Accidents - 2017,Road Accidents - % Var.,Railway Accidents - 2016,Railway Accidents - 2017,Railway Accidents - % Var.,Railway Crossing Accidents - 2016,Railway Crossing Accidents - 2017,Railway Crossing Accidents - % Var.,Total Traffic Accidents - 2016,Total Traffic Accidents - 2017,Total Traffic Accidents - % Var.,% Share
1,State,Andhra Pradesh,23658,22456,-5.1,1203,1362,13.2,189,0,-100,25050,23818,-4.9,5
2,State,Arunachal Pradesh,227,127,-44.1,0,0,NA,0,0,NA,227,127,-44.1,0
3,State,Assam,7270,6805,-6.4,623,566,-9.1,9,0,-100,7902,7371,-6.7,1.6
4,State,Bihar,8222,8855,7.7,1691,1529,-9.6,69,239,246.4,9982,10623,6.4,2.2
5,State,Chhattisgarh,13581,13563,-0.1,440,416,-5.5,63,6,-90.5,14084,13985,-0.7,2.9
6,State,Goa,4304,3920,-8.9,41,52,26.8,0,0,-,4345,3972,-8.6,0.8
7,State,Gujarat,21558,18631,-13.6,1112,1018,-8.5,2,0,-100,22672,19649,-13.3,4.1
8,State,Haryana,11325,11682,3.2,0,2000,-,1218,93,-92.4,12543,13775,9.8,2.9
9,State,Himachal Pradesh,3153,3111,-1.3,0,0,NA,0,0,NA,3153,3111,-1.3,0.7
10,State,Jammu & Kashmir,5477,5443,-0.6,49,65,32.7,0,0,-,5526,5508,-0.3,1.2
11,State,Jharkhand,4932,5198,5.4,439,421,-4.1,37,10,-73,5408,5629,4.1,1.2
12,State,Karnataka,44436,42542,-4.3,0,6,NA,0,0,NA,44436,42548,-4.2,9
13,State,Kerala,39420,38470,-2.4,287,318,10.8,93,155,66.7,39800,38943,-2.2,8.2
14,State,Madhya Pradesh,51944,48590,-6.5,1648,1419,-13.9,225,128,-43.1,53817,50137,-6.8,10.6
15,State,Maharashtra,37886,28823,-23.9,7160,6818,-4.8,0,0,-,45046,35641,-20.9,7.5
16,State,Manipur,668,586,-12.3,0,0,NA,0,0,NA,668,586,-12.3,0.1
17,State,Meghalaya,282,286,1.4,0,0,NA,0,0,NA,282,286,1.4,0.1
18,State,Mizoram,64,65,1.6,0,0,NA,0,0,NA,64,65,1.6,0
19,State,Nagaland,53,60,13.2,0,0,-,14,9,-35.7,67,69,3,0
20,State,Odisha,10532,10855,3.1,117,380,224.8,126,1,-99.2,10775,11236,4.3,2.4
21,State,Punjab,6952,6322,-9.1,883,842,-4.6,5,3,-40,7840,7167,-8.6,1.5
22,State,Rajasthan,23066,22112,-4.1,723,607,-16,37,0,-100,23826,22719,-4.6,4.8
23,State,Sikkim,223,171,-23.3,0,0,NA,0,0,NA,223,171,-23.3,0
24,State,Tamil Nadu,71431,65562,-8.2,1852,2030,9.6,0,3,-,73283,67595,-7.8,14.2
25,State,Telangana,22811,22484,-1.4,902,698,-22.6,0,0,-,23713,23182,-2.2,4.9
26,State,Tripura,557,504,-9.5,0,7,-,14,24,71.4,571,535,-6.3,0.1
27,State,Uttar Pradesh,30608,34579,13,3301,3016,-8.6,634,729,15,34543,38324,10.9,8.1
28,State,Uttarakhand,1545,1580,2.3,13,13,0,33,19,-42.4,1591,1612,1.3,0.3
29,State,West Bengal,16949,13310,-21.5,2690,2723,1.2,165,154,-6.7,19804,16187,-18.3,3.4
State,State,Total (States),463134,436692,-5.7,25174,26306,4.5,2933,1573,-46.4,491241,464571,-5.4,97.9
30,Union Territory,A & N Islands,238,189,-20.6,0,0,NA,0,0,NA,238,189,-20.6,0
31,Union Territory,Chandigarh,426,336,-21.1,0,0,NA,0,0,NA,426,336,-21.1,0.1
32,Union Territory,D & N Haveli,70,67,-4.3,0,0,NA,0,0,NA,70,67,-4.3,0
33,Union Territory,Daman & Diu,43,79,83.7,0,0,NA,0,0,NA,43,79,83.7,0
34,Union Territory,Delhi (UT),7375,6672,-9.5,934,891,-4.6,6,15,150,8315,7578,-8.9,1.6
