Sl. No.,Category,State/UT/City,Road Accidents - Cases,Road Accidents - Injured,Road Accidents - Died,Railway Accidents - Cases,Railway Accidents - Injured,Railway Accidents - Died,Railway Crossing Accidents - Cases,Railway Crossing Accidents - Injured,Railway Crossing Accidents - Died,Total Traffic Accidents - Cases,Total Traffic Accidents - Injured,Total Traffic Accidents - Died
1,State,Andhra Pradesh,22456,27475,8060,1362,0,1365,0,0,0,23818,27475,9425
2,State,Arunachal Pradesh,127,171,72,0,0,0,0,0,0,127,171,72
3,State,Assam,6805,5277,2597,566,0,571,0,0,0,7371,5277,3168
4,State,Bihar,8855,6014,5554,1529,22,1525,239,0,238,10623,6036,7317
5,State,Chhattisgarh,13563,12528,4136,416,0,416,6,0,6,13985,12528,4558
6,State,Goa,3920,1739,334,52,0,52,0,0,0,3972,1739,386
7,State,Gujarat,18631,17955,7663,1018,0,1028,0,0,0,19649,17955,8691
8,State,Haryana,11682,10385,5469,2000,0,2000,93,6,87,13775,10391,7556
9,State,Himachal Pradesh,3111,5372,1180,0,0,0,0,0,0,3111,5372,1180
10,State,Jammu & Kashmir,5443,7189,876,65,0,67,0,0,0,5508,7189,943
11,State,Jharkhand,5198,3918,3256,421,0,421,10,0,10,5629,3918,3687
12,State,Karnataka,42542,52961,10609,6,0,6,0,0,0,42548,52961,10615
13,State,Kerala,38470,42671,4131,318,0,324,155,0,155,38943,42671,4610
14,State,Madhya Pradesh,48590,53114,10443,1419,33,1383,128,0,123,50137,53147,11949
15,State,Maharashtra,28823,27525,13020,6818,2806,4017,0,0,0,35641,30331,17037
16,State,Manipur,586,1029,132,0,0,0,0,0,0,586,1029,132
17,State,Meghalaya,286,379,232,0,0,0,0,0,0,286,379,232
18,State,Mizoram,65,46,67,0,0,0,0,0,0,65,46,67
19,State,Nagaland,60,79,45,0,0,0,9,0,9,69,79,54
20,State,Odisha,10855,11176,4623,380,0,386,1,0,1,11236,11176,5010
21,State,Punjab,6322,4161,4603,842,42,808,3,0,3,7167,4203,5414
22,State,Rajasthan,22112,22071,10444,607,33,581,0,0,0,22719,22104,11025
23,State,Sikkim,171,375,63,0,0,0,0,0,0,171,375,63
24,State,Tamil Nadu,65562,74571,16157,2030,89,1960,3,0,3,67595,74660,18120
25,State,Telangana,22484,23990,6596,698,0,702,0,0,0,23182,23990,7298
26,State,Tripura,504,716,163,7,0,7,24,0,26,535,716,196
27,State,Uttar Pradesh,34579,21600,20761,3016,365,2856,729,37,697,38324,22002,24314
28,State,Uttarakhand,1580,1415,918,13,0,15,19,0,17,1612,1415,950
29,State,West Bengal,13310,11624,5812,2723,37,2687,154,15,146,16187,11676,8645
State,State,Total (States),436692,447526,148016,26306,3427,23177,1573,58,1521,464571,451011,172714
30,Union Territory,A & N Islands,189,263,21,0,0,0,0,0,0,189,263,21
31,Union Territory,Chandigarh,336,292,112,0,0,0,0,0,0,336,292,112
32,Union Territory,D & N Haveli,67,60,43,0,0,0,0,0,0,67,60,43
33,Union Territory,Daman & Diu,79,70,36,0,0,0,0,0,0,79,70,36
34,Union Territory,Delhi (UT),6672,6086,1638,891,109,782,15,2,13,7578,6197,2433
35,Union Territory,Lakshadweep,2,2,0,0,0,0,0,0,0,2,2,0
36,Union Territory,Puducherry,1693,1941,227,0,0,0,0,0,0,1693,1941,227
Union Territory,Union Territory,Total (UTs),9038,8714,2077,891,109,782,15,2,13,9944,8825,2872
Total (All India),Total (All India),Total (All India),445730,456240,150093,27197,3536,23959,1588,60,1534,474515,459836,175586
37,City,Agra,278,227,278,0,0,0,14,0,14,292,227,292
38,City,Ahmedabad,1550,1297,349,38,0,38,0,0,0,1588,1297,387
39,City,Allahabad,742,441,327,0,0,0,0,0,0,742,441,327
40,City,Amritsar,119,100,67,0,0,0,0,0,0,119,100,67
41,City,Asansol,361,279,194,16,0,16,0,0,0,377,279,210
42,City,Aurangabad,643,450,193,24,0,24,0,0,0,667,450,217
43,City,Bengaluru,5064,4256,642,0,0,0,0,0,0,5064,4256,642
44,City,Bhopal,2618,2171,160,29,0,29,9,0,9,2656,2171,198
45,City,Chandigarh (City),319,279,109,0,0,0,0,0,0,319,279,109
46,City,Chennai,7257,6975,1299,0,0,0,0,0,0,7257,6975,1299
47,City,Coimbatore,1299,1191,277,0,0,0,0,0,0,1299,1191,277
48,City,Delhi (City),6023,5496,1406,891,109,782,15,2,13,6929,5607,2201
49,City,Dhanbad,213,109,100,0,0,0,0,0,0,213,109,100
50,City,Durg Bhilainagar,859,855,152,22,0,22,0,0,0,881,855,174
51,City,Faridabad,712,610,276,1,0,1,0,0,0,713,610,277
52,City,Ghaziabad,212,29,227,72,0,72,0,0,0,284,29,299
53,City,Gwalior,1291,1286,164,21,0,21,0,0,0,1312,1286,185
54,City,Hyderabad,2834,2370,310,0,0,0,0,0,0,2834,2370,310
55,City,Indore,3313,2516,314,28,0,28,0,0,0,3341,2516,342
56,City,Jabalpur,2335,2047,189,0,0,0,0,0,0,2335,2047,189
57,City,Jaipur,2983,2550,813,46,0,47,0,0,0,3029,2550,860
58,City,Jamshedpur,182,147,98,0,0,0,0,0,0,182,147,98
59,City,Jodhpur,620,516,292,0,0,0,0,0,0,620,516,292
60,City,Kannur,578,700,68,15,0,15,0,0,0,593,700,83
