Sl. No.,Category,State/UT/City,Road Accidents - Jan.,Road Accidents - Feb.,Road Accidents - Mar.,Road Accidents - Apr.,Road Accidents - May,Road Accidents - Jun.,Road Accidents - Jul.,Road Accidents - Aug.,Road Accidents - Sep.,Road Accidents - Oct.,Road Accidents - Nov.,Road Accidents - Dec.,Road Accidents - Total,Railway Crossing Accidents - Jan.,Railway Crossing Accidents - Feb.,Railway Crossing Accidents - Mar.,Railway Crossing Accidents - Apr.,Railway Crossing Accidents - May,Railway Crossing Accidents - Jun.,Railway Crossing Accidents - Jul.,Railway Crossing Accidents - Aug.,Railway Crossing Accidents - Sep.,Railway Crossing Accidents - Oct.,Railway Crossing Accidents - Nov.,Railway Crossing Accidents - Dec.,Railway Crossing Accidents - Total,Railway Accidents - Jan.,Railway Accidents - Feb.,Railway Accidents - Mar.,Railway Accidents - Apr.,Railway Accidents - May,Railway Accidents - Jun.,Railway Accidents - Jul.,Railway Accidents - Aug.,Railway Accidents - Sep.,Railway Accidents - Oct.,Railway Accidents - Nov.,Railway Accidents - Dec.,Railway Accidents - Total,Total Traffic Accidents - Jan.,Total Traffic Accidents - Feb.,Total Traffic Accidents - Mar.,Total Traffic Accidents - Apr.,Total Traffic Accidents - May,Total Traffic Accidents - Jun.,Total Traffic Accidents - Jul.,Total Traffic Accidents - Aug.,Total Traffic Accidents - Sep.,Total Traffic Accidents - Oct.,Total Traffic Accidents - Nov.,Total Traffic Accidents - Dec.,Total Traffic Accidents - Total
1,State,Andhra Pradesh,1967,1728,1968,1879,2042,1903,1733,1771,1799,1865,1936,1865,22456,0,0,0,0,0,0,0,0,0,0,0,0,0,122,75,102,109,132,126,110,121,113,138,98,116,1362,2089,1803,2070,1988,2174,2029,1843,1892,1912,2003,2034,1981,23818
2,State,Arunachal Pradesh,15,5,6,8,10,13,8,13,10,14,12,13,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,6,8,10,13,8,13,10,14,12,13,127
3,State,Assam,625,675,621,507,539,509,470,524,515,598,614,608,6805,0,0,0,0,0,0,0,0,0,0,0,0,0,39,38,49,52,55,49,39,38,47,58,55,47,566,664,713,670,559,594,558,509,562,562,656,669,655,7371
4,State,Bihar,737,758,758,791,969,859,641,597,602,653,789,701,8855,19,19,18,23,22,24,27,27,13,15,19,13,239,185,159,131,142,156,115,122,137,116,105,71,90,1529,941,936,907,956,1147,998,790,761,731,773,879,804,10623
5,State,Chhattisgarh,1289,1109,1151,1037,1137,1193,1022,1095,1104,1076,1164,1186,13563,1,0,0,0,1,1,2,0,0,0,1,0,6,34,24,44,41,29,31,37,32,37,38,41,28,416,1324,1133,1195,1078,1167,1225,1061,1127,1141,1114,1206,1214,13985
6,State,Goa,373,332,355,296,316,276,293,294,291,340,344,410,3920,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,6,4,4,10,4,4,1,3,2,52,377,336,361,302,320,280,303,298,295,341,347,412,3972
7,State,Gujarat,1593,1629,1672,1606,1806,1581,1237,1408,1424,1625,1515,1535,18631,0,0,0,0,0,0,0,0,0,0,0,0,0,77,90,68,79,108,93,71,94,96,87,81,74,1018,1670,1719,1740,1685,1914,1674,1308,1502,1520,1712,1596,1609,19649
8,State,Haryana,912,891,1003,970,1027,936,934,875,924,1043,1081,1086,11682,6,4,4,9,5,7,10,13,15,9,5,6,93,123,129,174,169,162,194,208,183,172,182,149,155,2000,1041,1024,1181,1148,1194,1137,1152,1071,1111,1234,1235,1247,13775
9,State,Himachal Pradesh,213,217,250,245,287,247,277,289,277,268,276,265,3111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,217,250,245,287,247,277,289,277,268,276,265,3111
10,State,Jammu & Kashmir,334,362,436,395,461,480,522,467,541,501,502,442,5443,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,7,5,6,4,4,5,8,7,5,2,65,342,366,443,400,467,484,526,472,549,508,507,444,5508
11,State,Jharkhand,472,435,461,401,470,452,380,364,361,413,485,504,5198,0,1,1,1,3,1,0,0,0,2,0,1,10,42,40,42,25,35,45,33,30,34,34,38,23,421,514,476,504,427,508,498,413,394,395,449,523,528,5629
12,State,Karnataka,3787,3411,3574,3601,3997,3519,3179,3308,3247,3558,3501,3860,42542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,6,3787,3412,3575,3602,3997,3520,3180,3309,3247,3558,3501,3860,42548
