Sl. No.,Category,State/UT/City,Road Accidents - 0000 hrs to 0300 hrs. (Night),Road Accidents - 0300 hrs to 0600 hrs. (Night),Road Accidents - 0600 hrs to 0900 hrs (Day),Road Accidents - 0900 hrs to 1200 hrs (Day),Road Accidents - 1200 hrs to 1500 hrs (Day),Road Accidents - 1500 hrs to 1800 hrs (Day),Road Accidents - 1800 hrs to 2100hrs (Night),Road Accidents - 2100 hrs. to 2400hrs (Night),Road Accidents - Total,Railway Crossing Accidents - 0000 hrs to 0300 hrs. (Night),Railway Crossing Accidents - 0300 hrs to 0600 hrs. (Night),Railway Crossing Accidents - 0600 hrs to 0900 hrs (Day),Railway Crossing Accidents - 0900 hrs to 1200 hrs (Day),Railway Crossing Accidents - 1200 hrs to 1500 hrs (Day),Railway Crossing Accidents - 1500 hrs to 1800 hrs (Day),Railway Crossing Accidents - 1800 hrs to 2100 hrs (Night),Railway Crossing Accidents - 2100 hrs. to 2400 hrs (Night),Railway Crossing Accidents - Total,Railway Accidents - 0000 hrs to 0300 hrs. (Night),Railway Accidents - 0300 hrs to 0600 hrs. (Night),Railway Accidents - 0600 hrs to 0900 hrs (Day),Railway Accidents - 0900 hrs to 1200 hrs (Day),Railway Accidents - 1200 hrs to 1500 hrs (Day),Railway Accidents - 1500 hrs to 1800 hrs (Day),Railway Accidents - 1800 hrs to 2100 hrs (Night),Railway Accidents - 2100 hrs. to 2400 hrs (Night),Railway Accidents - Total,Total (Traffic Accidents) - 0000 hrs to 0300 hrs. (Night),Total (Traffic Accidents) - 0300 hrs to 0600 hrs. (Night),Total (Traffic Accidents) - 0600 hrs to 0900 hrs (Day),Total (Traffic Accidents) - 0900 hrs to 1200 hrs (Day),Total (Traffic Accidents) - 1200 hrs to 1500 hrs (Day),Total (Traffic Accidents) - 1500 hrs to 1800 hrs (Day),Total (Traffic Accidents) - 1800 hrs to 2100 hrs (Night),Total (Traffic Accidents) - 2100 hrs. to 2400 hrs (Night),Total (Traffic Accidents) - Total
1,State,Andhra Pradesh,1241,1462,2309,2933,3229,3705,4007,2122,21008,0,0,0,0,0,0,0,1,1,229,160,284,315,145,132,112,148,1525,1470,1622,2593,3248,3374,3837,4119,2271,22534
2,State,Arunachal Pradesh,12,12,18,28,30,63,43,23,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,18,28,30,63,43,23,229
3,State,Assam,385,721,999,1166,985,1225,1002,697,7180,0,1,5,2,3,4,5,1,21,50,58,72,72,80,80,94,49,555,435,780,1076,1240,1068,1309,1101,747,7756
4,State,Bihar,477,1131,1714,1851,1483,1329,1065,550,9600,60,25,14,9,11,27,27,49,222,277,227,240,160,177,187,212,103,1583,814,1383,1968,2020,1671,1543,1304,702,11405
5,State,Chhattisgarh,673,721,1571,1859,2183,2643,2924,1291,13865,0,0,3,8,4,7,4,2,28,17,37,68,65,46,60,53,54,400,690,758,1642,1932,2233,2710,2981,1347,14293
6,State,Goa,279,212,389,564,538,632,648,448,3710,0,0,0,0,0,0,0,0,0,5,6,5,2,4,3,8,6,39,284,218,394,566,542,635,656,454,3749
7,State,Gujarat,1182,1101,1929,2862,2990,3129,3271,1950,18414,0,0,0,0,0,0,0,0,0,76,80,176,125,107,138,188,124,1014,1258,1181,2105,2987,3097,3267,3459,2074,19428
8,State,Haryana,883,1053,1360,1535,1733,1661,1923,1504,11652,1,1,0,0,1,0,1,2,6,326,197,216,189,203,229,318,463,2141,1210,1251,1576,1724,1937,1890,2242,1969,13799
9,State,Himachal Pradesh,143,106,246,419,462,577,733,433,3119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,106,246,419,462,577,733,433,3119
10,State,Jammu & Kashmir,232,338,509,999,1182,1276,979,482,5997,0,1,1,0,0,0,0,0,2,0,5,15,13,11,8,12,0,64,232,344,525,1012,1193,1284,991,482,6063
11,State,Jharkhand,243,304,762,953,830,976,883,443,5394,0,0,3,4,2,0,0,0,9,24,47,94,81,78,56,49,18,447,267,351,859,1038,910,1032,932,461,5850
12,State,Karnataka,2137,2465,4411,6069,6428,7355,8238,4604,41707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2137,2465,4411,6069,6428,7355,8238,4604,41707
13,State,Kerala,914,1075,4736,7396,6182,8011,8382,3485,40181,12,36,27,14,17,20,29,25,180,23,31,52,26,31,30,37,28,258,949,1142,4815,7436,6230,8061,8448,3538,40619
14,State,Madhya Pradesh,2432,2166,4282,7376,8329,8641,8988,5255,47469,12,10,31,21,24,21,21,12,152,203,192,208,186,199,162,155,154,1459,2647,2368,4521,7583,8552,8824,9164,5421,49080
15,State,Maharashtra,2088,2187,2945,3961,4453,4809,5351,3946,29740,0,0,0,0,0,0,0,0,0,459,394,872,986,891,834,1031,882,6349,2547,2581,3817,4947,5344,5643,6382,4828,36089
16,State,Manipur,36,31,59,82,96,116,130,52,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,31,59,82,96,116,130,52,602
17,State,Meghalaya,24,16,18,37,38,48,43,34,258,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24,16,18,38,38,48,43,34,259
18,State,Mizoram,3,5,6,6,7,12,7,4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,6,7,12,7,4,50
19,State,Nagaland,3,4,5,3,6,10,8,11,50,0,1,3,0,1,1,1,2,9,0,0,0,0,0,0,0,0,0,3,5,8,3,7,11,9,13,59
20,State,Odisha,680,780,1174,1584,1718,1993,2207,1126,11262,0,2,1,0,0,0,0,0,3,40,80,55,40,37,63,50,62,427,720,862,1230,1624,1755,2056,2257,1188,11692
21,State,Punjab,504,566,818,813,773,881,1257,812,6424,0,0,0,0,0,0,0,0,0,44,61,208,172,124,92,96,68,865,548,627,1026,985,897,973,1353,880,7289
22,State,Rajasthan,1112,1281,2150,3116,3565,4123,4184,2212,21743,0,0,0,0,0,2,1,0,3,51,48,111,98,86,92,90,79,655,1163,1329,2261,3214,3651,4217,4275,2291,22401
23,State,Sikkim,14,11,10,23,26,31,35,19,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,10,23,26,31,35,19,169
24,State,Tamil Nadu,2450,3319,7657,9384,9478,11171,14238,6223,63920,2,0,2,1,1,0,0,0,6,95,158,511,409,292,284,244,191,2184,2547,3477,8170,9794,9771,11455,14482,6414,66110
25,State,Telangana,1043,1183,2372,3196,3442,4249,4485,2260,22230,0,0,0,0,0,0,0,0,0,42,60,145,147,104,55,41,43,637,1085,1243,2517,3343,3546,4304,4526,2303,22867
26,State,Tripura,15,7,51,79,88,111,119,81,551,4,2,5,0,0,5,0,0,16,0,0,0,0,0,1,4,2,7,19,9,56,79,88,117,123,83,574
27,State,Uttar Pradesh,3468,3305,4289,4885,4590,5179,6300,4839,36855,53,68,93,93,81,83,95,90,656,373,413,448,395,417,411,413,402,3272,3894,3786,4830,5373,5088,5673,6808,5331,40783
28,State,Uttarakhand,107,138,196,178,175,237,260,178,1469,3,2,2,1,0,1,4,4,17,4,2,2,1,0,2,2,3,16,114,142,200,180,175,240,266,185,1502
29,State,West Bengal,979,1137,1379,1720,1795,1794,1688,1335,11827,0,3,13,65,37,20,2,2,142,124,214,418,818,487,285,301,109,2756,1103,1354,1810,2603,2319,2099,1991,1446,14725
State,State,Total (States),23759,26837,48364,65077,66834,75987,83398,46419,436675,147,152,203,219,182,191,190,190,1474,2462,2470,4200,4300,3519,3204,3510,2988,26653,26368,29459,52767,69596,70535,79382,87098,49597,464802
30,Union Territory,A & N Islands,6,10,35,38,40,48,52,25,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,35,38,40,48,52,25,254
31,Union Territory,Chandigarh,19,10,52,73,33,52,43,35,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,52,73,33,52,43,35,317
32,Union Territory,D & N Haveli,2,1,6,11,8,14,25,13,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,11,8,14,25,13,80
33,Union Territory,Daman & Diu,6,1,3,9,11,13,16,12,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,9,11,13,16,12,71
34,Union Territory,Delhi (UT),793,675,738,745,731,817,1059,959,6517,0,0,3,1,0,0,2,0,6,98,152,145,142,101,122,150,80,990,891,827,886,888,832,939,1211,1039,7513
35,Union Territory,Lakshadweep,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3
36,Union Territory,Puducherry,58,88,230,301,151,297,346,126,1597,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,58,88,230,301,151,297,346,127,1598
Union Territory,Union Territory,Total (UTs),884,785,1064,1177,975,1242,1542,1170,8839,0,0,3,1,0,0,2,1,7,98,152,145,142,101,122,150,80,990,982,937,1212,1320,1076,1364,1694,1251,9836
Total (All India),Total (All India),Total (All India),24643,27622,49428,66254,67809,77229,84940,47589,445514,147,152,206,220,182,191,192,191,1481,2560,2622,4345,4442,3620,3326,3660,3068,27643,27350,30396,53979,70916,71611,80746,88792,50848,474638
