Category,State/UT/City,Road Accidents_Case,Road Accidents_Injured,Road Accidents_Died,Railway Accidents_Case,Railway Accidents_Injured,Railway Accidents_Died,Railway Crossing Accidents_Case,Railway Crossing Accidents_Injured,Railway Crossing Accidents_Died,Total Traffic Accidents_Case,Total Traffic Accidents_Injured,Total Traffic Accidents_Died
State,ANDHRA PRADESH,20677,24619,7984,1511,1,1519,0,0,0,22188,24620,9503
State,ARUNACHAL PRADESH,200,275,109,0,0,0,0,0,0,200,275,109
State,ASSAM,8055,7081,3245,591,0,593,5,0,5,8651,7081,3843
State,BIHAR,10007,7206,7205,1589,0,1622,241,2,242,11837,7208,9069
State,CHHATTISGARH,13899,13089,5003,466,0,466,1,0,1,14366,13089,5470
State,GOA,3440,1460,299,50,0,50,0,0,0,3490,1460,349
State,GUJARAT,16503,15976,7428,994,0,1012,0,0,0,17497,15976,8440
State,HARYANA,10937,9247,5269,1362,126,1278,104,23,84,12403,9396,6631
State,HIMACHAL PRADESH,2896,4740,1124,0,0,0,0,0,0,2896,4740,1124
State,JAMMU & KASHMIR,5795,7517,1009,44,0,45,0,0,0,5839,7517,1054
State,JHARKHAND,5217,3818,3801,483,1,486,2,0,2,5702,3819,4289
State,KARNATAKA,40644,50442,10951,0,0,0,22,5,15,40666,50447,10966
State,KERALA,39944,44467,4370,250,1,254,160,0,158,40354,44468,4782
State,MADHYA PRADESH,51641,53765,11856,1508,99,1409,230,6,232,53379,53870,13497
State,MAHARASHTRA,27286,23289,14608,6338,2435,3916,0,0,0,33624,25724,18524
State,MANIPUR,672,1055,156,0,0,0,0,0,0,672,1055,156
State,MEGHALAYA,236,287,176,0,0,0,0,0,0,236,287,176
State,MIZORAM,57,25,63,0,0,0,0,0,0,57,25,63
State,NAGALAND,26,59,22,0,0,0,8,0,8,34,59,30
State,ODISHA,11064,11177,5333,444,0,446,0,0,0,11508,11177,5779
State,PUNJAB,6316,3726,4613,893,65,831,0,0,0,7209,3791,5444
State,RAJASTHAN,23478,22979,10563,803,30,775,0,0,0,24281,23009,11338
State,SIKKIM,172,329,84,0,0,0,0,0,0,172,329,84
State,TAMIL NADU,57228,67137,10525,2266,203,2081,5,0,5,59499,67340,12611
State,TELANGANA,21570,21999,6964,626,0,631,0,0,0,22196,21999,7595
State,TRIPURA,655,816,239,5,0,5,27,0,27,687,816,271
State,UTTAR PRADESH,37537,22251,23285,3980,502,3521,851,123,855,42368,22876,27661
State,UTTARAKHAND,1352,1457,867,41,0,42,8,0,10,1401,1457,919
State,WEST BENGAL,12233,11744,5724,2876,44,2832,113,6,107,15222,11794,8663
State,TOTAL (STATES),429737,432032,152875,27120,3507,23814,1777,165,1751,458634,435704,178440
UT,A & NISLANDS,230,207,20,0,0,0,0,0,0,230,207,20
UT,CHANDIGARH,304,275,104,0,0,0,0,0,0,304,275,104
UT,D & N HAVELI,68,105,49,0,0,0,0,0,0,68,105,49
UT,DAMAN & DIU,63,74,29,0,0,0,0,0,0,63,74,29
UT,DELHI (UT),5601,4949,1508,858,62,796,11,0,11,6470,5011,2315
UT,LAKSHADWEEP,1,1,0,0,0,0,0,0,0,1,1,0
UT,PUDUCHERRY,1392,1619,147,9,0,9,0,0,0,1401,1619,156
UT,TOTAL (UTs),7659,7230,1857,867,62,805,11,0,11,8537,7292,2673
TOTAL (ALL INDIA),TOTAL (ALL INDIA),437396,439262,154732,27987,3569,24619,1788,165,1762,467171,442996,181113
City,AGRA,292,106,316,0,0,0,42,0,42,334,106,358
City,AHMEDABAD,1380,1148,439,24,0,24,0,0,0,1404,1148,463
City,ALLAHABAD,776,523,283,0,0,0,0,0,0,776,523,283
City,AMRITSAR,133,76,95,0,0,0,0,0,0,133,76,95
City,ASANSOL,442,354,314,7,0,7,0,0,0,449,354,321
City,AURANGABAD,516,372,226,41,0,41,0,0,0,557,372,267
City,BENGALURU,4684,4250,768,0,0,0,0,0,0,4684,4250,768
City,BHOPAL,2516,1909,123,20,0,20,12,0,12,2548,1909,155
City,CHANDIGARH (CITY),304,275,104,0,0,0,0,0,0,304,275,104
City,CHENNAI,6871,6702,1252,0,0,0,0,0,0,6871,6702,1252
City,COIMBATORE,1062,1073,132,0,0,0,0,0,0,1062,1073,132
City,DELHI (CITY),5349,4739,1400,858,62,796,11,0,11,6218,4801,2207
City,DHANBAD,171,75,127,0,0,0,0,0,0,171,75,127
City,DURG BHILAINAGAR,533,654,93,34,0,34,0,0,0,567,654,127
City,FARIDABAD,736,635,311,0,0,0,0,0,0,736,635,311
City,GHAZIABAD,197,28,201,59,0,59,0,0,0,256,28,260
City,GWALIOR,1218,1159,128,0,0,0,29,0,29,1247,1159,157
City,HYDERABAD,2900,2649,271,0,0,0,0,0,0,2900,2649,271
City,INDORE,3336,2606,297,13,0,13,0,0,0,3349,2606,310
City,JABALPUR,2167,2222,209,0,0,0,0,0,0,2167,2222,209
City,JAIPUR,3045,2451,721,136,0,138,0,0,0,3181,2451,859
City,JAMSHEDPUR,191,129,92,0,0,0,0,0,0,191,129,92
City,JODHPUR,686,527,260,0,0,0,0,0,0,686,527,260
City,KANNUR,657,811,82,30,1,30,0,0,0,687,812,112
City,KANPUR,1053,485,568,0,0,0,91,0,91,1144,485,659
City,KOCHI,2138,2254,155,0,0,0,16,0,16,2154,2254,171
City,KOLKATA,2068,2004,267,0,0,0,0,0,0,2068,2004,267
City,KOLLAM,1940,1981,225,0,0,0,23,0,23,1963,1981,248
City,KOTA,491,486,96,0,0,0,0,0,0,491,486,96
City,KOZHIKODE,1597,1597,179,11,0,11,8,0,8,1616,1597,198
City,LUCKNOW,879,570,360,56,18,38,3,0,3,938,588,401
City,LUDHIANA,526,291,365,0,0,0,0,0,0,526,291,365
City,MADURAI,866,799,193,0,0,0,0,0,0,866,799,193
City,MALAPPURAM,838,902,149,4,0,4,0,0,0,842,902,153
City,MEERUT,511,359,186,0,0,0,17,0,17,528,359,203
City,MUMBAI,588,106,483,2,0,2,0,0,0,590,106,485
City,NAGPUR,1119,899,270,46,0,46,0,0,0,1165,899,316
City,NASIK,189,36,189,34,0,34,0,0,0,223,36,223
City,PATNA,524,332,192,0,0,0,0,0,0,524,332,192
City,PUNE,308,94,227,29,5,29,0,0,0,337,99,256
City,RAIPUR,1257,729,142,42,0,42,0,0,0,1299,729,184
City,RAJKOT,575,437,170,19,0,19,0,0,0,594,437,189
City,RANCHI,354,241,233,0,0,0,0,0,0,354,241,233
City,SRINAGAR,310,323,45,0,0,0,0,0,0,310,323,45
City,SURAT,865,718,292,25,0,25,0,0,0,890,718,317
