Si. No.,Category,State/UT/City,Below 14 years - Male,Below 14 years - Female,Below 14 years - Transgender,Below 14 years - Total,14 and Above-Below 18 years - Male,14 and Above-Below 18 years - Female,14 and Above-Below 18 years - Transgender,14 and Above-Below 18 years - Total,18 and Above-Below 30 years - Male,18 and Above-Below 30 years - Female,18 and Above-Below 30 years - Transgender,18 and Above-Below 30 years - Total,30 and Above-Below 45 years - Male,30 and Above-Below 45 years - Female,30 and Above-Below 45 years - Transgender,30 and Above-Below 45 years - Total,45 and Above-Below 60 years - Male,45 and Above-Below 60 years - Female,45 and Above-Below 60 years - Transgender,45 and Above-Below 60 years - Total,60 years & Above - Male,60 years & Above - Female,60 years & Above - Transgender,60 years & Above - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
1,State,Andhra Pradesh,377,154,0,531,572,123,0,695,2865,429,1,3295,3940,684,0,4624,2942,676,0,3618,1366,524,0,1890,12062,2590,1,14653
2,State,Arunachal Pradesh,6,5,0,11,15,5,0,20,123,23,0,146,105,7,0,112,53,6,0,59,6,0,0,6,308,46,0,354
3,State,Assam,145,72,0,217,429,126,0,555,1416,252,0,1668,1285,257,0,1542,701,96,0,797,111,23,0,134,4087,826,0,4913
4,State,Bihar,1038,347,0,1385,2105,591,0,2696,3648,802,0,4450,2725,758,0,3483,1428,403,0,1831,472,157,0,629,11416,3058,0,14474
5,State,Chhattisgarh,996,647,0,1643,770,425,0,1195,4237,1346,0,5583,4455,1181,0,5636,3169,802,0,3971,1428,601,0,2029,15055,5002,0,20057
6,State,Goa,6,6,0,12,15,5,0,20,142,13,0,155,140,13,0,153,128,23,0,151,98,22,0,120,529,82,0,611
7,State,Gujarat,414,230,0,644,634,212,0,846,4211,882,1,5094,5838,1004,0,6842,4492,692,1,5185,1760,428,0,2188,17349,3448,2,20799
8,State,Haryana,309,136,0,445,446,214,0,660,3970,765,0,4735,4494,588,0,5082,2652,300,0,2952,806,169,0,975,12677,2172,0,14849
9,State,Himachal Pradesh,51,46,0,97,51,22,0,73,531,80,0,611,805,124,0,929,610,87,0,697,262,82,0,344,2310,441,0,2751
10,State,Jharkhand,170,65,0,235,746,182,0,928,1828,435,0,2263,1579,356,0,1935,921,243,0,1164,256,109,0,365,5500,1390,0,6890
11,State,Karnataka,440,233,0,673,916,190,0,1106,4524,766,1,5291,6708,1123,6,7837,5247,1043,1,6291,2515,685,0,3200,20350,4040,8,24398
12,State,Kerala,237,141,0,378,126,48,0,174,1255,170,0,1425,2373,386,0,2759,3721,711,0,4432,2793,1020,0,3813,10505,2476,0,12981
13,State,Madhya Pradesh,2274,1329,0,3603,1832,1065,0,2897,9076,2725,0,11801,9330,2411,0,11741,5729,1444,0,7173,2335,968,0,3303,30576,9942,0,40518
14,State,Maharashtra,1248,914,0,2162,1367,492,1,1860,8939,2339,0,11278,14788,2869,0,17657,12886,2557,1,15444,6860,2545,0,9405,46088,11716,2,57806
15,State,Manipur,7,4,0,11,15,2,0,17,87,15,0,102,99,15,0,114,30,4,0,34,9,1,0,10,247,41,0,288
16,State,Meghalaya,35,15,0,50,29,7,0,36,124,17,0,141,120,22,0,142,70,8,0,78,32,12,0,44,410,81,0,491
17,State,Mizoram,6,3,0,9,11,2,0,13,61,6,0,67,54,8,0,62,30,5,0,35,8,1,0,9,170,25,0,195
18,State,Nagaland,6,1,0,7,3,0,0,3,27,1,0,28,25,3,0,28,4,1,0,5,2,1,0,3,67,7,0,74
19,State,Odisha,406,154,0,560,2573,629,0,3202,3902,877,0,4779,3960,935,0,4895,2419,649,0,3068,1873,511,0,2384,15133,3755,0,18888
20,State,Punjab,215,54,0,269,356,97,0,453,2075,356,0,2431,2798,405,0,3203,2062,284,0,2346,761,110,0,871,8267,1306,0,9573
21,State,Rajasthan,485,253,0,738,1194,377,0,1571,6013,1227,0,7240,6281,1260,0,7541,3451,647,1,4099,931,264,0,1195,18355,4028,1,22384
22,State,Sikkim,10,9,0,19,4,2,0,6,54,16,0,70,90,23,0,113,62,8,0,70,16,5,0,21,236,63,0,299
23,State,Tamil Nadu,469,250,0,719,615,206,0,821,3227,680,1,3908,4189,873,0,5062,3968,860,1,4829,2228,823,0,3051,14696,3692,2,18390
24,State,Telangana,261,84,0,345,406,139,0,545,2643,396,0,3039,3316,601,0,3917,2500,478,0,2978,742,256,0,998,9868,1954,0,11822
25,State,Tripura,30,18,0,48,38,15,0,53,132,31,0,163,171,43,0,214,128,24,0,152,45,19,0,64,544,150,0,694
26,State,Uttar Pradesh,266,131,0,397,3018,679,0,3697,8679,1859,0,10538,7796,1860,0,9656,4639,963,0,5602,1461,340,0,1801,25859,5832,0,31691
