Si. No.,Category,State/UT,Road Accidents - 2018,Road Accidents - 2019,Road Accidents - % Var,Railway Accidents - 2018,Railway Accidents - 2019,Railway Accidents - % Var,Railway Crossing Accidents - 2018,Railway Crossing Accidents - 2019,Railway Crossing Accidents - % Var,Total Traffic Accidents - 2018,Total Traffic Accidents - 2019,Total Traffic Accidents - % Var,% Share
1,State,Andhra Pradesh,20677,17924,-13.3,1511,611,-59.6,0,0,NA,22188,18535,-16.5,5
2,State,Arunachal Pradesh,200,159,-20.5,0,0,NA,0,0,NA,200,159,-20.5,0
3,State,Assam,8055,6737,-16.4,591,413,-30.1,5,8,60,8651,7158,-17.3,1.9
4,State,Bihar,10007,8639,-13.7,1589,780,-50.9,241,191,-20.7,11837,9610,-18.8,2.6
5,State,Chhattisgarh,13899,11674,-16,466,328,-29.6,1,4,300,14366,12006,-16.4,3.3
6,State,Goa,3440,2375,-31,50,23,-54,0,0,NA,3490,2398,-31.3,0.7
7,State,Gujarat,16503,13407,-18.8,994,490,-50.7,0,1,NA,17497,13898,-20.6,3.8
8,State,Haryana,10937,9506,-13.1,1362,523,-61.6,104,57,-45.2,12403,10086,-18.7,2.7
9,State,Himachal Pradesh,2896,2235,-22.8,0,0,NA,0,0,NA,2896,2235,-22.8,0.6
10,State,Jharkhand,5217,4405,-15.6,483,274,-43.3,2,22,1000,5702,4701,-17.6,1.3
11,State,Karnataka,40644,34178,-15.9,0,0,NA,22,0,-100,40666,34178,-16,9.3
12,State,Kerala,39944,27799,-30.4,250,110,-56,160,89,-44.4,40354,27998,-30.6,7.6
13,State,Madhya Pradesh,51641,42396,-17.9,1508,820,-45.6,230,144,-37.4,53379,43360,-18.8,11.8
14,State,Maharashtra,27286,22211,-18.6,6338,2697,-57.4,0,0,NA,33624,24908,-25.9,6.8
15,State,Manipur,672,432,-35.7,0,0,NA,0,0,NA,672,432,-35.7,0.1
16,State,Meghalaya,236,205,-13.1,0,0,NA,0,0,NA,236,205,-13.1,0.1
17,State,Mizoram,57,47,-17.5,0,0,NA,0,0,NA,57,47,-17.5,0
18,State,Nagaland,26,27,3.8,0,0,NA,8,3,-62.5,34,30,-11.8,0
19,State,Odisha,11064,9817,-11.3,444,279,-37.2,0,2,NA,11508,10098,-12.3,2.7
20,State,Punjab,6316,5173,-18.1,893,342,-61.7,0,2,NA,7209,5517,-23.5,1.5
21,State,Rajasthan,23478,19121,-18.6,803,429,-46.6,0,0,NA,24281,19550,-19.5,5.3
22,State,Sikkim,172,108,-37.2,0,0,NA,0,0,NA,172,108,-37.2,0
23,State,Tamil Nadu,57228,45484,-20.5,2266,959,-57.7,5,0,-100,59499,46443,-21.9,12.6
24,State,Telangana,21570,19172,-11.1,626,333,-46.8,0,0,NA,22196,19505,-12.1,5.3
25,State,Tripura,655,466,-28.9,5,2,-60,27,23,-14.8,687,491,-28.5,0.1
26,State,Uttar Pradesh,37537,28653,-23.7,3980,1560,-60.8,851,380,-55.3,42368,30593,-27.8,8.3
27,State,Uttarakhand,1352,1050,-22.3,41,5,-87.8,8,3,-62.5,1401,1058,-24.5,0.3
28,State,West Bengal,12233,10843,-11.4,2876,1505,-47.7,113,83,-26.5,15222,12431,-18.3,3.4
Total (States),Total (States),Total (States),423942,344243,-18.8,27076,12483,-53.9,1777,1012,-43.1,452795,357738,-21,97
29,Union Territories,A & N Islands,230,141,-38.7,0,0,NA,0,0,NA,230,141,-38.7,0
30,Union Territories,Chandigarh,304,157,-48.4,0,0,NA,0,0,NA,304,157,-48.4,0
31,Union Territories,D & N Haveli and Daman & Diu,131,98,NA,0,0,NA,0,0,NA,131,98,NA,0
32,Union Territories,Delhi (UT),5601,4187,-25.2,858,526,-38.7,11,2,-81.8,6470,4715,-27.1,1.3
