Si. No.,Category,State/UT/City,Road Accidents - Case,Road Accidents - Injured,Road Accidents - Died,Railway Accidents - Case,Railway Accidents - Injured,Railway Accidents - Died,Railway Crossing Accidents - Case,Railway Crossing Accidents - Injured,Railway Crossing Accidents - Died,Total Traffic Accidents - Case,Total Traffic Accidents - Injured,Total Traffic Accidents - Died
1,State,Andhra Pradesh,17924,19675,7039,611,0,613,0,0,0,18535,19675,7652
2,State,Arunachal Pradesh,159,143,90,0,0,0,0,0,0,159,143,90
3,State,Assam,6737,5065,2813,413,3,413,8,0,9,7158,5068,3235
4,State,Bihar,8639,7019,6698,780,3,781,191,0,191,9610,7022,7670
5,State,Chhattisgarh,11674,10549,4616,328,1,327,4,0,4,12006,10550,4947
6,State,Goa,2375,875,224,23,0,23,0,0,0,2398,875,247
7,State,Gujarat,13407,11984,6200,490,0,492,1,0,1,13898,11984,6693
8,State,Haryana,9506,7627,4631,523,20,504,57,1,56,10086,7648,5191
9,State,Himachal Pradesh,2235,3208,864,0,0,0,0,0,0,2235,3208,864
10,State,Jharkhand,4405,3295,3044,274,5,266,22,0,22,4701,3300,3332
11,State,Karnataka,34178,39492,9760,0,0,0,0,0,0,34178,39492,9760
12,State,Kerala,27799,30502,2977,110,5,110,89,0,91,27998,30507,3178
13,State,Madhya Pradesh,42396,41782,11665,820,0,822,144,2,142,43360,41784,12629
14,State,Maharashtra,22211,17165,12018,2697,792,1922,0,0,0,24908,17957,13940
15,State,Manipur,432,662,127,0,0,0,0,0,0,432,662,127
16,State,Meghalaya,205,212,138,0,0,0,0,0,0,205,212,138
17,State,Mizoram,47,45,53,0,0,0,0,0,0,47,45,53
18,State,Nagaland,27,30,27,0,0,0,3,0,3,30,30,30
19,State,Odisha,9817,8822,4738,279,0,280,2,0,2,10098,8822,5020
20,State,Punjab,5173,2881,3916,342,15,329,2,0,4,5517,2896,4249
21,State,Rajasthan,19121,16783,9252,429,15,415,0,0,0,19550,16798,9667
22,State,Sikkim,108,196,42,0,0,0,0,0,0,108,196,42
23,State,Tamil Nadu,45484,50551,8059,959,64,902,0,0,0,46443,50615,8961
24,State,Telangana,19172,18661,6882,333,0,337,0,0,0,19505,18661,7219
25,State,Tripura,466,470,192,2,0,2,23,0,23,491,470,217
26,State,Uttar Pradesh,28653,15982,19037,1560,31,1558,380,56,561,30593,16069,21156
27,State,Uttarakhand,1050,862,693,5,1,4,3,0,3,1058,863,700
28,State,West Bengal,10843,9556,5171,1505,61,1444,83,12,71,12431,9629,6686
Total (States),Total (States),Total (States),344243,324094,130966,12483,1016,11544,1012,71,1183,357738,325181,143693
29,Union Territories,A & N Islands,141,145,14,0,0,0,0,0,0,141,145,14
30,Union Territories,Chandigarh,157,148,53,0,0,0,0,0,0,157,148,53
31,Union Territories,D & N Haveli and Daman & Diu,98,119,64,0,0,0,0,0,0,98,119,64
32,Union Territories,Delhi (UT),4187,3454,1196,526,111,415,2,0,2,4715,3565,1613
33,Union Territories,Jammu & Kashmir,4861,5924,731,9,0,9,0,0,0,4870,5924,740
34,Union Territories,Ladakh,139,146,32,0,0,0,0,0,0,139,146,32
35,Union Territories,Lakshadweep,1,1,0,0,0,0,0,0,0,1,1,0
36,Union Territories,Puducherry,969,1019,145,0,0,0,0,0,0,969,1019,145
Total (UTs),Total (UTs),Total (UTs),10553,10956,2235,535,111,424,2,0,2,11090,11067,2661
Total (All India),Total (All India),Total (All India),354796,335050,133201,13018,1127,11968,1014,71,1185,368828,336248,146354
38,City,Agra,216,18,216,0,0,0,16,0,16,232,18,232
39,City,Ahmedabad,1185,786,340,30,0,30,0,0,0,1215,786,370
40,City,Allahabad,221,167,60,0,0,0,0,0,0,221,167,60
41,City,Amritsar,100,59,66,0,0,0,0,0,0,100,59,66
42,City,Asansol,427,246,314,4,0,4,0,0,0,431,246,318
43,City,Aurangabad,372,258,163,22,0,22,0,0,0,394,258,185
44,City,Bengaluru,3233,2751,646,0,0,0,0,0,0,3233,2751,646
45,City,Bhopal,1590,1227,93,28,0,28,2,0,2,1620,1227,123
46,City,Chandigarh (City),157,148,53,0,0,0,0,0,0,157,148,53
47,City,Chennai,4389,4263,872,0,0,0,0,0,0,4389,4263,872
48,City,Coimbatore,707,722,65,0,0,0,0,0,0,707,722,65
49,City,Delhi (City),4028,3306,1151,526,111,415,2,0,2,4556,3417,1568
50,City,Dhanbad,164,98,83,0,0,0,0,0,0,164,98,83
51,City,Durg Bhilainagar,603,538,69,14,0,14,0,0,0,617,538,83
52,City,Faridabad,524,421,230,0,0,0,0,0,0,524,421,230
53,City,Ghaziabad,154,18,164,21,0,21,0,0,0,175,18,185
54,City,Gwalior,1013,960,130,0,0,0,21,0,21,1034,960,151
55,City,Hyderabad,2064,1892,254,1,0,1,0,0,0,2065,1892,255
56,City,Indore,2101,1795,213,11,0,11,0,0,0,2112,1795,224
57,City,Jabalpur,1916,1909,232,30,0,30,0,0,0,1946,1909,262
58,City,Jaipur,1940,1566,606,101,0,102,0,0,0,2041,1566,708
59,City,Jamshedpur,119,91,47,0,0,0,0,0,0,119,91,47
60,City,Jodhpur,481,345,206,0,0,0,0,0,0,481,345,206
