Si. No.,Category,State/UT/City,Road Accidents - Jan,Road Accidents - Feb,Road Accidents - Mar,Road Accidents - April,Road Accidents - May,Road Accidents - June,Road Accidents - July,Road Accidents - Aug,Road Accidents - Sept,Road Accidents - Oct,Road Accidents - Nov,Road Accidents - Dec,Road Accidents - Total,Railway Crossing Accidents - Jan,Railway Crossing Accidents - Feb,Railway Crossing Accidents - Mar,Railway Crossing Accidents - April,Railway Crossing Accidents - May,Railway Crossing Accidents - June,Railway Crossing Accidents - July,Railway Crossing Accidents - Aug,Railway Crossing Accidents - Sept,Railway Crossing Accidents - Oct,Railway Crossing Accidents - Nov,Railway Crossing Accidents - Dec,Railway Crossing Accidents - Total,Railway Accidents - Jan,Railway Accidents - Feb,Railway Accidents - Mar,Railway Accidents - April,Railway Accidents - May,Railway Accidents - June,Railway Accidents - July,Railway Accidents - Aug,Railway Accidents - Sept,Railway Accidents - Oct,Railway Accidents - Nov,Railway Accidents - Dec,Railway Accidents - Total,Total Traffic Accidents - Jan,Total Traffic Accidents - Feb,Total Traffic Accidents - Mar,Total Traffic Accidents - April,Total Traffic Accidents - May,Total Traffic Accidents - June,Total Traffic Accidents - July,Total Traffic Accidents - Aug,Total Traffic Accidents - Sept,Total Traffic Accidents - Oct,Total Traffic Accidents - Nov,Total Traffic Accidents - Dec,Total Traffic Accidents - Total
1,State,Andhra Pradesh,1888,1894,1522,485,1044,1338,1235,1410,1578,1749,1862,1919,17924,0,0,0,0,0,0,0,0,0,0,0,0,0,119,107,96,7,22,38,28,32,40,44,35,43,611,2007,2001,1618,492,1066,1376,1263,1442,1618,1793,1897,1962,18535
2,State,Arunachal Pradesh,19,20,17,4,9,4,10,4,6,16,23,27,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,17,4,9,4,10,4,6,16,23,27,159
3,State,Assam,832,824,658,148,358,513,407,446,507,617,680,747,6737,0,0,0,0,0,1,0,0,0,1,2,4,8,65,66,51,10,15,22,20,25,26,45,41,27,413,897,890,709,158,373,536,427,471,533,663,723,778,7158
4,State,Bihar,781,866,731,404,523,792,660,679,753,674,803,973,8639,21,22,20,14,6,8,14,16,19,16,13,22,191,113,80,75,15,52,63,55,49,57,56,75,90,780,915,968,826,433,581,863,729,744,829,746,891,1085,9610
5,State,Chhattisgarh,1382,1269,951,309,716,932,957,923,875,1027,1170,1163,11674,1,0,2,0,0,1,0,0,0,0,0,0,4,47,54,36,20,8,32,21,17,25,22,20,26,328,1430,1323,989,329,724,965,978,940,900,1049,1190,1189,12006
6,State,Goa,341,317,196,83,156,156,129,144,156,183,242,272,2375,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,3,1,1,0,6,2,1,23,343,319,198,84,158,159,130,145,156,189,244,273,2398
7,State,Gujarat,1536,1538,1231,347,667,956,959,972,1087,1284,1377,1453,13407,0,0,0,0,0,0,0,0,0,1,0,0,1,80,68,66,15,23,32,36,24,25,43,37,41,490,1616,1606,1297,362,690,988,995,996,1112,1328,1414,1494,13898
8,State,Haryana,894,939,774,215,511,742,803,850,830,995,974,979,9506,6,3,6,4,4,4,4,7,4,6,5,4,57,64,66,70,22,30,40,39,50,43,35,29,35,523,964,1008,850,241,545,786,846,907,877,1036,1008,1018,10086
9,State,Himachal Pradesh,189,190,173,48,118,138,224,217,213,280,222,223,2235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,190,173,48,118,138,224,217,213,280,222,223,2235
10,State,Jharkhand,429,466,405,92,183,397,312,339,351,426,483,522,4405,5,0,1,0,3,1,1,5,3,2,1,0,22,37,51,26,8,9,22,16,22,15,17,25,26,274,471,517,432,100,195,420,329,366,369,445,509,548,4701
