Si. No.,Category,State/UT/City,Road Accidents - 0000 hrs to 0300 hrs. (Night),Road Accidents - 0300 hrs to 0600 hrs. (Night),Road Accidents - 0600 hrs to 0900 hrs. (Day),Road Accidents - 0900 hrs to 1200 hrs. (Day),Road Accidents - 1200 hrs to 1500 hrs. (Day),Road Accidents - 1500 hrs to 1800 hrs. (Day),Road Accidents - 1800 hrs to 2100 hrs. (Night),Road Accidents - 2100 hrs to 2400 hrs. (Night),Road Accidents - Total,Railway Crossing Accidents - 0000 hrs to 0300 hrs. (Night),Railway Crossing Accidents - 0300 hrs to 0600 hrs. (Night),Railway Crossing Accidents - 0600 hrs to 0900 hrs. (Day),Railway Crossing Accidents - 0900 hrs to 1200 hrs. (Day),Railway Crossing Accidents - 1200 hrs to 1500 hrs. (Day),Railway Crossing Accidents - 1500 hrs to 1800 hrs. (Day),Railway Crossing Accidents - 1800 hrs to 2100 hrs. (Night),Railway Crossing Accidents - 2100 hrs to 2400 hrs. (Night),Railway Crossing Accidents - Total,Railway Accidents - 0000 hrs to 0300 hrs. (Night),Railway Accidents - 0300 hrs to 0600 hrs. (Night),Railway Accidents - 0600 hrs to 0900 hrs. (Day),Railway Accidents - 0900 hrs to 1200 hrs. (Day),Railway Accidents - 1200 hrs to 1500 hrs. (Day),Railway Accidents - 1500 hrs to 1800 hrs. (Day),Railway Accidents - 1800 hrs to 2100 hrs. (Night),Railway Accidents - 2100 hrs to 2400 hrs. (Night),Railway Accidents - Total,Total (Traffic Accidents) - 0000 hrs to 0300 hrs. (Night),Total (Traffic Accidents) - 0300 hrs to 0600 hrs. (Night),Total (Traffic Accidents) - 0600 hrs to 0900 hrs. (Day),Total (Traffic Accidents) - 0900 hrs to 1200 hrs. (Day),Total (Traffic Accidents) - 1200 hrs to 1500 hrs. (Day),Total (Traffic Accidents) - 1500 hrs to 1800 hrs. (Day),Total (Traffic Accidents) - 1800 hrs to 2100 hrs. (Night),Total (Traffic Accidents) - 2100 hrs to 2400 hrs. (Night),Total (Traffic Accidents) - Total
1,State,Andhra Pradesh,483,966,2242,2776,2748,3476,3793,1440,17924,0,0,0,0,0,0,0,0,0,27,34,159,158,68,79,47,39,611,510,1000,2401,2934,2816,3555,3840,1479,18535
2,State,Arunachal Pradesh,7,4,15,22,24,34,34,19,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,15,22,24,34,34,19,159
3,State,Assam,495,577,726,1205,1114,1087,915,618,6737,1,1,0,0,0,0,3,3,8,35,64,52,55,75,61,69,2,413,531,642,778,1260,1189,1148,987,623,7158
4,State,Bihar,422,837,1100,1599,1093,1829,1178,581,8639,12,24,30,20,26,25,26,28,191,65,88,89,102,122,100,101,113,780,499,949,1219,1721,1241,1954,1305,722,9610
5,State,Chhattisgarh,598,738,1225,1808,2083,2228,2082,912,11674,0,0,1,0,1,0,2,0,4,31,58,57,36,32,29,44,41,328,629,796,1283,1844,2116,2257,2128,953,12006
6,State,Goa,175,95,208,372,338,413,463,311,2375,0,0,0,0,0,0,0,0,0,7,2,7,1,1,2,2,1,23,182,97,215,373,339,415,465,312,2398
7,State,Gujarat,777,808,1476,2035,2207,2272,2616,1216,13407,0,0,0,1,0,0,0,0,1,46,32,63,61,48,67,90,83,490,823,840,1539,2097,2255,2339,2706,1299,13898
8,State,Haryana,547,800,1110,1216,1299,1453,1876,1205,9506,5,5,7,10,5,9,8,8,57,50,54,86,65,81,82,62,43,523,602,859,1203,1291,1385,1544,1946,1256,10086
9,State,Himachal Pradesh,101,47,190,283,292,471,545,306,2235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,47,190,283,292,471,545,306,2235
10,State,Jharkhand,213,266,575,827,817,698,664,345,4405,0,5,0,6,2,3,6,0,22,14,41,43,48,43,37,31,17,274,227,312,618,881,862,738,701,362,4701
11,State,Karnataka,1835,1921,3459,5098,5630,5774,6914,3547,34178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1835,1921,3459,5098,5630,5774,6914,3547,34178
12,State,Kerala,630,958,3517,5141,4216,5635,5690,2012,27799,9,16,16,6,8,9,11,14,89,4,14,20,12,13,18,18,11,110,643,988,3553,5159,4237,5662,5719,2037,27998
13,State,Madhya Pradesh,1994,1731,3672,5860,7190,7994,9008,4947,42396,8,18,17,23,16,24,21,17,144,102,106,109,125,117,79,82,100,820,2104,1855,3798,6008,7323,8097,9111,5064,43360
14,State,Maharashtra,1442,1299,2301,3058,3369,3712,4365,2665,22211,0,0,0,0,0,0,0,0,0,182,151,328,463,386,403,431,353,2697,1624,1450,2629,3521,3755,4115,4796,3018,24908
15,State,Manipur,8,5,52,71,71,95,91,39,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,52,71,71,95,91,39,432
16,State,Meghalaya,15,14,18,24,26,29,42,37,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,18,24,26,29,42,37,205
