Category (Col. 1),State/UT/City (Col. 2),Number of Accidental Deaths - Forces of Nature (Col. 3),Number of Accidental Deaths - Other Causes (Col. 4),Number of Accidental Deaths - Total (Col. 5),Percentage Share in Total Deaths (Col. 6),Projected Mid-Year Population (in Lakh) (Col. 7),Rate of Accidental Deaths (Col. 8) = (Col.5/ Col.7)
State,Andhra Pradesh,162,15882,16044,4,528.5,30.4
State,Arunachal Pradesh,12,379,391,0.1,15.4,25.4
State,Assam,27,4497,4524,1.1,351.6,12.9
State,Bihar,830,14575,15405,3.9,1237,12.5
State,Chhattisgarh,244,17281,17525,4.4,296.1,59.2
State,Goa,3,593,596,0.1,15.6,38.2
State,Gujarat,125,21927,22052,5.5,700.8,31.5
State,Haryana,55,15437,15492,3.9,296,52.3
State,Himachal Pradesh,134,2869,3003,0.8,74.1,40.5
State,Jharkhand,410,6959,7369,1.9,386.4,19.1
State,Karnataka,154,25124,25278,6.4,669.9,37.7
State,Kerala,45,13841,13886,3.5,355.4,39.1
State,Madhya Pradesh,680,39830,40510,10.2,848.6,47.7
State,Maharashtra,761,57481,58242,14.7,1247.6,46.7
State,Manipur,1,276,277,0.1,31.7,8.7
State,Meghalaya,16,550,566,0.1,33,17.2
State,Mizoram,2,230,232,0.1,12.2,19
State,Nagaland,1,72,73,0,22,3.3
State,Odisha,1746,17917,19663,4.9,457.9,42.9
State,Punjab,253,10192,10445,2.6,304,34.4
State,Rajasthan,164,23033,23197,5.8,795.7,29.2
State,Sikkim,8,225,233,0.1,6.8,34.3
State,Tamil Nadu,130,28156,28286,7.1,764.8,37
State,Telangana,112,12985,13097,3.3,377.7,34.7
State,Tripura,7,631,638,0.2,40.8,15.6
State,Uttar Pradesh,376,36145,36521,9.2,2317,15.8
State,Uttarakhand,89,1688,1777,0.4,114.4,15.5
State,West Bengal,459,15239,15698,3.9,982.9,16
Total (States),Total (States),7006,384014,391020,98.4,13283.6,29.4
UT,Andaman and Nicobar Islands,4,206,210,0.1,4,52.5
UT,Chandigarh,0,379,379,0.1,12.1,31.3
UT,Dadra and Nagar Haveli and Daman and Diu,1,273,274,0.1,11.1,24.7
UT,Delhi,0,3185,3185,0.8,207,15.4
UT,Jammu and Kashmir,52,1334,1386,0.3,134.4,10.3
UT,Ladakh,63,90,153,0,3,51
UT,Lakshadweep,0,6,6,0,0.7,8.6
UT,Puducherry,0,917,917,0.2,15.8,58
UT,Total (UTs),120,6390,6510,1.6,388.1,16.8
Total (All India),Total (All India),7126,390404,397530,100,13671.8,29.1
City,Agra,8,241,249,0.5,17.5,14.2
City,Ahmedabad,0,1891,1891,3.5,63.5,29.8
City,Allahabad,0,385,385,0.7,12.2,31.6
City,Amritsar,51,299,350,0.7,11.8,29.7
City,Asansol,3,1072,1075,2,12.4,86.7
City,Aurangabad,0,907,907,1.7,11.9,76.2
City,Bengaluru,0,3613,3613,6.8,85,42.5
City,Bhopal,121,588,709,1.3,18.8,37.7
City,Chandigarh (City),0,379,379,0.7,10.3,36.8
City,Chennai,2,1707,1709,3.2,87,19.6
City,Coimbatore,0,603,603,1.1,21.5,28
City,Delhi (City),0,3074,3074,5.7,163.2,18.8
City,Dhanbad,22,167,189,0.4,12,15.8
City,Durg Bhilainagar,0,682,682,1.3,10.6,64.3
City,Faridabad,7,1275,1282,2.4,14.1,90.9
City,Ghaziabad,0,274,274,0.5,23.6,11.6
City,Gwalior,0,302,302,0.6,11,27.5
City,Hyderabad,1,774,775,1.4,77.5,10
City,Indore,0,1066,1066,2,21.7,49.1
City,Jabalpur,1,702,703,1.3,12.7,55.4
City,Jaipur,13,2104,2117,4,30.7,69
City,Jamshedpur,11,371,382,0.7,13.4,28.5
City,Jodhpur,0,732,732,1.4,11.4,64.2
City,Kannur,0,404,404,0.8,16.4,24.6
City,Kanpur,4,1369,1373,2.6,29.2,47
City,Kochi,0,531,531,1,21.2,25
City,Kolkata,0,304,304,0.6,141.1,2.2
City,Kollam,1,680,681,1.3,11.1,61.4
City,Kota,0,354,354,0.7,10,35.4
City,Kozhikode,0,589,589,1.1,20.3,29
City,Lucknow,2,690,692,1.3,29,23.9
City,Ludhiana,58,1185,1243,2.3,16.1,77.2
City,Madurai,0,532,532,1,14.6,36.4
City,Malappuram,2,306,308,0.6,17,18.1
City,Meerut,3,166,169,0.3,14.3,11.8
City,Mumbai,189,6716,6905,12.9,184.1,37.5
City,Nagpur,3,1913,1916,3.6,25,76.6
City,Nasik,0,615,615,1.1,15.6,39.4
City,Patna,11,298,309,0.6,20.5,15.1
City,Pune,0,2900,2900,5.4,50.5,57.4
City,Raipur,1,996,997,1.9,11.2,89
City,Rajkot,0,1292,1292,2.4,13.9,92.9
City,Ranchi,13,356,369,0.7,11.3,32.7
City,Srinagar,0,180,180,0.3,12.7,14.2
City,Surat,0,2288,2288,4.3,45.9,49.8
City,Thiruvananthapuram,1,601,602,1.1,16.9,35.6
City,Thrissur,0,732,732,1.4,18.6,39.4
City,Tiruchirappalli,0,197,197,0.4,10.2,19.3
City,Vadodara,0,707,707,1.3,18.2,38.8
City,Varanasi,0,385,385,0.7,14.4,26.7
City,Vasai Virar,0,896,896,1.7,12.2,73.4
City,Vijayawada,2,563,565,1.1,14.9,37.9
City,Vishakhapatnam,3,1011,1014,1.9,17.3,58.6
City,Total (Cities),533,52964,53497,100,1607.2,33.3
