Category,State/UT,Below 14 years - Male,Below 14 years - Female,Below 14 years - Transgender,Below 14 years - Total,14 and Above-Below 18 years - Male,14 and Above-Below 18 years - Female,14 and Above-Below 18 years - Transgender,14 and Above-Below 18 years - Total,18 and Above-Below 30 years - Male,18 and Above-Below 30 years - Female,18 and Above-Below 30 years - Transgender,18 and Above-Below 30 years - Total,30 and Above-Below 45 years - Male,30 and Above-Below 45 years - Female,30 and Above-Below 45 years - Transgender,30 and Above-Below 45 years - Total,45 and Above-Below 60 years - Male,45 and Above-Below 60 years - Female,45 and Above-Below 60 years - Transgender,45 and Above-Below 60 years - Total,60 years & Above - Male,60 years & Above - Female,60 years & Above - Transgender,60 years & Above - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
State,Andhra Pradesh,299,157,0,456,582,105,0,687,3268,437,0,3705,4622,687,0,5309,3324,662,0,3986,1422,479,0,1901,13517,2527,0,16044
State,Arunachal Pradesh,10,6,0,16,7,5,0,12,148,19,0,167,135,16,0,151,35,3,0,38,5,2,0,7,340,51,0,391
State,Assam,103,43,0,146,259,84,0,343,1234,250,0,1484,1357,268,0,1625,601,134,0,735,152,39,0,191,3706,818,0,4525
State,Bihar,1113,444,0,1557,1816,543,0,2359,3777,1059,0,4836,2679,922,0,3601,1668,477,0,2145,741,166,0,907,11794,3611,0,15405
State,Chhattisgarh,738,470,0,1208,674,321,0,995,3876,1067,0,4943,4006,1005,3,5014,2814,763,0,3577,1277,511,0,1788,13385,4137,3,17525
State,Goa,5,3,0,8,6,2,0,8,153,15,0,168,161,19,0,180,115,15,0,130,76,26,0,102,516,80,0,596
State,Gujarat,380,215,0,595,751,205,0,956,4564,924,0,5488,6472,984,0,7456,4662,716,1,5379,1746,432,0,2178,18575,3476,1,22052
State,Haryana,261,137,0,398,401,184,0,585,4155,720,0,4875,4686,695,1,5382,2807,315,0,3122,915,215,0,1130,13225,2266,1,15492
State,Himachal Pradesh,54,38,0,92,68,25,0,93,599,96,0,695,840,127,0,967,706,102,0,808,275,73,0,348,2542,461,0,3003
State,Jharkhand,137,45,0,182,851,148,0,999,1875,332,0,2207,1770,342,1,2113,1033,285,0,1318,402,148,0,550,6068,1300,1,7369
State,Karnataka,514,259,0,773,1037,263,0,1300,4912,893,0,5805,6811,1286,2,8099,5091,1001,0,6092,2436,773,0,3209,20801,4475,2,25278
State,Kerala,260,180,0,440,152,38,0,190,1468,204,0,1672,2546,399,1,2946,3997,735,1,4733,2968,937,0,3905,11391,2493,2,13886
State,Madhya Pradesh,2016,1112,0,3128,1889,908,0,2797,8735,2626,0,11361,9555,2503,0,12058,6055,1721,2,7778,2508,880,0,3388,30758,9750,2,40510
