Category,State/UT/City,Road Accidents - 2020,Road Accidents - 2021,Road Accidents - % Var,Railway Accidents - 2020,Railway Accidents - 2021,Railway Accidents - % Var,Railway Crossing Accidents - 2020,Railway Crossing Accidents - 2021,Railway Crossing Accidents - % Var,Total Traffic Accidents - 2020,Total Traffic Accidents - 2021,Total Traffic Accidents - % Var,% Share
State,Andhra Pradesh,17924,21556,20.3,611,755,23.6,0,0,NA,18535,22311,20.4,5.3
State,Arunachal Pradesh,159,261,64.2,0,0,NA,0,0,NA,159,261,64.2,0.1
State,Assam,6737,7069,4.9,413,459,11.1,8,3,-62.5,7158,7531,5.2,1.8
State,Bihar,8639,9553,10.6,780,1147,47.1,191,163,-14.7,9610,10863,13,2.6
State,Chhattisgarh,11674,12395,6.2,328,412,25.6,4,0,-100,12006,12807,6.7,3
State,Goa,2375,2850,20,23,49,113,0,0,NA,2398,2899,20.9,0.7
State,Gujarat,13407,15200,13.4,490,571,16.5,1,0,-100,13898,15771,13.5,3.7
State,Haryana,9506,10049,5.7,523,806,54.1,57,160,180.7,10086,11015,9.2,2.6
State,Himachal Pradesh,2235,2408,7.7,0,0,NA,0,0,NA,2235,2408,7.7,0.6
State,Jharkhand,4405,4728,7.3,274,284,3.6,22,117,431.8,4701,5129,9.1,1.2
State,Karnataka,34178,34647,1.4,0,0,NA,0,0,NA,34178,34647,1.4,8.2
State,Kerala,27799,32759,17.8,110,171,55.5,89,121,36,27998,33051,18,7.8
State,Madhya Pradesh,42396,48219,13.7,820,1078,31.5,144,196,36.1,43360,49493,14.1,11.7
State,Maharashtra,22211,26598,19.8,2697,3488,29.3,0,0,NA,24908,30086,20.8,7.1
State,Manipur,432,366,-15.3,0,0,NA,0,0,NA,432,366,-15.3,0.1
State,Meghalaya,205,244,19,0,0,NA,0,0,NA,205,244,19,0.1
State,Mizoram,47,64,36.2,0,0,NA,0,0,NA,47,64,36.2,0
State,Nagaland,27,25,-7.4,0,0,NA,3,9,200,30,34,13.3,0
