Category,State/UT/City,Road Accidents - Case,Road Accidents - Injured,Road Accidents - Died,Railway Accidents - Case,Railway Accidents - Injured,Railway Accidents - Died,Railway Crossing Accidents - Case,Railway Crossing Accidents - Injured,Railway Crossing Accidents - Died,Total Traffic Accidents - Case,Total Traffic Accidents - Injured,Total Traffic Accidents - Died
State,Andhra Pradesh,21556,21040,8186,755,0,760,0,0,0,22311,21040,8946
State,Arunachal Pradesh,261,266,173,0,0,0,0,0,0,261,266,173
State,Assam,7069,5420,3014,459,0,459,3,2,2,7531,5422,3475
State,Bihar,9553,7946,7660,1147,47,1151,163,64,163,10863,8057,8974
State,Chhattisgarh,12395,10682,5413,412,0,412,0,0,0,12807,10682,5825
State,Goa,2850,856,226,49,0,49,0,0,0,2899,856,275
State,Gujarat,15200,13722,7457,571,1,579,0,0,0,15771,13723,8036
State,Haryana,10049,7972,4983,806,16,790,160,2,158,11015,7990,5931
State,Himachal Pradesh,2408,3445,1032,0,0,0,0,0,0,2408,3445,1032
State,Jharkhand,4728,3227,3513,284,20,271,117,0,117,5129,3247,3901
State,Karnataka,34647,40754,10038,0,0,0,0,0,0,34647,40754,10038
State,Kerala,32759,36514,3429,171,0,172,121,2,123,33051,36516,3724
State,Madhya Pradesh,48219,47117,12480,1078,0,1079,196,0,196,49493,47117,13755
State,Maharashtra,26598,19676,13911,3488,957,2535,0,0,0,30086,20633,16446
State,Manipur,366,504,110,0,0,0,0,0,0,366,504,110
State,Meghalaya,244,263,187,0,0,0,0,0,0,244,263,187
State,Mizoram,64,28,64,0,0,0,0,0,0,64,28,64
State,Nagaland,25,35,23,0,0,0,9,0,9,34,35,32
State,Odisha,10983,9782,5081,306,94,306,0,0,0,11289,9876,5387
State,Punjab,6097,3034,4516,615,40,576,1,0,1,6713,3074,5093
State,Rajasthan,20954,19357,10043,669,17,655,0,0,0,21623,19374,10698
State,Sikkim,122,178,64,0,0,0,0,0,0,122,178,64
State,Tamil Nadu,55682,55996,15384,1407,107,1300,1,0,1,57090,56103,16685
State,Telangana,21315,20107,7557,408,0,412,0,0,0,21723,20107,7969
State,Tripura,478,546,194,4,0,5,33,0,35,515,546,234
State,Uttar Pradesh,33711,19813,21792,2223,281,2044,575,34,875,36509,20128,24711
State,Uttarakhand,1405,1127,824,25,0,29,0,0,0,1430,1127,853
State,West Bengal,11501,9796,5831,2425,146,2282,164,44,120,14090,9986,8233
State,Total (States),391239,359203,153185,17302,1726,15866,1543,148,1800,410084,361077,170851
UT,Andaman and Nicobar Islands,117,97,22,0,0,0,0,0,0,117,97,22
