Category,State/UT/City,Road Accidents - 0000 hrs to 0300 hrs. (Night),Road Accidents - 0300 hrs to 0600 hrs. (Night),Road Accidents - 0600 hrs to 0900 hrs. (Day),Road Accidents - 0900 hrs to 1200 hrs. (Day),Road Accidents - 1200 hrs to 1500 hrs. (Day),Road Accidents - 1500 hrs to 1800 hrs. (Day),Road Accidents - 1800 hrs to 2100 hrs. (Night),Road Accidents - 2100 hrs to 2400 hrs. (Night),Road Accidents - Total,Railway Crossing Accidents - 0000 hrs to 0300 hrs. (Night),Railway Crossing Accidents - 0300 hrs to 0600 hrs. (Night),Railway Crossing Accidents - 0600 hrs to 0900 hrs. (Day),Railway Crossing Accidents - 0900 hrs to 1200 hrs. (Day),Railway Crossing Accidents - 1200 hrs to 1500 hrs. (Day),Railway Crossing Accidents - 1500 hrs to 1800 hrs. (Day),Railway Crossing Accidents - 1800 hrs to 2100 hrs. (Night),Railway Crossing Accidents - 2100 hrs to 2400 hrs. (Night),Railway Crossing Accidents - Total,Railway Accidents - 0000 hrs to 0300 hrs. (Night),Railway Accidents - 0300 hrs to 0600 hrs. (Night),Railway Accidents - 0600 hrs to 0900 hrs. (Day),Railway Accidents - 0900 hrs to 1200 hrs. (Day),Railway Accidents - 1200 hrs to 1500 hrs. (Day),Railway Accidents - 1500 hrs to 1800 hrs. (Day),Railway Accidents - 1800 hrs to 2100 hrs. (Night),Railway Accidents - 2100 hrs to 2400 hrs. (Night),Railway Accidents - Total,Total (Traffic Accidents) - 0000 hrs to 0300 hrs. (Night),Total (Traffic Accidents) - 0300 hrs to 0600 hrs. (Night),Total (Traffic Accidents) - 0600 hrs to 0900 hrs. (Day),Total (Traffic Accidents) - 0900 hrs to 1200 hrs. (Day),Total (Traffic Accidents) - 1200 hrs to 1500 hrs. (Day),Total (Traffic Accidents) - 1500 hrs to 1800 hrs. (Day),Total (Traffic Accidents) - 1800 hrs to 2100 hrs. (Night),Total (Traffic Accidents) - 2100 hrs to 2400 hrs. (Night),Total (Traffic Accidents) - Total
State,Andhra Pradesh,780,1126,2337,3324,3416,4125,4522,1926,21556,0,0,0,0,0,0,0,0,0,28,46,189,196,90,100,51,55,755,808,1172,2526,3520,3506,4225,4573,1981,22311
State,Arunachal Pradesh,10,6,41,42,40,62,43,17,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,41,42,40,62,43,17,261
State,Assam,377,551,820,1187,1034,1323,1014,763,7069,0,0,2,0,0,1,0,0,3,42,70,65,51,84,62,70,15,459,419,621,887,1238,1118,1386,1084,778,7531
State,Bihar,242,1357,1414,1526,1363,1508,1497,646,9553,14,16,20,29,26,16,26,16,163,142,165,194,158,117,147,117,107,1147,398,1538,1628,1713,1506,1671,1640,769,10863
State,Chhattisgarh,546,810,1047,1807,2224,2415,2480,1066,12395,0,0,0,0,0,0,0,0,0,46,46,81,49,50,57,48,35,412,592,856,1128,1856,2274,2472,2528,1101,12807
State,Goa,237,164,263,402,453,463,521,347,2850,0,0,0,0,0,0,0,0,0,9,5,5,4,3,4,10,9,49,246,169,268,406,456,467,531,356,2899
State,Gujarat,798,663,1622,2372,2416,2598,3114,1617,15200,0,0,0,0,0,0,0,0,0,36,43,73,83,50,65,113,108,571,834,706,1695,2455,2466,2663,3227,1725,15771
State,Haryana,777,835,1166,1168,1239,1547,1955,1362,10049,0,17,19,30,27,24,22,21,160,80,74,119,120,100,96,109,108,806,857,926,1304,1318,1366,1667,2086,1491,11015
State,Himachal Pradesh,122,55,246,315,335,449,574,312,2408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,55,246,315,335,449,574,312,2408
State,Jharkhand,307,512,639,730,679,783,686,392,4728,11,20,14,24,19,13,6,10,117,21,30,55,57,33,31,34,23,284,339,562,708,811,731,827,726,425,5129
State,Karnataka,1909,1990,3674,5117,5560,5983,6684,3730,34647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1909,1990,3674,5117,5560,5983,6684,3730,34647
