Sl. No.,Category,State/UT,Total Number of Accidental Deaths - Forces of Nature - Col. (3),Total Number of Accidental Deaths - Other Causes - Col. (4),Total Number of Accidental Deaths - Total - Col. (5),Percentage Share in Total Deaths - Col. (6),Projected Mid-Year Population* (in Lakh) - Col. (7),Rate of Accidental Deaths (Col.5/Col.7)
1,State,Andhra Pradesh,142,16551,16693,3.9,530.3,31.5
2,State,Arunachal Pradesh,25,384,409,0.1,15.5,26.4
3,State,Assam,61,4996,5057,1.2,354.9,14.2
4,State,Bihar,953,15072,16025,3.7,1255.3,12.8
5,State,Chhattisgarh,248,16645,16893,3.9,299.5,56.4
6,State,Goa,4,692,696,0.2,15.7,44.3
7,State,Gujarat,101,22309,22410,5.2,709.3,31.6
8,State,Haryana,95,15946,16041,3.7,299.7,53.5
9,State,Himachal Pradesh,110,2724,2834,0.7,74.4,38.1
10,State,Jharkhand,464,7308,7772,1.8,391.4,19.9
11,State,Karnataka,140,28950,29090,6.8,674.1,43.2
12,State,Kerala,29,15090,15119,3.5,356.8,42.4
13,State,Madhya Pradesh,914,42812,43726,10.2,858.9,50.9
14,State,Maharashtra,445,66211,66656,15.5,1257.4,53
15,State,Manipur,65,288,353,0.1,32,11
16,State,Meghalaya,42,548,590,0.1,33.3,17.7
17,State,Mizoram,6,313,319,0.1,12.3,25.9
18,State,Nagaland,3,52,55,0,22.2,2.5
19,State,Odisha,2445,18568,21013,4.9,460.8,45.6
20,State,Punjab,257,10869,11126,2.6,306,36.4
21,State,Rajasthan,133,26316,26449,6.1,804.4,32.9
22,State,Sikkim,14,296,310,0.1,6.8,45.6
23,State,Tamil Nadu,93,29022,29115,6.8,767.1,38
24,State,Telangana,136,12574,12710,3,379.5,33.5
25,State,Tripura,12,623,635,0.1,41.2,15.4
26,State,Uttar Pradesh,667,42263,42930,10,2340.9,18.3
27,State,Uttarakhand,90,2585,2675,0.6,115.6,23.1
28,State,West Bengal,195,15299,15494,3.6,987.6,15.7
Total (States),Total (States),Total (States),7889,415306,423195,98.3,13403,31.6
29,Union Territories,Andamand and Nicobar Islands,0,207,207,0,4,51.8
30,Union Territories,Chandigarh,1,286,287,0.1,12.2,23.5
31,Union Territories,Dadra and Nagar Haveli and Daman and Diu,0,309,309,0.1,12,25.8
32,Union Territories,Delhi,1,3647,3648,0.8,211,17.3
33,Union Territories,Jammu and Kashmir,32,1518,1550,0.4,135.4,11.4
34,Union Territories,Ladakh,137,99,236,0.1,3,78.7
35,Union Territories,Lakshadweep,0,8,8,0,0.7,11.4
36,Union Territories,Puducherry,0,1064,1064,0.2,16.2,65.7
Total (UTs),Total (UTs),Total (UTs),171,7138,7309,1.7,394.5,18.5
Total (All India),Total (All India),Total (All India),8060,422444,430504,100,13797.5,31.2
37,City,AGRA,20,1155,1175,1.9,17.5,67.1
38,City,AHMEDABAD,1,2020,2021,3.2,63.5,31.8
39,City,AMRITSAR,94,302,396,0.6,11.8,33.6
40,City,ASANSOL,3,1019,1022,1.6,12.4,82.4
41,City,AURANGABAD,1,894,895,1.4,11.9,75.2
42,City,BENGALURU,0,4137,4137,6.6,85,48.7
43,City,BHOPAL,310,748,1058,1.7,18.8,56.3
44,City,CHANDIGARH (CITY),1,286,287,0.5,10.3,27.9
45,City,CHENNAI,0,1043,1043,1.7,87,12
46,City,COIMBATORE,0,378,378,0.6,21.5,17.6
47,City,DELHI (CITY),1,3570,3571,5.7,163.2,21.9
48,City,DHANBAD,27,150,177,0.3,12,14.8
