Sl. No.,Category,State/UT/City,Below 14 years - Male,Below 14 years - Female,Below 14 years - Transgender,Below 14 years - Total,14 and Above - Below 18 years - Male,14 and Above - Below 18 years - Female,14 and Above - Below 18 years - Transgender,14 and Above - Below 18 years - Total,18 and Above - Below 30 years - Male,18 and Above - Below 30 years - Female,18 and Above - Below 30 years - Transgender,18 and Above - Below 30 years - Total,30 and Above - Below 45 years - Male,30 and Above - Below 45 years - Female,30 and Above - Below 45 years - Transgender,30 and Above - Below 45 years - Total,45 and Above-Below 60 years - Male,45 and Above-Below 60 years - Female,45 and Above-Below 60 years - Transgender,45 and Above-Below 60 years - Total,60 years & Above - Male,60 years & Above - Female,60 years & Above - Transgender,60 years & Above - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
1,State,Andhra Pradesh,325,125,0,450,599,132,0,731,3422,451,1,3874,4880,784,3,5667,3389,607,0,3996,1495,479,1,1975,14110,2578,5,16693
2,State,Arunachal Pradesh,7,4,0,11,14,2,0,16,143,12,0,155,145,13,0,158,48,9,0,57,8,4,0,12,365,44,0,409
3,State,Assam,152,63,0,215,276,95,0,371,1380,252,0,1632,1512,231,0,1743,769,97,0,866,190,40,0,230,4279,778,0,5057
4,State,Bihar,744,285,0,1029,1771,425,0,2196,3664,1040,0,4704,3375,1118,0,4493,2117,610,0,2727,656,220,0,876,12327,3698,0,16025
5,State,Chhattisgarh,985,427,0,1412,726,281,0,1007,3586,865,1,4452,3781,925,0,4706,2783,780,0,3563,1241,512,0,1753,13102,3790,1,16893
6,State,Goa,12,4,0,16,11,2,0,13,151,18,0,169,194,23,0,217,143,22,0,165,85,31,0,116,596,100,0,696
7,State,Gujarat,455,254,0,709,733,224,0,957,4444,834,0,5278,6624,1004,1,7629,4904,714,0,5618,1809,410,0,2219,18969,3440,1,22410
8,State,Haryana,286,137,0,423,436,150,0,586,4011,715,0,4726,5201,713,0,5914,2823,346,1,3170,1025,197,0,1222,13782,2258,1,16041
9,State,Himachal Pradesh,37,29,0,66,76,28,0,104,532,89,0,621,825,131,0,956,670,98,0,768,259,60,0,319,2399,435,0,2834
10,State,Jharkhand,303,52,0,355,796,152,0,948,1822,318,0,2140,1842,366,0,2208,1228,279,0,1507,443,171,0,614,6434,1338,0,7772
11,State,Karnataka,559,263,0,822,1154,275,0,1429,5658,948,1,6607,7787,1180,0,8967,6304,1084,0,7388,3033,844,0,3877,24495,4594,1,29090
12,State,Kerala,286,155,0,441,228,46,0,274,1606,161,0,1767,2791,396,0,3187,4356,754,0,5110,3261,1079,0,4340,12528,2591,0,15119
13,State,Madhya Pradesh,2059,1111,0,3170,2091,992,0,3083,9594,2602,1,12197,10856,2414,1,13271,6615,1632,1,8248,2802,955,0,3757,34017,9706,3,43726
14,State,Maharashtra,1355,933,0,2288,1691,428,0,2119,11294,2388,3,13685,18179,2984,9,21172,14953,2591,1,17545,7432,2413,2,9847,54904,11737,15,66656
15,State,Manipur,9,2,0,11,6,9,0,15,92,7,0,99,146,7,0,153,66,5,0,71,3,1,0,4,322,31,0,353
16,State,Meghalaya,29,19,0,48,30,5,0,35,128,21,0,149,171,23,0,194,103,17,0,120,35,9,0,44,496,94,0,590
17,State,Mizoram,2,1,0,3,10,4,0,14,93,8,0,101,115,15,0,130,49,5,0,54,13,4,0,17,282,37,0,319
18,State,Nagaland,1,3,0,4,2,3,0,5,17,3,0,20,14,0,0,14,6,2,0,8,3,1,0,4,43,12,0,55
19,State,Odisha,334,28,0,362,2470,256,0,2726,4819,667,0,5486,4255,628,0,4883,2418,346,0,2764,4070,722,0,4792,18366,2647,0,21013
20,State,Punjab,130,81,0,211,386,71,0,457,2497,391,1,2889,3277,433,1,3711,2465,256,0,2721,992,145,0,1137,9747,1377,2,11126
21,State,Rajasthan,523,213,0,736,1222,362,0,1584,6449,1261,0,7710,7929,1310,0,9239,4607,776,0,5383,1464,333,0,1797,22194,4255,0,26449
22,State,Sikkim,4,3,0,7,4,3,0,7,68,8,0,76,99,18,0,117,77,9,0,86,13,4,0,17,265,45,0,310
23,State,Tamil Nadu,529,313,0,842,577,120,0,697,5102,529,1,5632,6677,955,4,7636,6394,1274,1,7669,4986,1653,0,6639,24265,4844,6,29115
24,State,Telangana,189,87,0,276,395,104,0,499,2693,342,0,3035,3908,568,0,4476,2763,489,0,3252,899,273,0,1172,10847,1863,0,12710
25,State,Tripura,11,8,0,19,27,4,0,31,121,24,0,145,181,24,0,205,133,35,0,168,47,20,0,67,520,115,0,635
26,State,Uttar Pradesh,1098,435,0,1533,2771,764,0,3535,11261,2335,2,13598,11043,2322,3,13368,6688,1278,5,7971,2384,539,2,2925,35245,7673,12,42930
27,State,Uttarakhand,30,18,1,49,70,29,0,99,584,126,0,710,830,139,0,969,450,120,0,570,218,60,0,278,2182,492,1,2675
28,State,West Bengal,295,138,0,433,558,197,0,755,3069,680,0,3749,3972,871,0,4843,2817,783,0,3600,1478,636,0,2114,12189,3305,0,15494
Total (States),Total (States),Total (States),10749,5191,1,15941,19130,5163,0,24293,88300,17095,11,105406,110609,19595,22,130226,80138,15018,9,95165,40344,11815,5,52164,349270,73877,48,423195
29,Union Territories,Andaman and Nicobar Islands,10,3,0,13,3,0,0,3,14,6,0,20,54,10,0,64,50,9,0,59,31,17,0,48,162,45,0,207
30,Union Territories,Chandigarh,1,4,0,5,3,3,0,6,44,11,0,55,83,20,0,103,64,12,0,76,34,8,0,42,229,58,0,287
31,Union Territories,Dadra and Nicobar Haveli and Daman and Diu,8,5,0,13,12,1,0,13,76,7,0,83,95,6,0,101,68,7,0,75,17,7,0,24,276,33,0,309
32,Union Territories,Delhi,68,29,0,97,91,24,0,115,976,117,0,1093,1252,124,0,1376,642,82,0,724,192,51,0,243,3221,427,0,3648
33,Union Territories,Jammu and Kashmir,28,11,0,39,40,25,0,65,350,84,0,434,510,109,0,619,259,72,0,331,50,12,0,62,1237,313,0,1550
34,Union Territories,Ladakh,0,0,0,0,0,0,0,0,68,9,0,77,103,8,0,111,46,2,0,48,0,0,0,0,217,19,0,236
35,Union Territories,Lakshadweep,2,1,0,3,0,0,0,0,1,0,0,1,2,0,0,2,2,0,0,2,0,0,0,0,7,1,0,8
36,Union Territories,Puducherry,10,9,0,19,9,3,0,12,63,12,0,75,207,37,0,244,351,45,0,396,262,56,0,318,902,162,0,1064
Total (UTs),Total (UTs),Total (UTs),127,62,0,189,158,56,0,214,1592,246,0,1838,2306,314,0,2620,1482,229,0,1711,586,151,0,737,6251,1058,0,7309
Total (All India),Total (All India),Total (All India),10876,5253,1,16130,19288,5219,0,24507,89892,17341,11,107244,112915,19909,22,132846,81620,15247,9,96876,40930,11966,5,52901,355521,74935,48,430504
37,City,Agra,20,4,0,24,67,2,0,69,338,50,0,388,328,59,0,387,213,31,0,244,57,6,0,63,1023,152,0,1175
38,City,Ahmedabad,39,30,0,69,30,12,0,42,297,75,0,372,547,82,1,630,491,54,0,545,295,68,0,363,1699,321,1,2021
39,City,Amritsar,0,1,0,1,4,2,0,6,38,22,0,60,82,15,0,97,115,10,0,125,100,7,0,107,339,57,0,396
40,City,Asansol,16,6,0,22,26,15,0,41,153,35,0,188,245,42,0,287,252,58,0,310,111,63,0,174,803,219,0,1022
41,City,Aurangabad,12,8,0,20,10,4,0,14,110,26,1,137,263,36,1,300,220,40,0,260,115,49,0,164,730,163,2,895
42,City,Bengaluru,72,60,0,132,81,13,0,94,636,113,0,749,1236,163,0,1399,991,132,0,1123,498,142,0,640,3514,623,0,4137
43,City,Bhopal,34,15,0,49,31,10,0,41,182,35,0,217,308,35,0,343,214,24,0,238,142,28,0,170,911,147,0,1058
44,City,Chandigarh (City),1,4,0,5,3,3,0,6,44,11,0,55,83,20,0,103,64,12,0,76,34,8,0,42,229,58,0,287
45,City,Chennai,14,6,0,20,14,1,0,15,158,17,0,175,215,23,1,239,273,57,0,330,191,73,0,264,865,177,1,1043
46,City,Coimbatore,8,1,0,9,4,0,0,4,80,6,1,87,81,10,0,91,84,11,0,95,64,28,0,92,321,56,1,378
47,City,Delhi (City),67,29,0,96,91,24,0,115,949,115,0,1064,1225,124,0,1349,628,80,0,708,190,49,0,239,3150,421,0,3571
48,City,Dhanbad,0,0,0,0,10,7,0,17,85,15,0,100,43,4,0,47,6,2,0,8,3,2,0,5,147,30,0,177
49,City,Durg Bhilainagar,25,11,0,36,18,6,0,24,142,34,0,176,179,29,0,208,208,35,0,243,100,48,0,148,672,163,0,835
