Sl. No.,State/UT/City,Road Accidents - 2021,Road Accidents - 2022,Road Accidents - % Var.,Railway Accidents - 2021,Railway Accidents - 2022,Railway Accidents - % Var.,Railway Crossing Accidents - 2021,Railway Crossing Accidents - 2022,Railway Crossing Accidents - % Var.,Total Traffic Accidents - 2021,Total Traffic Accidents - 2022,Total Traffic Accidents - % Var.,% Share
1,Andhra Pradesh,21556,21070,-2.3,755,1029,36.3,0,0,NA,22311,22099,-1,4.7
2,Arunachal Pradesh,261,215,-17.6,0,0,NA,0,0,NA,261,215,-17.6,0
3,Assam,7069,7028,-0.6,459,689,50.1,3,22,633.3,7531,7739,2.8,1.6
4,Bihar,9553,10801,13.1,1147,1444,25.9,163,52,-68.1,10863,12297,13.2,2.6
5,Chhattisgarh,12395,13091,5.6,412,429,4.1,0,4,NA,12807,13524,5.6,2.9
6,Goa,2850,3012,5.7,49,54,10.2,0,0,NA,2899,3066,5.8,0.6
7,Gujarat,15200,15777,3.8,571,766,34.2,0,6,NA,15771,16549,4.9,3.5
8,Haryana,10049,10654,6,806,1127,39.8,160,95,-40.6,11015,11876,7.8,2.5
9,Himachal Pradesh,2408,2484,3.2,0,0,NA,0,0,NA,2408,2484,3.2,0.5
10,Jharkhand,4728,5175,9.5,284,362,27.5,117,7,-94,5129,5544,8.1,1.2
11,Karnataka,34647,39765,14.8,0,0,NA,0,0,NA,34647,39765,14.8,8.4
12,Kerala,32759,43592,33.1,171,194,13.5,121,184,52.1,33051,43970,33,9.3
13,Madhya Pradesh,48219,51965,7.8,1078,1275,18.3,196,239,21.9,49493,53479,8.1,11.3
14,Maharashtra,26598,30546,14.8,3488,4827,38.4,0,0,NA,30086,35373,17.6,7.5
15,Manipur,366,508,38.8,0,2,NA,0,0,NA,366,510,39.3,0.1
16,Meghalaya,244,246,0.8,0,0,NA,0,0,NA,244,246,0.8,0.1
17,Mizoram,64,71,10.9,0,0,NA,0,0,NA,64,71,10.9,0
18,Nagaland,25,24,-4,0,0,NA,9,5,-44.4,34,29,-14.7,0
19,Odisha,10983,11663,6.2,306,27,-91.2,0,54,NA,11289,11744,4,2.5
20,Punjab,6097,6122,0.4,615,978,59,1,0,-100,6713,7100,5.8,1.5
21,Rajasthan,20954,23620,12.7,669,942,40.8,0,0,NA,21623,24562,13.6,5.2
22,Sikkim,122,199,63.1,0,0,NA,0,0,NA,122,199,63.1,0
23,Tamil Nadu,55682,64105,15.1,1407,2012,43,1,0,-100,57090,66117,15.8,14
24,Telangana,21315,21619,1.4,408,616,51,0,0,NA,21723,22235,2.4,4.7
25,Tripura,478,575,20.3,4,27,575,33,2,-93.9,515,604,17.3,0.1
26,Uttar Pradesh,33711,36875,9.4,2223,3190,43.5,575,1340,133,36509,41405,13.4,8.8
27,Uttarakhand,1405,1674,19.1,25,74,196,0,1,NA,1430,1749,22.3,0.4
28,West Bengal,11501,10635,-7.5,2425,2221,-8.4,164,546,232.9,14090,13402,-4.9,2.8
Total (States),Total (States),391239,433111,10.7,17302,22285,28.8,1543,2557,65.7,410084,457953,11.7,96.9
29,Andaman and Nicobar Islands,117,141,20.5,0,0,NA,0,0,NA,117,141,20.5,0
30,Chandigarh,208,238,14.4,0,0,NA,0,0,NA,208,238,14.4,0.1
31,Dadra and Nagar Haveli and Daman and Diu,140,175,25,0,0,NA,0,0,NA,140,175,25,0
32,Delhi,4720,5560,17.8,676,796,17.8,0,0,NA,5396,6356,17.8,1.3
33,Jammu and Kashmir,5402,6090,12.7,15,49,226.7,7,3,-57.1,5424,6142,13.2,1.3
34,Ladakh,237,268,13.1,0,0,NA,0,0,NA,237,268,13.1,0.1
35,Lakshadweep,4,4,0,0,0,NA,0,0,NA,4,4,0,0
36,Puducherry,1049,1181,12.6,0,9,NA,0,0,NA,1049,1190,13.4,0.3
Total (UTs),Total (UTs),11877,13657,15,691,854,23.6,7,3,-57.1,12575,14514,15.4,3.1
Total (All India),Total (All India),403116,446768,10.8,17993,23139,28.6,1550,2560,65.2,422659,472467,11.8,100
37,Agra,160,729,355.6,0,66,NA,0,11,NA,160,806,403.8,1.2
38,Ahmedabad,1433,1711,19.4,33,40,21.2,0,0,NA,1466,1751,19.4,2.6
39,Amritsar,98,117,19.4,0,0,NA,0,0,NA,98,117,19.4,0.2
40,Asansol,285,497,74.4,7,7,0,0,0,NA,292,504,72.6,0.7
41,Aurangabad,478,491,2.7,43,14,-67.4,0,0,NA,521,505,-3.1,0.7
42,Bengaluru,3213,3822,19,0,0,NA,0,0,NA,3213,3822,19,5.6
43,Bhopal,1891,2788,47.4,31,62,100,25,5,-80,1947,2855,46.6,4.2
44,Chandigarh (City),208,238,14.4,0,0,NA,0,0,NA,208,238,14.4,0.3
45,Chennai,5034,3452,-31.4,0,0,NA,0,0,NA,5034,3452,-31.4,5.1
46,Coimbatore,866,1085,25.3,0,0,NA,0,0,NA,866,1085,25.3,1.6
47,Delhi (City),4505,5387,19.6,676,796,17.8,0,0,NA,5181,6183,19.3,9.1
48,Dhanbad,187,179,-4.3,0,0,NA,0,0,NA,187,179,-4.3,0.3
49,Durg Bhilainagar,625,789,26.2,29,30,3.4,0,0,NA,654,819,25.2,1.2
50,Faridabad,538,629,16.9,0,0,NA,0,0,NA,538,629,16.9,0.9
51,Ghaziabad,296,883,198.3,18,48,166.7,0,0,NA,314,931,196.5,1.4
52,Gwalior,1034,1219,17.9,0,0,NA,18,13,-27.8,1052,1232,17.1,1.8
53,Hyderabad,2273,2516,10.7,0,0,NA,0,0,NA,2273,2516,10.7,3.7
54,Indore,2618,3317,26.7,9,17,88.9,0,0,NA,2627,3334,26.9,4.9
55,Jabalpur,1802,2460,36.5,7,0,-100,1,0,-100,1810,2460,35.9,3.6
56,Jaipur,2166,2687,24.1,115,153,33,0,0,NA,2281,2840,24.5,4.2
57,Jamshedpur,152,167,9.9,0,0,NA,0,0,NA,152,167,9.9,0.2
58,Jodhpur,595,686,15.3,7,14,100,0,0,NA,602,700,16.3,1
59,Kannur,1110,1635,47.3,23,21,-8.7,0,0,NA,1133,1656,46.2,2.4
60,Kanpur,593,1595,169,0,0,NA,69,155,124.6,662,1750,164.4,2.6
61,Kochi,1781,2432,36.6,12,0,-100,1,22,2100,1794,2454,36.8,3.6
62,Kolkata,1519,1037,-31.7,0,0,NA,0,0,NA,1519,1037,-31.7,1.5
63,Kollam,1552,2083,34.2,1,11,1000,12,0,-100,1565,2094,33.8,3.1
64,Kota,368,444,20.7,0,29,NA,0,0,NA,368,473,28.5,0.7
65,Kozhikode,1377,2054,49.2,9,7,-22.2,6,13,116.7,1392,2074,49,3
66,Lucknow,1063,1408,32.5,36,34,-5.6,9,8,-11.1,1108,1450,30.9,2.1
67,Ludhiana,478,467,-2.3,0,0,NA,0,0,NA,478,467,-2.3,0.7
68,Madurai,618,744,20.4,0,0,NA,0,0,NA,618,744,20.4,1.1
69,Malappuram,686,870,26.8,5,3,-40,0,0,NA,691,873,26.3,1.3
70,Meerut,348,451,29.6,0,0,NA,14,26,85.7,362,477,31.8,0.7
71,Mumbai,493,538,9.1,0,0,NA,0,0,NA,493,538,9.1,0.8
72,Nagpur,1024,1181,15.3,37,54,45.9,0,0,NA,1061,1235,16.4,1.8
73,Nasik,142,190,33.8,27,24,-11.1,0,0,NA,169,214,26.6,0.3
74,Patna,384,275,-28.4,0,0,NA,0,0,NA,384,275,-28.4,0.4
75,Prayagraj +,594,1370,130.6,0,0,NA,0,0,NA,594,1370,130.6,2
76,Pune,304,387,27.3,22,17,-22.7,0,0,NA,326,404,23.9,0.6
77,Raipur,932,1021,9.5,47,33,-29.8,0,0,NA,979,1054,7.7,1.5
78,Rajkot,363,498,37.2,10,13,30,0,0,NA,373,511,37,0.7
79,Ranchi,183,175,-4.4,0,0,NA,0,0,NA,183,175,-4.4,0.3
80,Srinagar,331,426,28.7,0,0,NA,0,0,NA,331,426,28.7,0.6
81,Surat,670,683,1.9,34,36,5.9,0,0,NA,704,719,2.1,1.1
82,Thiruvananthapuram,1438,1825,26.9,0,0,NA,17,18,5.9,1455,1843,26.7,2.7
83,Thrissur,1719,2374,38.1,0,0,NA,0,0,NA,1719,2374,38.1,3.5
84,Tiruchirappalli,399,542,35.8,0,0,NA,0,0,NA,399,542,35.8,0.8
85,Vadodara,464,478,3,8,5,-37.5,0,0,NA,472,483,2.3,0.7
86,Varanasi,133,133,0,29,29,0,0,0,NA,162,162,0,0.2
87,Vasai Virar,352,342,-2.8,0,0,NA,0,0,NA,352,342,-2.8,0.5
88,Vijayawada,1228,1543,25.7,0,0,NA,0,0,NA,1228,1543,25.7,2.3
89,Vishakhapatnam,2339,1352,-42.2,5,0,-100,0,0,NA,2344,1352,-42.3,2
Total (Cities),Total (Cities),55442,66402,19.8,1280,1563,22.1,172,271,57.6,56894,68236,19.9,100
