Sl. No.,State/UT,Road Accidents - 0000 hrs to 0300 hrs. (Night),Road Accidents - 0300 hrs to 0600 hrs. (Night),Road Accidents - 0600 hrs to 0900 hrs (Day),Road Accidents - 0900 hrs to 1200 hrs (Day),Road Accidents - 1200 hrs to 1500 hrs (Day),Road Accidents - 1500 hrs to 1800 hrs (Day),Road Accidents - 1800 hrs to 2100hrs (Night),Road Accidents - 2100 hrs. to 2400hrs(Night),Road Accidents - Total,Railway Crossing Accidents - 0000 hrs to 0300 hrs. (Night),Railway Crossing Accidents - 0300 hrs to 0600 hrs. (Night),Railway Crossing Accidents - 0600 hrs to 0900 hrs (Day),Railway Crossing Accidents - 0900 hrs to 1200 hrs (Day),Railway Crossing Accidents - 1200 hrs to 1500 hrs (Day),Railway Crossing Accidents - 1500 hrs to 1800 hrs (Day),Railway Crossing Accidents - 1800 hrs to 2100 hrs (Night),Railway Crossing Accidents - 2100 hrs. to 2400 hrs (Night),Railway Crossing Accidents - Total,Railway Accidents - 0000 hrs to 0300 hrs. (Night),Railway Accidents - 0300 hrs to 0600 hrs. (Night),Railway Accidents - 0600 hrs to 0900 hrs (Day),Railway Accidents - 0900 hrs to 1200 hrs (Day),Railway Accidents - 1200 hrs to 1500 hrs (Day),Railway Accidents - 1500 hrs to 1800 hrs (Day),Railway Accidents - 1800 hrs to 2100 hrs (Night),Railway Accidents - 2100 hrs. to 2400 hrs (Night),Railway Accidents - Total,Total (Traffic Accidents) - 0000 hrs to 0300 hrs. (Night),Total (Traffic Accidents) - 0300 hrs to 0600 hrs. (Night),Total (Traffic Accidents) - 0600 hrs to 0900 hrs (Day),Total (Traffic Accidents) - 0900 hrs to 1200 hrs (Day),Total (Traffic Accidents) - 1200 hrs to 1500 hrs (Day),Total (Traffic Accidents) - 1500 hrs to 1800 hrs (Day),Total (Traffic Accidents) - 1800 hrs to 2100 hrs (Night),Total (Traffic Accidents) - 2100 hrs. to 2400 hrs (Night),Total (Traffic Accidents) - Total
1,Andhra Pradesh,886,1045,2290,3139,3141,3813,4591,2165,21070,0,0,0,0,0,0,0,0,0,47,65,239,263,141,124,90,60,1029,933,1110,2529,3402,3282,3937,4681,2225,22099
2,Arunachal Pradesh,11,12,14,25,46,47,36,24,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,14,25,46,47,36,24,215
3,Assam,409,452,903,1063,1143,1156,1133,769,7028,0,3,5,0,0,1,4,9,22,67,86,102,68,104,94,84,84,689,476,541,1010,1131,1247,1251,1221,862,7739
4,Bihar,485,1117,1602,1700,1405,1784,1865,843,10801,1,5,19,2,4,5,16,0,52,79,131,280,239,201,211,158,145,1444,565,1253,1901,1941,1610,2000,2039,988,12297
5,Chhattisgarh,442,493,1099,1875,2059,2500,3215,1408,13091,0,0,0,2,1,1,0,0,4,37,47,75,58,52,38,73,49,429,479,540,1174,1935,2112,2539,3288,1457,13524
6,Goa,286,152,260,393,471,457,619,374,3012,0,0,0,0,0,0,0,0,0,3,5,9,7,6,8,10,6,54,289,157,269,400,477,465,629,380,3066
7,Gujarat,957,817,1727,2333,2477,2596,3167,1703,15777,0,0,0,2,2,2,0,0,6,69,71,107,103,73,90,133,120,766,1026,888,1834,2438,2552,2688,3300,1823,16549
8,Haryana,1048,801,1217,1330,1250,1554,2153,1301,10654,0,8,5,3,6,10,30,33,95,92,93,189,180,146,141,162,124,1127,1140,902,1411,1513,1402,1705,2345,1458,11876
9,Himachal Pradesh,156,169,211,299,364,426,548,311,2484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,169,211,299,364,426,548,311,2484
10,Jharkhand,330,390,686,769,823,933,833,411,5175,0,1,1,1,1,2,1,0,7,24,46,68,59,52,53,36,24,362,354,437,755,829,876,988,870,435,5544
